paper_id,year,topic,intervention_or_exposure,study_type,species,sample_size,primary_endpoint,endpoint_class,effect_size,evidence_level,risk_of_bias,actionability,medical_supervision,recommendation_class,claim_supported,claim_not_supported,zh_summary,en_summary,last_checked,quality_confidence_score,influence_score,venue_tier,venue_score,venue_weight_note,journal_metric_value,confidence_cap_rule,scoring_version
pubmed-37787793,2023,睡眠与健康结局,sleep,systematic_review_or_meta_analysis,human,摘要级/题录级待复核 / abstract-or-metadata-level pending review,H1,H1,摘要级/题录级待复核,A,not_assessed_public_draft,high,false,Strong Action,可支持：将「睡眠与健康结局」作为证据图谱中的候选主题，并按 A 级草判证据继续复核。,不支持：不能据单篇摘要给出剂量、处方或个人医疗建议。,草稿状态：自动整理，尚未完成全文复核，不构成医疗建议。 中文草稿：英文摘要结论为：Conclusion is not available in the abstract text; manual full-text or abstract review is still required before publication claims.,Draft status: automatically prepared; not fully reviewed; not medical advice. Conclusion is not available in the abstract text; manual full-text or abstract review is still required before publication claims.,2026-05-12,100,0,S_top_general_or_clinical,10,"Top general medical, top science, or major clinical specialty venue. Venue helps, but does not override study design, endpoint, or risk of bias.",RCR=NA; cited_by=NA,max_level_A,v0.5_GRADE_RoB_AMSTAR_bibliometrics_venue
pubmed-36690341,2023,饮食模式与死亡风险,dietary pattern,systematic_review_or_meta_analysis,human,摘要级/题录级待复核 / abstract-or-metadata-level pending review,H1,H1,摘要级/题录级待复核,A,not_assessed_public_draft,high,false,Strong Action,可支持：将「饮食模式与死亡风险」作为证据图谱中的候选主题，并按 A 级草判证据继续复核。,不支持：不能据单篇摘要给出剂量、处方或个人医疗建议。,"草稿状态：自动整理，尚未完成全文复核，不构成医疗建议。 中文草稿：英文摘要结论为：The use of devices/applications was associated with increase in activity, healthy behaviours, and reductions in clinical indicators. Although most effect sizes indicate limited clinical benefits, the broad consistency of the narrative suggests devices/applications are effective at improving CR patients' outcomes.","Draft status: automatically prepared; not fully reviewed; not medical advice. The use of devices/applications was associated with increase in activity, healthy behaviours, and reductions in clinical indicators. Although most effect sizes indicate limited clinical benefits, the broad consistency of the narrative suggests devices/applications are effective at improving CR patients' outcomes.",2026-05-12,100,0,S_top_general_or_clinical,10,"Top general medical, top science, or major clinical specialty venue. Venue helps, but does not override study design, endpoint, or risk of bias.",RCR=NA; cited_by=NA,max_level_A,v0.5_GRADE_RoB_AMSTAR_bibliometrics_venue
pubmed-35210595,2022,GLP-1、减重与心代谢结局,GLP-1 / weight loss,systematic_review_or_meta_analysis,human,摘要级/题录级待复核 / abstract-or-metadata-level pending review,H1,H1,摘要级/题录级待复核,A,not_assessed_public_draft,medium,true,Medical Action,可支持：将「GLP-1、减重与心代谢结局」作为证据图谱中的候选主题，并按 A 级草判证据继续复核。,不支持：不能据单篇摘要给出剂量、处方或个人医疗建议。,"草稿状态：自动整理，尚未完成全文复核，不构成医疗建议。 中文草稿：英文摘要结论为：Conclusion is not available in the abstract text; manual full-text or abstract review is still required before publication claims.","Draft status: automatically prepared; not fully reviewed; not medical advice. Conclusion is not available in the abstract text; manual full-text or abstract review is still required before publication claims.",2026-05-12,100,0,S_top_general_or_clinical,10,"Top general medical, top science, or major clinical specialty venue. Venue helps, but does not override study design, endpoint, or risk of bias.",RCR=NA; cited_by=NA,max_level_A,v0.5_GRADE_RoB_AMSTAR_bibliometrics_venue
pubmed-36604970,2023,抗阻训练、肌肉与衰弱,resistance training / muscle,systematic_review_or_meta_analysis,human,摘要级/题录级待复核 / abstract-or-metadata-level pending review,H1,H1,摘要级/题录级待复核,A,not_assessed_public_draft,high,false,Strong Action,可支持：将「抗阻训练、肌肉与衰弱」作为证据图谱中的候选主题，并按 A 级草判证据继续复核。,不支持：不能据单篇摘要给出剂量、处方或个人医疗建议。,"草稿状态：自动整理，尚未完成全文复核，不构成医疗建议。 中文草稿：英文摘要结论为：There was low prevalence and poor agreement among recent sarcopenia definitions in community-dwelling cohorts of older white men. All indices of sarcopenia were associated with mortality. The strong relationship between sarcopenia and mortality, regardless of the definition, illustrates that identification of appropriate management and lifecourse intervention strategies for this condition is of paramount importance.","Draft status: automatically prepared; not fully reviewed; not medical advice. There was low prevalence and poor agreement among recent sarcopenia definitions in community-dwelling cohorts of older white men. All indices of sarcopenia were associated with mortality. The strong relationship between sarcopenia and mortality, regardless of the definition, illustrates that identification of appropriate management and lifecourse intervention strategies for this condition is of paramount importance.",2026-05-12,97,0,A_field_leading,7,"Leading aging, nutrition, metabolism, geriatrics, dermatology, or translational specialty venue.",RCR=NA; cited_by=NA,max_level_A,v0.5_GRADE_RoB_AMSTAR_bibliometrics_venue
pubmed-36242694,2023,抗阻训练、肌肉与衰弱,resistance training / muscle,systematic_review_or_meta_analysis,human,摘要级/题录级待复核 / abstract-or-metadata-level pending review,H1,H1,摘要级/题录级待复核,A,not_assessed_public_draft,high,false,Strong Action,可支持：将「抗阻训练、肌肉与衰弱」作为证据图谱中的候选主题，并按 A 级草判证据继续复核。,不支持：不能据单篇摘要给出剂量、处方或个人医疗建议。,"草稿状态：自动整理，尚未完成全文复核，不构成医疗建议。 中文草稿：英文摘要结论为：Conclusion is not available in the abstract text; manual full-text or abstract review is still required before publication claims.","Draft status: automatically prepared; not fully reviewed; not medical advice. Conclusion is not available in the abstract text; manual full-text or abstract review is still required before publication claims.",2026-05-12,97,0,A_field_leading,7,"Leading aging, nutrition, metabolism, geriatrics, dermatology, or translational specialty venue.",RCR=NA; cited_by=NA,max_level_A,v0.5_GRADE_RoB_AMSTAR_bibliometrics_venue
pubmed-36184198,2022,抗阻训练、肌肉与衰弱,resistance training / muscle,systematic_review_or_meta_analysis,human,摘要级/题录级待复核 / abstract-or-metadata-level pending review,H1,H1,摘要级/题录级待复核,A,not_assessed_public_draft,high,false,Strong Action,可支持：将「抗阻训练、肌肉与衰弱」作为证据图谱中的候选主题，并按 A 级草判证据继续复核。,不支持：不能据单篇摘要给出剂量、处方或个人医疗建议。,"草稿状态：自动整理，尚未完成全文复核，不构成医疗建议。 中文草稿：英文摘要结论为：Age and frailty are important risk factors for mortality among older adults COVID-19 patients. COVID-19 patients with sarcopenia had a higher risk of developing severe conditions, including hospitalization and ICU admission. Findings that support the use of frailty and sarcopenia indicators to help in the decision-making process for medical care in older adults COVID-19 patients.","Draft status: automatically prepared; not fully reviewed; not medical advice. Age and frailty are important risk factors for mortality among older adults COVID-19 patients. COVID-19 patients with sarcopenia had a higher risk of developing severe conditions, including hospitalization and ICU admission. Findings that support the use of frailty and sarcopenia indicators to help in the decision-making process for medical care in older adults COVID-19 patients.",2026-05-12,97,0,A_field_leading,7,"Leading aging, nutrition, metabolism, geriatrics, dermatology, or translational specialty venue.",RCR=NA; cited_by=NA,max_level_A,v0.5_GRADE_RoB_AMSTAR_bibliometrics_venue
pubmed-40220151,2025,身体活动与健康寿命,physical activity,systematic_review_or_meta_analysis,human,摘要级/题录级待复核 / abstract-or-metadata-level pending review,H1,H1,摘要级/题录级待复核,A,not_assessed_public_draft,high,false,Strong Action,可支持：将「身体活动与健康寿命」作为证据图谱中的候选主题，并按 A 级草判证据继续复核。,不支持：不能据单篇摘要给出剂量、处方或个人医疗建议。,草稿状态：自动整理，尚未完成全文复核，不构成医疗建议。 中文草稿：英文摘要结论为：Conclusion is not available in the abstract text; manual full-text or abstract review is still required before publication claims.,Draft status: automatically prepared; not fully reviewed; not medical advice. Conclusion is not available in the abstract text; manual full-text or abstract review is still required before publication claims.,2026-05-12,97,0,A_field_leading,7,"Leading aging, nutrition, metabolism, geriatrics, dermatology, or translational specialty venue.",RCR=NA; cited_by=NA,max_level_A,v0.5_GRADE_RoB_AMSTAR_bibliometrics_venue
pubmed-41444893,2025,身体活动与健康寿命,physical activity,systematic_review_or_meta_analysis,human,摘要级/题录级待复核 / abstract-or-metadata-level pending review,H1,H1,摘要级/题录级待复核,A,not_assessed_public_draft,high,false,Strong Action,可支持：将「身体活动与健康寿命」作为证据图谱中的候选主题，并按 A 级草判证据继续复核。,不支持：不能据单篇摘要给出剂量、处方或个人医疗建议。,"草稿状态：自动整理，尚未完成全文复核，不构成医疗建议。 中文草稿：英文摘要结论为：Structured exercise may improve pro-atherogenic lipid profiles in MetS. CAREX and HIIT appear promising at moderate doses, while MBE could serve as a feasible low-impact alternative for individuals with reduced exercise tolerance. These findings suggest preliminary dose-based targets that may help guide personalized exercise prescriptions in clinical practice.","Draft status: automatically prepared; not fully reviewed; not medical advice. Structured exercise may improve pro-atherogenic lipid profiles in MetS. CAREX and HIIT appear promising at moderate doses, while MBE could serve as a feasible low-impact alternative for individuals with reduced exercise tolerance. These findings suggest preliminary dose-based targets that may help guide personalized exercise prescriptions in clinical practice.",2026-05-12,97,0,A_field_leading,7,"Leading aging, nutrition, metabolism, geriatrics, dermatology, or translational specialty venue.",RCR=NA; cited_by=NA,max_level_A,v0.5_GRADE_RoB_AMSTAR_bibliometrics_venue
pubmed-37057640,2023,身体活动与健康寿命,physical activity,systematic_review_or_meta_analysis,human,摘要级/题录级待复核 / abstract-or-metadata-level pending review,H1,H1,摘要级/题录级待复核,A,not_assessed_public_draft,high,false,Strong Action,可支持：将「身体活动与健康寿命」作为证据图谱中的候选主题，并按 A 级草判证据继续复核。,不支持：不能据单篇摘要给出剂量、处方或个人医疗建议。,"草稿状态：自动整理，尚未完成全文复核，不构成医疗建议。 中文草稿：英文摘要结论为：In older adults with sarcopenia, high or moderate certainty evidence showed that resistance exercise with or without nutrition and the combination of resistance exercise with aerobic and balance training were the most effective interventions for improving quality of life. Adding nutritional interventions to exercise had a larger effect on handgrip strength than exercise alone while showing a similar effect on other physical function measures.","Draft status: automatically prepared; not fully reviewed; not medical advice. In older adults with sarcopenia, high or moderate certainty evidence showed that resistance exercise with or without nutrition and the combination of resistance exercise with aerobic and balance training were the most effective interventions for improving quality of life. Adding nutritional interventions to exercise had a larger effect on handgrip strength than exercise alone while showing a similar effect on other physical function measures.",2026-05-12,97,0,A_field_leading,7,"Leading aging, nutrition, metabolism, geriatrics, dermatology, or translational specialty venue.",RCR=NA; cited_by=NA,max_level_A,v0.5_GRADE_RoB_AMSTAR_bibliometrics_venue
pubmed-38967696,2024,血压与健康寿命,blood pressure,systematic_review_or_meta_analysis,human,摘要级/题录级待复核 / abstract-or-metadata-level pending review,H1,H1,摘要级/题录级待复核,A,not_assessed_public_draft,high,false,Strong Action,可支持：将「血压与健康寿命」作为证据图谱中的候选主题，并按 A 级草判证据继续复核。,不支持：不能据单篇摘要给出剂量、处方或个人医疗建议。,草稿状态：自动整理，尚未完成全文复核，不构成医疗建议。 中文草稿：英文摘要结论为：Conclusion is not available in the abstract text; manual full-text or abstract review is still required before publication claims.,Draft status: automatically prepared; not fully reviewed; not medical advice. Conclusion is not available in the abstract text; manual full-text or abstract review is still required before publication claims.,2026-05-12,97,0,A_field_leading,7,"Leading aging, nutrition, metabolism, geriatrics, dermatology, or translational specialty venue.",RCR=NA; cited_by=NA,max_level_A,v0.5_GRADE_RoB_AMSTAR_bibliometrics_venue
pubmed-38017541,2023,LDL-C/apoB 与心血管风险,LDL-C / apoB,systematic_review_or_meta_analysis,human,摘要级/题录级待复核 / abstract-or-metadata-level pending review,H1,H1,摘要级/题录级待复核,A,not_assessed_public_draft,high,false,Strong Action,可支持：将「LDL-C/apoB 与心血管风险」作为证据图谱中的候选主题，并按 A 级草判证据继续复核。,不支持：不能据单篇摘要给出剂量、处方或个人医疗建议。,"草稿状态：自动整理，尚未完成全文复核，不构成医疗建议。 中文草稿：英文摘要结论为：The improved cholesterol control achieved with BA translates into a reduced risk of MACE, including myocardial infarction and coronary revascularisation. The drug has a satisfactory safety profile except for an increased risk of gout.","Draft status: automatically prepared; not fully reviewed; not medical advice. The improved cholesterol control achieved with BA translates into a reduced risk of MACE, including myocardial infarction and coronary revascularisation. The drug has a satisfactory safety profile except for an increased risk of gout.",2026-05-12,97,0,A_field_leading,7,"Leading aging, nutrition, metabolism, geriatrics, dermatology, or translational specialty venue.",RCR=NA; cited_by=NA,max_level_A,v0.5_GRADE_RoB_AMSTAR_bibliometrics_venue
pubmed-40072785,2025,睡眠与健康结局,sleep,systematic_review_or_meta_analysis,human,摘要级/题录级待复核 / abstract-or-metadata-level pending review,H1,H1,摘要级/题录级待复核,A,not_assessed_public_draft,high,false,Strong Action,可支持：将「睡眠与健康结局」作为证据图谱中的候选主题，并按 A 级草判证据继续复核。,不支持：不能据单篇摘要给出剂量、处方或个人医疗建议。,草稿状态：自动整理，尚未完成全文复核，不构成医疗建议。 中文草稿：英文摘要结论为：Conclusion is not available in the abstract text; manual full-text or abstract review is still required before publication claims.,Draft status: automatically prepared; not fully reviewed; not medical advice. Conclusion is not available in the abstract text; manual full-text or abstract review is still required before publication claims.,2026-05-12,97,0,A_field_leading,7,"Leading aging, nutrition, metabolism, geriatrics, dermatology, or translational specialty venue.",RCR=NA; cited_by=NA,max_level_A,v0.5_GRADE_RoB_AMSTAR_bibliometrics_venue
pubmed-33558966,2021,睡眠与健康结局,sleep,systematic_review_or_meta_analysis,human,摘要级/题录级待复核 / abstract-or-metadata-level pending review,H1,H1,摘要级/题录级待复核,A,not_assessed_public_draft,high,false,Strong Action,可支持：将「睡眠与健康结局」作为证据图谱中的候选主题，并按 A 级草判证据继续复核。,不支持：不能据单篇摘要给出剂量、处方或个人医疗建议。,草稿状态：自动整理，尚未完成全文复核，不构成医疗建议。 中文草稿：英文摘要结论为：Conclusion is not available in the abstract text; manual full-text or abstract review is still required before publication claims.,Draft status: automatically prepared; not fully reviewed; not medical advice. Conclusion is not available in the abstract text; manual full-text or abstract review is still required before publication claims.,2026-05-12,97,0,A_field_leading,7,"Leading aging, nutrition, metabolism, geriatrics, dermatology, or translational specialty venue.",RCR=NA; cited_by=NA,max_level_A,v0.5_GRADE_RoB_AMSTAR_bibliometrics_venue
pubmed-39090501,2025,饮食模式与死亡风险,dietary pattern,systematic_review_or_meta_analysis,human,摘要级/题录级待复核 / abstract-or-metadata-level pending review,H1,H1,摘要级/题录级待复核,A,not_assessed_public_draft,high,false,Strong Action,可支持：将「饮食模式与死亡风险」作为证据图谱中的候选主题，并按 A 级草判证据继续复核。,不支持：不能据单篇摘要给出剂量、处方或个人医疗建议。,草稿状态：自动整理，尚未完成全文复核，不构成医疗建议。 中文草稿：英文摘要结论为：Conclusion is not available in the abstract text; manual full-text or abstract review is still required before publication claims.,Draft status: automatically prepared; not fully reviewed; not medical advice. Conclusion is not available in the abstract text; manual full-text or abstract review is still required before publication claims.,2026-05-12,97,0,A_field_leading,7,"Leading aging, nutrition, metabolism, geriatrics, dermatology, or translational specialty venue.",RCR=NA; cited_by=NA,max_level_A,v0.5_GRADE_RoB_AMSTAR_bibliometrics_venue
pubmed-39354155,2025,饮食模式与死亡风险,dietary pattern,systematic_review_or_meta_analysis,human,摘要级/题录级待复核 / abstract-or-metadata-level pending review,H1,H1,摘要级/题录级待复核,A,not_assessed_public_draft,high,false,Strong Action,可支持：将「饮食模式与死亡风险」作为证据图谱中的候选主题，并按 A 级草判证据继续复核。,不支持：不能据单篇摘要给出剂量、处方或个人医疗建议。,"草稿状态：自动整理，尚未完成全文复核，不构成医疗建议。 中文草稿：英文摘要结论为：Higher adherence to Med Diet across European countries is associated with lower risk of HF, particularly in women.","Draft status: automatically prepared; not fully reviewed; not medical advice. Higher adherence to Med Diet across European countries is associated with lower risk of HF, particularly in women.",2026-05-12,97,0,A_field_leading,7,"Leading aging, nutrition, metabolism, geriatrics, dermatology, or translational specialty venue.",RCR=NA; cited_by=NA,max_level_A,v0.5_GRADE_RoB_AMSTAR_bibliometrics_venue
pubmed-41761267,2026,GLP-1、减重与心代谢结局,GLP-1 / weight loss,systematic_review_or_meta_analysis,human,摘要级/题录级待复核 / abstract-or-metadata-level pending review,H1,H1,摘要级/题录级待复核,A,not_assessed_public_draft,medium,true,Medical Action,可支持：将「GLP-1、减重与心代谢结局」作为证据图谱中的候选主题，并按 A 级草判证据继续复核。,不支持：不能据单篇摘要给出剂量、处方或个人医疗建议。,"草稿状态：自动整理，尚未完成全文复核，不构成医疗建议。 中文草稿：英文摘要结论为：Among adults with T2D and established ASCVD or high CV risk, class-level analysis demonstrated that tirzepatide significantly reduced the risk of cardiovascular events compared to placebo; at the agent-level, tirzepatide demonstrated comparable efficacy to individual GLP-1RAs. These findings suggest that tirzepatide provides cardiovascular benefit at least comparable to established GLP-1RAs, supporting its emerging role in cardiovascular risk reduction in T2D.","Draft status: automatically prepared; not fully reviewed; not medical advice. Among adults with T2D and established ASCVD or high CV risk, class-level analysis demonstrated that tirzepatide significantly reduced the risk of cardiovascular events compared to placebo; at the agent-level, tirzepatide demonstrated comparable efficacy to individual GLP-1RAs. These findings suggest that tirzepatide provides cardiovascular benefit at least comparable to established GLP-1RAs, supporting its emerging role in cardiovascular risk reduction in T2D.",2026-05-12,97,0,A_field_leading,7,"Leading aging, nutrition, metabolism, geriatrics, dermatology, or translational specialty venue.",RCR=NA; cited_by=NA,max_level_A,v0.5_GRADE_RoB_AMSTAR_bibliometrics_venue
