library_id,title_en,title_zh,year,source,pmid,pmcid,doi,url,query,include_status,in_healthspan_findings,health_topic_ids,in_evidence_matrix,in_skin_beauty_findings,skin_topic_ids,last_checked,品牌标识,Brand,SEO关键词,资产归属,GitHub公开入口
clinicaltrials-NCT03717935,Oral Amino Acid Nutrition to Improve Glucose Excursions in PCOS,,2018,ClinicalTrials.gov,,,,https://clinicaltrials.gov/study/NCT03717935,nad_nmn_nr_aging,active_candidate_needs_review,false,,false,false,,2026-04-28,宇多Yul细胞/yulcell,yulcell,"宇多Yul细胞/yulcell, yulcell, 宇多Yul细胞, 长寿抗衰证据图谱, 健康寿命证据图谱, longevity anti-aging evidence atlas",宇多Yul细胞/yulcell | Longevity Anti-Aging Evidence Atlas EnCn,https://github.com/yuyohe/longevity-antiaging-evidence-atlas-EnCn
clinicaltrials-NCT03811717,Fasting and Exercise-induced Changes in Human Skeletal Muscle,,2019,ClinicalTrials.gov,,,,https://clinicaltrials.gov/study/NCT03811717,rapamycin_aging,active_candidate_needs_review,false,,false,false,,2026-04-28,宇多Yul细胞/yulcell,yulcell,"宇多Yul细胞/yulcell, yulcell, 宇多Yul细胞, 长寿抗衰证据图谱, 健康寿命证据图谱, longevity anti-aging evidence atlas",宇多Yul细胞/yulcell | Longevity Anti-Aging Evidence Atlas EnCn,https://github.com/yuyohe/longevity-antiaging-evidence-atlas-EnCn
clinicaltrials-NCT03912220,Evaluation of Nicotinamide Riboside in Prevention of Small Fiber Axon Degeneration and Promotion of Nerve Regeneration,,2020,ClinicalTrials.gov,,,,https://clinicaltrials.gov/study/NCT03912220,nad_nmn_nr_aging,active_candidate_needs_review,false,,false,false,,2026-04-28,宇多Yul细胞/yulcell,yulcell,"宇多Yul细胞/yulcell, yulcell, 宇多Yul细胞, 长寿抗衰证据图谱, 健康寿命证据图谱, longevity anti-aging evidence atlas",宇多Yul细胞/yulcell | Longevity Anti-Aging Evidence Atlas EnCn,https://github.com/yuyohe/longevity-antiaging-evidence-atlas-EnCn
clinicaltrials-NCT04112043,Nicotinamide Riboside as an Enhancer of Exercise Therapy in Hypertensive Older Adults (The NEET Trial),,2020,ClinicalTrials.gov,,,,https://clinicaltrials.gov/study/NCT04112043,nad_nmn_nr_aging,active_candidate_needs_review,false,,false,false,,2026-04-28,宇多Yul细胞/yulcell,yulcell,"宇多Yul细胞/yulcell, yulcell, 宇多Yul细胞, 长寿抗衰证据图谱, 健康寿命证据图谱, longevity anti-aging evidence atlas",宇多Yul细胞/yulcell | Longevity Anti-Aging Evidence Atlas EnCn,https://github.com/yuyohe/longevity-antiaging-evidence-atlas-EnCn
clinicaltrials-NCT04629495,Rapamycin - Effects on Alzheimer's and Cognitive Health,,2021,ClinicalTrials.gov,,,,https://clinicaltrials.gov/study/NCT04629495,rapamycin_aging,active_candidate_needs_review,false,,false,false,,2026-04-28,宇多Yul细胞/yulcell,yulcell,"宇多Yul细胞/yulcell, yulcell, 宇多Yul细胞, 长寿抗衰证据图谱, 健康寿命证据图谱, longevity anti-aging evidence atlas",宇多Yul细胞/yulcell | Longevity Anti-Aging Evidence Atlas EnCn,https://github.com/yuyohe/longevity-antiaging-evidence-atlas-EnCn
clinicaltrials-NCT04753749,Evaluation of a Modified Anti-Platelet Therapy Associated With Low-dose DES Firehawk in Acute Myocardial Infarction Patients Treated With Complete Revascularization Strategy,,2021,ClinicalTrials.gov,,,,https://clinicaltrials.gov/study/NCT04753749,rapamycin_aging,active_candidate_needs_review,false,,false,false,,2026-04-28,宇多Yul细胞/yulcell,yulcell,"宇多Yul细胞/yulcell, yulcell, 宇多Yul细胞, 长寿抗衰证据图谱, 健康寿命证据图谱, longevity anti-aging evidence atlas",宇多Yul细胞/yulcell | Longevity Anti-Aging Evidence Atlas EnCn,https://github.com/yuyohe/longevity-antiaging-evidence-atlas-EnCn
clinicaltrials-NCT04771611,COVFIS-HOME: COVID-19 Pilot Study of Fisetin to Alleviate Dysfunction and Decrease Complications,,2021,ClinicalTrials.gov,,,,https://clinicaltrials.gov/study/NCT04771611,senolytics_aging,active_candidate_needs_review,false,,false,false,,2026-04-28,宇多Yul细胞/yulcell,yulcell,"宇多Yul细胞/yulcell, yulcell, 宇多Yul细胞, 长寿抗衰证据图谱, 健康寿命证据图谱, longevity anti-aging evidence atlas",宇多Yul细胞/yulcell | Longevity Anti-Aging Evidence Atlas EnCn,https://github.com/yuyohe/longevity-antiaging-evidence-atlas-EnCn
clinicaltrials-NCT05025956,Senolytic Agent Improve the Benefit of Platelet-Rich Plasma and Losartan,,2021,ClinicalTrials.gov,,,,https://clinicaltrials.gov/study/NCT05025956,senolytics_aging,active_candidate_needs_review,false,,false,false,,2026-04-28,宇多Yul细胞/yulcell,yulcell,"宇多Yul细胞/yulcell, yulcell, 宇多Yul细胞, 长寿抗衰证据图谱, 健康寿命证据图谱, longevity anti-aging evidence atlas",宇多Yul细胞/yulcell | Longevity Anti-Aging Evidence Atlas EnCn,https://github.com/yuyohe/longevity-antiaging-evidence-atlas-EnCn
clinicaltrials-NCT05149716,Taurine as a Possible Anti-aging Therapy?,,2020,ClinicalTrials.gov,,,,https://clinicaltrials.gov/study/NCT05149716,taurine_aging,active_candidate_needs_review,false,,false,false,,2026-04-28,宇多Yul细胞/yulcell,yulcell,"宇多Yul细胞/yulcell, yulcell, 宇多Yul细胞, 长寿抗衰证据图谱, 健康寿命证据图谱, longevity anti-aging evidence atlas",宇多Yul细胞/yulcell | Longevity Anti-Aging Evidence Atlas EnCn,https://github.com/yuyohe/longevity-antiaging-evidence-atlas-EnCn
clinicaltrials-NCT05415176,Taurine Supplementation Associated or Not With Exercise: Effect on Browning of White Adipose Tissue in Elderly Women With Sarcopenic Obesity,,2023,ClinicalTrials.gov,,,,https://clinicaltrials.gov/study/NCT05415176,taurine_aging,active_candidate_needs_review,false,,false,false,,2026-04-28,宇多Yul细胞/yulcell,yulcell,"宇多Yul细胞/yulcell, yulcell, 宇多Yul细胞, 长寿抗衰证据图谱, 健康寿命证据图谱, longevity anti-aging evidence atlas",宇多Yul细胞/yulcell | Longevity Anti-Aging Evidence Atlas EnCn,https://github.com/yuyohe/longevity-antiaging-evidence-atlas-EnCn
clinicaltrials-NCT05485610,Effect of NMN (Nicotinamide Mononucleotide) on Diminished Ovarian Reserve (Including Premature Ovarian Insufficiency),,2022,ClinicalTrials.gov,,,,https://clinicaltrials.gov/study/NCT05485610,nad_nmn_nr_aging,active_candidate_needs_review,false,,false,false,,2026-04-28,宇多Yul细胞/yulcell,yulcell,"宇多Yul细胞/yulcell, yulcell, 宇多Yul细胞, 长寿抗衰证据图谱, 健康寿命证据图谱, longevity anti-aging evidence atlas",宇多Yul细胞/yulcell | Longevity Anti-Aging Evidence Atlas EnCn,https://github.com/yuyohe/longevity-antiaging-evidence-atlas-EnCn
clinicaltrials-NCT05653258,Single Nuclei RNA-seq to Map Adipose Cellular Populations and Senescent Cells in Older Subjects,,2023,ClinicalTrials.gov,,,,https://clinicaltrials.gov/study/NCT05653258,senolytics_aging,active_candidate_needs_review,false,,false,false,,2026-04-28,宇多Yul细胞/yulcell,yulcell,"宇多Yul细胞/yulcell, yulcell, 宇多Yul细胞, 长寿抗衰证据图谱, 健康寿命证据图谱, longevity anti-aging evidence atlas",宇多Yul细胞/yulcell | Longevity Anti-Aging Evidence Atlas EnCn,https://github.com/yuyohe/longevity-antiaging-evidence-atlas-EnCn
clinicaltrials-NCT05706389,Does Alpha-ketoglutarate Supplementation Lower BiologicaL agE in Middle- Aged Adults?,,2023,ClinicalTrials.gov,,,,https://clinicaltrials.gov/study/NCT05706389,biological_age_clock_trial,active_candidate_needs_review,false,,false,false,,2026-04-28,宇多Yul细胞/yulcell,yulcell,"宇多Yul细胞/yulcell, yulcell, 宇多Yul细胞, 长寿抗衰证据图谱, 健康寿命证据图谱, longevity anti-aging evidence atlas",宇多Yul细胞/yulcell | Longevity Anti-Aging Evidence Atlas EnCn,https://github.com/yuyohe/longevity-antiaging-evidence-atlas-EnCn
clinicaltrials-NCT05724329,Neoadjuvant Tislelizumab in Combination With Dasatinib and Quercetin in Resectable HNSCC (COIS-01),,2023,ClinicalTrials.gov,,,,https://clinicaltrials.gov/study/NCT05724329,senolytics_aging,active_candidate_needs_review,false,,false,false,,2026-04-28,宇多Yul细胞/yulcell,yulcell,"宇多Yul细胞/yulcell, yulcell, 宇多Yul细胞, 长寿抗衰证据图谱, 健康寿命证据图谱, longevity anti-aging evidence atlas",宇多Yul细胞/yulcell | Longevity Anti-Aging Evidence Atlas EnCn,https://github.com/yuyohe/longevity-antiaging-evidence-atlas-EnCn
clinicaltrials-NCT05838560,Dasatinib Plus Quercetin for Accelerated Aging in Mental Disorders,,2023,ClinicalTrials.gov,,,,https://clinicaltrials.gov/study/NCT05838560,senolytics_aging,active_candidate_needs_review,false,,false,false,,2026-04-28,宇多Yul细胞/yulcell,yulcell,"宇多Yul细胞/yulcell, yulcell, 宇多Yul细胞, 长寿抗衰证据图谱, 健康寿命证据图谱, longevity anti-aging evidence atlas",宇多Yul细胞/yulcell | Longevity Anti-Aging Evidence Atlas EnCn,https://github.com/yuyohe/longevity-antiaging-evidence-atlas-EnCn
clinicaltrials-NCT05938556,Coaching for Advanced Practice Providers,,2023,ClinicalTrials.gov,,,,https://clinicaltrials.gov/study/NCT05938556,nad_nmn_nr_aging,active_candidate_needs_review,false,,false,false,,2026-04-28,宇多Yul细胞/yulcell,yulcell,"宇多Yul细胞/yulcell, yulcell, 宇多Yul细胞, 长寿抗衰证据图谱, 健康寿命证据图谱, longevity anti-aging evidence atlas",宇多Yul细胞/yulcell | Longevity Anti-Aging Evidence Atlas EnCn,https://github.com/yuyohe/longevity-antiaging-evidence-atlas-EnCn
clinicaltrials-NCT06018467,Senolytics to Improve Osteoporosis Therapy,,2023,ClinicalTrials.gov,,,,https://clinicaltrials.gov/study/NCT06018467,senolytics_aging,active_candidate_needs_review,false,,false,false,,2026-04-28,宇多Yul细胞/yulcell,yulcell,"宇多Yul细胞/yulcell, yulcell, 宇多Yul细胞, 长寿抗衰证据图谱, 健康寿命证据图谱, longevity anti-aging evidence atlas",宇多Yul细胞/yulcell | Longevity Anti-Aging Evidence Atlas EnCn,https://github.com/yuyohe/longevity-antiaging-evidence-atlas-EnCn
clinicaltrials-NCT06019195,The Effect of Intermittent Fasting on Brain Health,,2024,ClinicalTrials.gov,,,,https://clinicaltrials.gov/study/NCT06019195,time_restricted_eating_aging,active_candidate_needs_review,false,,false,false,,2026-04-28,宇多Yul细胞/yulcell,yulcell,"宇多Yul细胞/yulcell, yulcell, 宇多Yul细胞, 长寿抗衰证据图谱, 健康寿命证据图谱, longevity anti-aging evidence atlas",宇多Yul细胞/yulcell | Longevity Anti-Aging Evidence Atlas EnCn,https://github.com/yuyohe/longevity-antiaging-evidence-atlas-EnCn
clinicaltrials-NCT06029569,Rapamycin Coated Balloon Dilation Catheter for Arteriovenous Fistula,,2023,ClinicalTrials.gov,,,,https://clinicaltrials.gov/study/NCT06029569,rapamycin_aging,active_candidate_needs_review,false,,false,false,,2026-04-28,宇多Yul细胞/yulcell,yulcell,"宇多Yul细胞/yulcell, yulcell, 宇多Yul细胞, 长寿抗衰证据图谱, 健康寿命证据图谱, longevity anti-aging evidence atlas",宇多Yul细胞/yulcell | Longevity Anti-Aging Evidence Atlas EnCn,https://github.com/yuyohe/longevity-antiaging-evidence-atlas-EnCn
clinicaltrials-NCT06133634,Fisetin to Improve Vascular Function in Older Adults,,2023,ClinicalTrials.gov,,,,https://clinicaltrials.gov/study/NCT06133634,senolytics_aging,active_candidate_needs_review,false,,false,false,,2026-04-28,宇多Yul细胞/yulcell,yulcell,"宇多Yul细胞/yulcell, yulcell, 宇多Yul细胞, 长寿抗衰证据图谱, 健康寿命证据图谱, longevity anti-aging evidence atlas",宇多Yul细胞/yulcell | Longevity Anti-Aging Evidence Atlas EnCn,https://github.com/yuyohe/longevity-antiaging-evidence-atlas-EnCn
clinicaltrials-NCT06274749,Effects of Urolithin A Supplementation on Glucose Metabolism in Healthy Adults 55 >= Years Old: A Randomized Triple-Masked Controlled Clinical Trial,,2026,ClinicalTrials.gov,,,,https://clinicaltrials.gov/study/NCT06274749,urolithin_a_aging,active_candidate_needs_review,false,,false,false,,2026-04-28,宇多Yul细胞/yulcell,yulcell,"宇多Yul细胞/yulcell, yulcell, 宇多Yul细胞, 长寿抗衰证据图谱, 健康寿命证据图谱, longevity anti-aging evidence atlas",宇多Yul细胞/yulcell | Longevity Anti-Aging Evidence Atlas EnCn,https://github.com/yuyohe/longevity-antiaging-evidence-atlas-EnCn
clinicaltrials-NCT06431945,Early Detection of HCV in Injection Drug Users,,2023,ClinicalTrials.gov,,,,https://clinicaltrials.gov/study/NCT06431945,nad_nmn_nr_aging,active_candidate_needs_review,false,,false,false,,2026-04-28,宇多Yul细胞/yulcell,yulcell,"宇多Yul细胞/yulcell, yulcell, 宇多Yul细胞, 长寿抗衰证据图谱, 健康寿命证据图谱, longevity anti-aging evidence atlas",宇多Yul细胞/yulcell | Longevity Anti-Aging Evidence Atlas EnCn,https://github.com/yuyohe/longevity-antiaging-evidence-atlas-EnCn
clinicaltrials-NCT06556706,Impact of Urolithin A (Mitopure) on Mitochondrial Quality in Muscle of Frail Older Adults,,2024,ClinicalTrials.gov,,,,https://clinicaltrials.gov/study/NCT06556706,urolithin_a_aging,active_candidate_needs_review,false,,false,false,,2026-04-28,宇多Yul细胞/yulcell,yulcell,"宇多Yul细胞/yulcell, yulcell, 宇多Yul细胞, 长寿抗衰证据图谱, 健康寿命证据图谱, longevity anti-aging evidence atlas",宇多Yul细胞/yulcell | Longevity Anti-Aging Evidence Atlas EnCn,https://github.com/yuyohe/longevity-antiaging-evidence-atlas-EnCn
clinicaltrials-NCT06607068,Assessment of Taurine Concentration in Older Women With/Without Obesity And With/Without Type 2 Diabetes Mellitus,,2024,ClinicalTrials.gov,,,,https://clinicaltrials.gov/study/NCT06607068,taurine_aging,active_candidate_needs_review,false,,false,false,,2026-04-28,宇多Yul细胞/yulcell,yulcell,"宇多Yul细胞/yulcell, yulcell, 宇多Yul细胞, 长寿抗衰证据图谱, 健康寿命证据图谱, longevity anti-aging evidence atlas",宇多Yul细胞/yulcell | Longevity Anti-Aging Evidence Atlas EnCn,https://github.com/yuyohe/longevity-antiaging-evidence-atlas-EnCn
clinicaltrials-NCT06613542,Effects Of Daily Taurine Intake For 6 Months On Biological Age and Body Metabolism Indicators As Well As Physical Fitness In 55-75-year-old Women And Men,,2024,ClinicalTrials.gov,,,,https://clinicaltrials.gov/study/NCT06613542,biological_age_clock_trial,active_candidate_needs_review,false,,false,false,,2026-04-28,宇多Yul细胞/yulcell,yulcell,"宇多Yul细胞/yulcell, yulcell, 宇多Yul细胞, 长寿抗衰证据图谱, 健康寿命证据图谱, longevity anti-aging evidence atlas",宇多Yul细胞/yulcell | Longevity Anti-Aging Evidence Atlas EnCn,https://github.com/yuyohe/longevity-antiaging-evidence-atlas-EnCn
clinicaltrials-NCT06666660,Daily Intake of Multivitamin & Mineral Supplementation Effects on Biological Age of Relatively Healthy Middle-aged Individuals,,2024,ClinicalTrials.gov,,,,https://clinicaltrials.gov/study/NCT06666660,biological_age_clock_trial,active_candidate_needs_review,false,,false,false,,2026-04-28,宇多Yul细胞/yulcell,yulcell,"宇多Yul细胞/yulcell, yulcell, 宇多Yul细胞, 长寿抗衰证据图谱, 健康寿命证据图谱, longevity anti-aging evidence atlas",宇多Yul细胞/yulcell | Longevity Anti-Aging Evidence Atlas EnCn,https://github.com/yuyohe/longevity-antiaging-evidence-atlas-EnCn
clinicaltrials-NCT06693271,"Investigating the Combined Effects of Protein, Blueberries, and Exercise on Cardiovascular Health and Frailty in Older Nova Scotians",,2025,ClinicalTrials.gov,,,,https://clinicaltrials.gov/study/NCT06693271,frailty_multidomain,active_candidate_needs_review,false,,false,false,,2026-04-28,宇多Yul细胞/yulcell,yulcell,"宇多Yul细胞/yulcell, yulcell, 宇多Yul细胞, 长寿抗衰证据图谱, 健康寿命证据图谱, longevity anti-aging evidence atlas",宇多Yul细胞/yulcell | Longevity Anti-Aging Evidence Atlas EnCn,https://github.com/yuyohe/longevity-antiaging-evidence-atlas-EnCn
clinicaltrials-NCT06953518,An Open-Label Pilot Study of Qualia Senolytic Supplementation for the Attenuation of Systemic Inflammatory Cytokines,,2025,ClinicalTrials.gov,,,,https://clinicaltrials.gov/study/NCT06953518,senolytics_aging,active_candidate_needs_review,false,,false,false,,2026-04-28,宇多Yul细胞/yulcell,yulcell,"宇多Yul细胞/yulcell, yulcell, 宇多Yul细胞, 长寿抗衰证据图谱, 健康寿命证据图谱, longevity anti-aging evidence atlas",宇多Yul细胞/yulcell | Longevity Anti-Aging Evidence Atlas EnCn,https://github.com/yuyohe/longevity-antiaging-evidence-atlas-EnCn
clinicaltrials-NCT06975540,Synergy of Exercise and Nutrition in Preventing and Treating Frailty,,2019,ClinicalTrials.gov,,,,https://clinicaltrials.gov/study/NCT06975540,frailty_multidomain,active_candidate_needs_review,false,,false,false,,2026-04-28,宇多Yul细胞/yulcell,yulcell,"宇多Yul细胞/yulcell, yulcell, 宇多Yul细胞, 长寿抗衰证据图谱, 健康寿命证据图谱, longevity anti-aging evidence atlas",宇多Yul细胞/yulcell | Longevity Anti-Aging Evidence Atlas EnCn,https://github.com/yuyohe/longevity-antiaging-evidence-atlas-EnCn
clinicaltrials-NCT07025226,"Sequential Treatments or Combinations Including Dasatinib, Quercetin, Fisetin and/or Temozolomide for the Treatment of Previously Treated Glioma With Residual Disease",,2025,ClinicalTrials.gov,,,,https://clinicaltrials.gov/study/NCT07025226,senolytics_aging,active_candidate_needs_review,false,,false,false,,2026-04-28,宇多Yul细胞/yulcell,yulcell,"宇多Yul细胞/yulcell, yulcell, 宇多Yul细胞, 长寿抗衰证据图谱, 健康寿命证据图谱, longevity anti-aging evidence atlas",宇多Yul细胞/yulcell | Longevity Anti-Aging Evidence Atlas EnCn,https://github.com/yuyohe/longevity-antiaging-evidence-atlas-EnCn
clinicaltrials-NCT07042087,Lifestyle for the BRAin Health - Time Restricted Eating and Mindfulness,,2024,ClinicalTrials.gov,,,,https://clinicaltrials.gov/study/NCT07042087,time_restricted_eating_aging,active_candidate_needs_review,false,,false,false,,2026-04-28,宇多Yul细胞/yulcell,yulcell,"宇多Yul细胞/yulcell, yulcell, 宇多Yul细胞, 长寿抗衰证据图谱, 健康寿命证据图谱, longevity anti-aging evidence atlas",宇多Yul细胞/yulcell | Longevity Anti-Aging Evidence Atlas EnCn,https://github.com/yuyohe/longevity-antiaging-evidence-atlas-EnCn
clinicaltrials-NCT07231783,The Effect of Urolithin A (Mitopure®) Supplementation on Muscle Strength in Healthy Middle-Aged Adults,,2025,ClinicalTrials.gov,,,,https://clinicaltrials.gov/study/NCT07231783,urolithin_a_aging,active_candidate_needs_review,false,,false,false,,2026-04-28,宇多Yul细胞/yulcell,yulcell,"宇多Yul细胞/yulcell, yulcell, 宇多Yul细胞, 长寿抗衰证据图谱, 健康寿命证据图谱, longevity anti-aging evidence atlas",宇多Yul细胞/yulcell | Longevity Anti-Aging Evidence Atlas EnCn,https://github.com/yuyohe/longevity-antiaging-evidence-atlas-EnCn
clinicaltrials-NCT07242833,Evaluation of the Effect of Seasonality on Biological Age in Adults,,2025,ClinicalTrials.gov,,,,https://clinicaltrials.gov/study/NCT07242833,biological_age_clock_trial,active_candidate_needs_review,false,,false,false,,2026-04-28,宇多Yul细胞/yulcell,yulcell,"宇多Yul细胞/yulcell, yulcell, 宇多Yul细胞, 长寿抗衰证据图谱, 健康寿命证据图谱, longevity anti-aging evidence atlas",宇多Yul细胞/yulcell | Longevity Anti-Aging Evidence Atlas EnCn,https://github.com/yuyohe/longevity-antiaging-evidence-atlas-EnCn
clinicaltrials-NCT07377136,Influence of the Urolithin A on the Population With BMI Higher Than 30 During Restricted Eating.,,2025,ClinicalTrials.gov,,,,https://clinicaltrials.gov/study/NCT07377136,urolithin_a_aging,active_candidate_needs_review,false,,false,false,,2026-04-28,宇多Yul细胞/yulcell,yulcell,"宇多Yul细胞/yulcell, yulcell, 宇多Yul细胞, 长寿抗衰证据图谱, 健康寿命证据图谱, longevity anti-aging evidence atlas",宇多Yul细胞/yulcell | Longevity Anti-Aging Evidence Atlas EnCn,https://github.com/yuyohe/longevity-antiaging-evidence-atlas-EnCn
clinicaltrials-NCT07383311,Autophagy-Enhancers to Reduce Sleep Disturbances,,2025,ClinicalTrials.gov,,,,https://clinicaltrials.gov/study/NCT07383311,spermidine_aging,active_candidate_needs_review,false,,false,false,,2026-04-28,宇多Yul细胞/yulcell,yulcell,"宇多Yul细胞/yulcell, yulcell, 宇多Yul细胞, 长寿抗衰证据图谱, 健康寿命证据图谱, longevity anti-aging evidence atlas",宇多Yul细胞/yulcell | Longevity Anti-Aging Evidence Atlas EnCn,https://github.com/yuyohe/longevity-antiaging-evidence-atlas-EnCn
