card_id,update_month,name_zh,name_en,category,health_evidence,health_evidence_plain,skin_evidence,skin_evidence_plain,one_sentence,common_misunderstanding,attention,professional_boundary,commercial_overclaim_risk,sample_question_1,sample_question_2,sample_question_3,not_for,source_path,retraction_publications_20y,retraction_count_20y,retractions_per_1000_publications,retraction_note,last_checked,evidence_review_date,retraction_checked_date,visual_snapshot_date
S011,2026-09,益生菌,Probiotics,microbiome,C：有限,有线索,C：有限,有线索,部分肠道、炎症和皮肤屏障/炎症场景有证据线索。,不支持单一益生菌适用于所有人抗衰或美容。,免疫抑制、重症或中心静脉置管人群需医疗评估。,如果有慢病、正在用药、孕期备孕、肝肾问题，或准备长期高剂量使用，先问医生或药师。,高,益生菌 主要研究什么？,益生菌 常见误解是什么？,益生菌 使用前需要注意什么？,不回答个人剂量、处方替代、疾病诊断、注射医美操作建议。,data/easy_reader_supplements.csv,18909,47,2.49,同一口径下总发表 18909 篇；每 1000 篇约 2.49 篇撤稿。,2026-05-18,2026-05-18,2026-09-21,2026-09-21
S012,2026-09,NMN,NMN,nad_precursor,C：有限,有线索,D：很早期,很早期,可看作 NAD 代谢和人体早期指标研究候选。,不支持声称已证实延寿、逆龄或美容抗老。,长期安全性和适用人群仍不清楚。,只了解原则通常不需要医生；长期、高剂量或多种叠加使用前再评估。,高,NMN 主要研究什么？,NMN 常见误解是什么？,NMN 使用前需要注意什么？,不回答个人剂量、处方替代、疾病诊断、注射医美操作建议。,data/easy_reader_supplements.csv,273,0,0.00,同一口径下总发表 273 篇；每 1000 篇约 0.00 篇撤稿。,2026-05-18,2026-05-18,2026-09-21,2026-09-21
S013,2026-09,NR,Nicotinamide Riboside,nad_precursor,C：有限,有线索,D：很早期,很早期,可看作 NAD 前体和代谢指标研究候选。,不支持声称已证实延寿或外观逆龄。,长期净收益和特殊疾病人群安全性仍需复核。,只了解原则通常不需要医生；长期、高剂量或多种叠加使用前再评估。,高,NR 主要研究什么？,NR 常见误解是什么？,NR 使用前需要注意什么？,不回答个人剂量、处方替代、疾病诊断、注射医美操作建议。,data/easy_reader_supplements.csv,225,0,0.00,同一口径下总发表 225 篇；每 1000 篇约 0.00 篇撤稿。,2026-05-18,2026-05-18,2026-09-21,2026-09-21
S014,2026-09,NAD 前体,NAD Precursors,nad_precursor,C：有限,有线索,D：很早期,很早期,可看作机制和早期人体研究集合。,不支持把 NAD 提升等同于延寿或抗老成功。,不同前体不能混为同一效果。,只了解原则通常不需要医生；长期、高剂量或多种叠加使用前再评估。,高,NAD 前体 主要研究什么？,NAD 前体 常见误解是什么？,NAD 前体 使用前需要注意什么？,不回答个人剂量、处方替代、疾病诊断、注射医美操作建议。,data/easy_reader_supplements.csv,495,0,0.00,同一口径下总发表 495 篇；每 1000 篇约 0.00 篇撤稿。,2026-05-18,2026-05-18,2026-09-21,2026-09-21
S015,2026-09,白藜芦醇,Resveratrol,polyphenol,C：有限,有线索,C：有限,有线索,可看作多酚、代谢和皮肤光保护证据线索。,不支持红酒/白藜芦醇延寿或逆龄宣传。,药物相互作用和剂量差异大。,如果有慢病、正在用药、孕期备孕、肝肾问题，或准备长期高剂量使用，先问医生或药师。,高,白藜芦醇 主要研究什么？,白藜芦醇 常见误解是什么？,白藜芦醇 使用前需要注意什么？,不回答个人剂量、处方替代、疾病诊断、注射医美操作建议。,data/easy_reader_supplements.csv,4239,21,4.95,同一口径下总发表 4239 篇；每 1000 篇约 4.95 篇撤稿。,2026-05-18,2026-05-18,2026-09-21,2026-09-21
S016,2026-09,槲皮素,Quercetin,polyphenol,D：很早期,很早期,D：很早期,很早期,可看作抗氧化、炎症和 senolytic 组合研究线索。,不支持单独作为抗衰、清除衰老细胞或美容方案。,与药物代谢相关相互作用需注意。,如果有慢病、正在用药、孕期备孕、肝肾问题，或准备长期高剂量使用，先问医生或药师。,高,槲皮素 主要研究什么？,槲皮素 常见误解是什么？,槲皮素 使用前需要注意什么？,不回答个人剂量、处方替代、疾病诊断、注射医美操作建议。,data/easy_reader_supplements.csv,3587,19,5.30,同一口径下总发表 3587 篇；每 1000 篇约 5.30 篇撤稿。,2026-05-18,2026-05-18,2026-09-21,2026-09-21
S017,2026-09,姜黄素,Curcumin,polyphenol,C：有限,有线索,D：很早期,很早期,可看作炎症和代谢相关证据线索。,不支持声称抗癌、延寿或皮肤逆龄。,胆道疾病、抗凝药和胃肠耐受需注意。,如果有慢病、正在用药、孕期备孕、肝肾问题，或准备长期高剂量使用，先问医生或药师。,高,姜黄素 主要研究什么？,姜黄素 常见误解是什么？,姜黄素 使用前需要注意什么？,不回答个人剂量、处方替代、疾病诊断、注射医美操作建议。,data/easy_reader_supplements.csv,6057,39,6.44,同一口径下总发表 6057 篇；每 1000 篇约 6.44 篇撤稿。,2026-05-18,2026-05-18,2026-09-21,2026-09-21
S018,2026-09,绿茶儿茶素,Green Tea Catechins,polyphenol,C：有限,有线索,C：有限,有线索,可看作代谢和皮肤光保护证据线索。,不支持高浓缩提取物无风险或明确延寿。,高剂量提取物有肝毒性报告，需谨慎。,如果有慢病、正在用药、孕期备孕、肝肾问题，或准备长期高剂量使用，先问医生或药师。,高,绿茶儿茶素 主要研究什么？,绿茶儿茶素 常见误解是什么？,绿茶儿茶素 使用前需要注意什么？,不回答个人剂量、处方替代、疾病诊断、注射医美操作建议。,data/easy_reader_supplements.csv,1171,5,4.27,同一口径下总发表 1171 篇；每 1000 篇约 4.27 篇撤稿。,2026-05-18,2026-05-18,2026-09-21,2026-09-21
S019,2026-09,虾青素,Astaxanthin,antioxidant,D：很早期,很早期,C：有限,有线索,可看作皮肤光保护和抗氧化证据线索。,不支持声称防晒替代、逆龄或延寿。,长期高剂量和特殊人群安全性仍需复核。,只了解原则通常不需要医生；长期、高剂量或多种叠加使用前再评估。,高,虾青素 主要研究什么？,虾青素 常见误解是什么？,虾青素 使用前需要注意什么？,不回答个人剂量、处方替代、疾病诊断、注射医美操作建议。,data/easy_reader_supplements.csv,1218,1,0.82,同一口径下总发表 1218 篇；每 1000 篇约 0.82 篇撤稿。,2026-05-18,2026-05-18,2026-09-21,2026-09-21
S020,2026-09,透明质酸,Hyaluronic Acid,skin_hydration,D：很早期,很早期,B：中等,有不少支持,主要看皮肤水分和屏障相关证据线索。,不支持声称系统性抗衰或延寿。,注射类属于医疗美容，不纳入口服/外用普通补剂结论。,如果有慢病、正在用药、孕期备孕、肝肾问题，或准备长期高剂量使用，先问医生或药师。,中,透明质酸 主要研究什么？,透明质酸 常见误解是什么？,透明质酸 使用前需要注意什么？,不回答个人剂量、处方替代、疾病诊断、注射医美操作建议。,data/easy_reader_supplements.csv,1659,3,1.81,同一口径下总发表 1659 篇；每 1000 篇约 1.81 篇撤稿。,2026-05-18,2026-05-18,2026-09-21,2026-09-21
S021,2026-09,神经酰胺,Ceramides,skin_barrier,D：很早期,很早期,B：中等,有不少支持,主要看干燥、屏障和 TEWL 相关皮肤终点。,不支持声称逆龄或治疗皮肤病。,皮肤病治疗需医生评估。,只了解原则通常不需要医生；长期、高剂量或多种叠加使用前再评估。,中,神经酰胺 主要研究什么？,神经酰胺 常见误解是什么？,神经酰胺 使用前需要注意什么？,不回答个人剂量、处方替代、疾病诊断、注射医美操作建议。,data/easy_reader_supplements.csv,135,0,0.00,同一口径下总发表 135 篇；每 1000 篇约 0.00 篇撤稿。,2026-05-18,2026-05-18,2026-09-21,2026-09-21
S022,2026-09,烟酰胺,Niacinamide,vitamin_b3,C：有限,有线索,B：中等,有不少支持,主要看皮肤屏障、色素和炎症相关证据线索。,不支持把烟酰胺写成延寿或全面抗衰。,口服高剂量和肝病/慢病人群需谨慎。,只了解原则通常不需要医生；长期、高剂量或多种叠加使用前再评估。,中,烟酰胺 主要研究什么？,烟酰胺 常见误解是什么？,烟酰胺 使用前需要注意什么？,不回答个人剂量、处方替代、疾病诊断、注射医美操作建议。,data/easy_reader_supplements.csv,49,0,0.00,同一口径下总发表 49 篇；每 1000 篇约 0.00 篇撤稿。,2026-05-18,2026-05-18,2026-09-21,2026-09-21
S023,2026-09,维生素 B12,Vitamin B12,vitamin,B：中等,有不少支持,D：很早期,很早期,主要看缺乏、贫血和神经相关风险管理。,不支持非缺乏人群补充即可延寿或美容。,需结合缺乏风险、素食、胃肠疾病和用药情况。,如果有慢病、正在用药、孕期备孕、肝肾问题，或准备长期高剂量使用，先问医生或药师。,中,维生素 B12 主要研究什么？,维生素 B12 常见误解是什么？,维生素 B12 使用前需要注意什么？,不回答个人剂量、处方替代、疾病诊断、注射医美操作建议。,data/easy_reader_supplements.csv,3149,2,0.64,同一口径下总发表 3149 篇；每 1000 篇约 0.64 篇撤稿。,2026-05-18,2026-05-18,2026-09-21,2026-09-21
S024,2026-09,叶酸,Folate,vitamin,B：中等,有不少支持,D：很早期,很早期,主要看孕前孕期和缺乏风险相关健康管理。,不支持作为抗衰或美容补剂泛用。,高剂量可能掩盖 B12 缺乏，需注意人群边界。,如果有慢病、正在用药、孕期备孕、肝肾问题，或准备长期高剂量使用，先问医生或药师。,中,叶酸 主要研究什么？,叶酸 常见误解是什么？,叶酸 使用前需要注意什么？,不回答个人剂量、处方替代、疾病诊断、注射医美操作建议。,data/easy_reader_supplements.csv,3871,3,0.77,同一口径下总发表 3871 篇；每 1000 篇约 0.77 篇撤稿。,2026-05-18,2026-05-18,2026-09-21,2026-09-21
S025,2026-09,复合维生素,Multivitamin,multi_nutrient,C：有限,有线索,D：很早期,很早期,可看作饮食不足或特定人群营养补充候选。,不支持替代健康饮食、延寿或美容逆龄。,注意重复摄入脂溶性维生素和矿物质。,只了解原则通常不需要医生；长期、高剂量或多种叠加使用前再评估。,高,复合维生素 主要研究什么？,复合维生素 常见误解是什么？,复合维生素 使用前需要注意什么？,不回答个人剂量、处方替代、疾病诊断、注射医美操作建议。,data/easy_reader_supplements.csv,499,1,2.00,同一口径下总发表 499 篇；每 1000 篇约 2.00 篇撤稿。,2026-05-18,2026-05-18,2026-09-21,2026-09-21
S026,2026-09,维生素 E,Vitamin E,vitamin,C：有限,有线索,C：有限,有线索,可看作抗氧化相关证据线索。,不支持高剂量用于延寿、心血管预防或美容逆龄。,高剂量可能增加出血风险，抗凝药人群需谨慎。,如果有慢病、正在用药、孕期备孕、肝肾问题，或准备长期高剂量使用，先问医生或药师。,高,维生素 E 主要研究什么？,维生素 E 常见误解是什么？,维生素 E 使用前需要注意什么？,不回答个人剂量、处方替代、疾病诊断、注射医美操作建议。,data/easy_reader_supplements.csv,2959,6,2.03,同一口径下总发表 2959 篇；每 1000 篇约 2.03 篇撤稿。,2026-05-18,2026-05-18,2026-09-21,2026-09-21
S027,2026-09,维生素 A,Vitamin A,vitamin,C：有限,有线索,C：有限,有线索,主要看缺乏相关视力、免疫和皮肤角化问题。,不支持高剂量抗老或美容口服。,脂溶性维生素，过量和孕期风险较高。,如果有慢病、正在用药、孕期备孕、肝肾问题，或准备长期高剂量使用，先问医生或药师。,高,维生素 A 主要研究什么？,维生素 A 常见误解是什么？,维生素 A 使用前需要注意什么？,不回答个人剂量、处方替代、疾病诊断、注射医美操作建议。,data/easy_reader_supplements.csv,2888,5,1.73,同一口径下总发表 2888 篇；每 1000 篇约 1.73 篇撤稿。,2026-05-18,2026-05-18,2026-09-21,2026-09-21
S028,2026-09,维生素 K2,Vitamin K2,vitamin,C：有限,有线索,D：很早期,很早期,可看作骨骼和钙代谢相关证据线索。,不支持声称软化血管、延寿或美容。,华法林等抗凝药人群需医生评估。,如果有慢病、正在用药、孕期备孕、肝肾问题，或准备长期高剂量使用，先问医生或药师。,高,维生素 K2 主要研究什么？,维生素 K2 常见误解是什么？,维生素 K2 使用前需要注意什么？,不回答个人剂量、处方替代、疾病诊断、注射医美操作建议。,data/easy_reader_supplements.csv,320,3,9.38,同一口径下总发表 320 篇；每 1000 篇约 9.38 篇撤稿。,2026-05-18,2026-05-18,2026-09-21,2026-09-21
S029,2026-09,硒,Selenium,mineral,C：有限,有线索,D：很早期,很早期,主要看缺乏或甲状腺相关证据线索。,不支持高剂量抗癌、延寿或美容。,过量可导致硒中毒，安全窗较窄。,如果有慢病、正在用药、孕期备孕、肝肾问题，或准备长期高剂量使用，先问医生或药师。,高,硒 主要研究什么？,硒 常见误解是什么？,硒 使用前需要注意什么？,不回答个人剂量、处方替代、疾病诊断、注射医美操作建议。,data/easy_reader_supplements.csv,7553,7,0.93,同一口径下总发表 7553 篇；每 1000 篇约 0.93 篇撤稿。,2026-05-18,2026-05-18,2026-09-21,2026-09-21
S030,2026-09,碘,Iodine,mineral,B：中等,有不少支持,D：很早期,很早期,主要看缺乏和甲状腺健康管理。,不支持抗衰或美容泛用。,甲状腺疾病人群补充需医生评估。,如果有慢病、正在用药、孕期备孕、肝肾问题，或准备长期高剂量使用，先问医生或药师。,中,碘 主要研究什么？,碘 常见误解是什么？,碘 使用前需要注意什么？,不回答个人剂量、处方替代、疾病诊断、注射医美操作建议。,data/easy_reader_supplements.csv,4881,6,1.23,同一口径下总发表 4881 篇；每 1000 篇约 1.23 篇撤稿。,2026-05-18,2026-05-18,2026-09-21,2026-09-21
S031,2026-09,铁,Iron,mineral,B：中等,有不少支持,D：很早期,很早期,主要看缺铁和贫血相关健康管理。,不支持无缺乏人群补铁抗老。,过量铁有风险，需结合铁蛋白和医生评估。,如果有慢病、正在用药、孕期备孕、肝肾问题，或准备长期高剂量使用，先问医生或药师。,中,铁 主要研究什么？,铁 常见误解是什么？,铁 使用前需要注意什么？,不回答个人剂量、处方替代、疾病诊断、注射医美操作建议。,data/easy_reader_supplements.csv,22262,42,1.89,同一口径下总发表 22262 篇；每 1000 篇约 1.89 篇撤稿。,2026-05-18,2026-05-18,2026-09-21,2026-09-21
S032,2026-09,铜,Copper,mineral,C：有限,有线索,D：很早期,很早期,主要看明确缺乏相关证据线索。,不支持作为美容或抗衰补剂泛用。,过量有毒性，且与锌摄入存在平衡问题。,如果有慢病、正在用药、孕期备孕、肝肾问题，或准备长期高剂量使用，先问医生或药师。,中,铜 主要研究什么？,铜 常见误解是什么？,铜 使用前需要注意什么？,不回答个人剂量、处方替代、疾病诊断、注射医美操作建议。,data/easy_reader_supplements.csv,5759,19,3.30,同一口径下总发表 5759 篇；每 1000 篇约 3.30 篇撤稿。,2026-05-18,2026-05-18,2026-09-21,2026-09-21
S033,2026-09,锰,Manganese,mineral,D：很早期,很早期,D：很早期,很早期,可看作微量元素缺乏风险线索。,不支持抗衰或美容宣传。,过量有神经毒性风险。,如果有慢病、正在用药、孕期备孕、肝肾问题，或准备长期高剂量使用，先问医生或药师。,中,锰 主要研究什么？,锰 常见误解是什么？,锰 使用前需要注意什么？,不回答个人剂量、处方替代、疾病诊断、注射医美操作建议。,data/easy_reader_supplements.csv,1997,2,1.00,同一口径下总发表 1997 篇；每 1000 篇约 1.00 篇撤稿。,2026-05-18,2026-05-18,2026-09-21,2026-09-21
S034,2026-09,铬,Chromium,mineral,C：有限,有线索,D：很早期,很早期,可看作糖代谢相关证据线索。,不支持减肥、控糖或延寿确定有效宣传。,糖尿病用药人群需注意低血糖和相互作用。,如果有慢病、正在用药、孕期备孕、肝肾问题，或准备长期高剂量使用，先问医生或药师。,高,铬 主要研究什么？,铬 常见误解是什么？,铬 使用前需要注意什么？,不回答个人剂量、处方替代、疾病诊断、注射医美操作建议。,data/easy_reader_supplements.csv,1828,9,4.92,同一口径下总发表 1828 篇；每 1000 篇约 4.92 篇撤稿。,2026-05-18,2026-05-18,2026-09-21,2026-09-21
S035,2026-09,钾,Potassium,mineral,B：中等,有不少支持,D：很早期,很早期,主要看血压和膳食模式相关健康管理。,不支持自行高剂量补钾抗衰。,肾病、ACEI/ARB 或保钾利尿剂人群风险高。,如果有慢病、正在用药、孕期备孕、肝肾问题，或准备长期高剂量使用，先问医生或药师。,中,钾 主要研究什么？,钾 常见误解是什么？,钾 使用前需要注意什么？,不回答个人剂量、处方替代、疾病诊断、注射医美操作建议。,data/easy_reader_supplements.csv,4018,7,1.74,同一口径下总发表 4018 篇；每 1000 篇约 1.74 篇撤稿。,2026-05-18,2026-05-18,2026-09-21,2026-09-21
S036,2026-09,电解质,Electrolytes,mineral_mix,C：有限,有线索,D：很早期,很早期,主要看出汗、运动或脱水场景。,不支持日常抗衰或美容泛用。,高血压、肾病和心衰人群需看钠钾负担。,如果有慢病、正在用药、孕期备孕、肝肾问题，或准备长期高剂量使用，先问医生或药师。,中,电解质 主要研究什么？,电解质 常见误解是什么？,电解质 使用前需要注意什么？,不回答个人剂量、处方替代、疾病诊断、注射医美操作建议。,data/easy_reader_supplements.csv,232,0,0.00,同一口径下总发表 232 篇；每 1000 篇约 0.00 篇撤稿。,2026-05-18,2026-05-18,2026-09-21,2026-09-21
S037,2026-09,车前子壳/可溶性纤维,Psyllium / Soluble Fiber,fiber,B：中等,有不少支持,D：很早期,很早期,主要看 LDL-C、血糖和肠道规律相关终点。,不支持直接延寿或美容逆龄。,需注意饮水、吞咽困难和药物吸收间隔。,如果有慢病、正在用药、孕期备孕、肝肾问题，或准备长期高剂量使用，先问医生或药师。,中,车前子壳/可溶性纤维 主要研究什么？,车前子壳/可溶性纤维 常见误解是什么？,车前子壳/可溶性纤维 使用前需要注意什么？,不回答个人剂量、处方替代、疾病诊断、注射医美操作建议。,data/easy_reader_supplements.csv,319,0,0.00,同一口径下总发表 319 篇；每 1000 篇约 0.00 篇撤稿。,2026-05-18,2026-05-18,2026-09-21,2026-09-21
S038,2026-09,β-葡聚糖,Beta-Glucan,fiber,B：中等,有不少支持,D：很早期,很早期,主要看胆固醇和免疫相关证据线索。,不支持全面提升免疫或抗衰。,过敏和胃肠耐受需注意。,只了解原则通常不需要医生；长期、高剂量或多种叠加使用前再评估。,中,β-葡聚糖 主要研究什么？,β-葡聚糖 常见误解是什么？,β-葡聚糖 使用前需要注意什么？,不回答个人剂量、处方替代、疾病诊断、注射医美操作建议。,data/easy_reader_supplements.csv,1008,1,0.99,同一口径下总发表 1008 篇；每 1000 篇约 0.99 篇撤稿。,2026-05-18,2026-05-18,2026-09-21,2026-09-21
S039,2026-09,菊粉,Inulin,prebiotic,C：有限,有线索,D：很早期,很早期,可看作益生元、肠道和代谢证据线索。,不支持所有人群肠道抗老。,易腹胀，肠易激人群需谨慎。,只了解原则通常不需要医生；长期、高剂量或多种叠加使用前再评估。,中,菊粉 主要研究什么？,菊粉 常见误解是什么？,菊粉 使用前需要注意什么？,不回答个人剂量、处方替代、疾病诊断、注射医美操作建议。,data/easy_reader_supplements.csv,1216,2,1.64,同一口径下总发表 1216 篇；每 1000 篇约 1.64 篇撤稿。,2026-05-18,2026-05-18,2026-09-21,2026-09-21
S040,2026-09,益生元复合物,Prebiotic Mix,prebiotic,C：有限,有线索,D：很早期,很早期,主要看肠道菌群和代谢证据线索。,不支持单独作为抗衰或美容方案。,肠道敏感人群需关注耐受。,只了解原则通常不需要医生；长期、高剂量或多种叠加使用前再评估。,高,益生元复合物 主要研究什么？,益生元复合物 常见误解是什么？,益生元复合物 使用前需要注意什么？,不回答个人剂量、处方替代、疾病诊断、注射医美操作建议。,data/easy_reader_supplements.csv,2487,2,0.80,同一口径下总发表 2487 篇；每 1000 篇约 0.80 篇撤稿。,2026-05-18,2026-05-18,2026-09-21,2026-09-21
S041,2026-09,叶黄素,Lutein,carotenoid,B：中等,有不少支持,C：有限,有线索,主要看眼健康和黄斑相关证据。,不支持延寿或皮肤逆龄。,与综合配方和基础眼病状态有关。,只了解原则通常不需要医生；长期、高剂量或多种叠加使用前再评估。,中,叶黄素 主要研究什么？,叶黄素 常见误解是什么？,叶黄素 使用前需要注意什么？,不回答个人剂量、处方替代、疾病诊断、注射医美操作建议。,data/easy_reader_supplements.csv,847,2,2.36,同一口径下总发表 847 篇；每 1000 篇约 2.36 篇撤稿。,2026-05-18,2026-05-18,2026-09-21,2026-09-21
S042,2026-09,玉米黄质,Zeaxanthin,carotenoid,B：中等,有不少支持,C：有限,有线索,主要看眼健康和黄斑相关证据。,不支持美容或延寿泛用宣传。,常与叶黄素联用，需区分配方证据。,只了解原则通常不需要医生；长期、高剂量或多种叠加使用前再评估。,中,玉米黄质 主要研究什么？,玉米黄质 常见误解是什么？,玉米黄质 使用前需要注意什么？,不回答个人剂量、处方替代、疾病诊断、注射医美操作建议。,data/easy_reader_supplements.csv,350,1,2.86,同一口径下总发表 350 篇；每 1000 篇约 2.86 篇撤稿。,2026-05-18,2026-05-18,2026-09-21,2026-09-21
