编号,领域,主题,证据,一句话,一句话总结,常见误解,注意,打开,研究版路径,更新日期
T018,健康寿命,部分重编程,D：很早期,部分重编程 是重要候选方向，但公开结论必须区分成熟证据、机制线索和过度解读。,部分重编程 是重要候选方向，但公开结论必须区分成熟证据、机制线索和过度解读。,不要把群体研究直接当成个人方案。 不支持把候选证据写成个人医疗、补剂或抗衰处方。,可能需要。只了解原则不用；准备尝试前要看个人情况。,研究版主题页,content/topics/partial-reprogramming.md,2026-08-09
T019,健康寿命,自噬/线粒体自噬,C：有限,自噬/线粒体自噬 是重要候选方向，但公开结论必须区分成熟证据、机制线索和过度解读。,自噬/线粒体自噬 是重要候选方向，但公开结论必须区分成熟证据、机制线索和过度解读。,不要把群体研究直接当成个人方案。 不支持把候选证据写成个人医疗、补剂或抗衰处方。,可能需要。只了解原则不用；准备尝试前要看个人情况。,研究版主题页,content/topics/autophagy-mitophagy.md,2026-08-09
T020,健康寿命,微生物组与炎症性衰老,B：中等,微生物组与炎症性衰老 是重要候选方向，但公开结论必须区分成熟证据、机制线索和过度解读。,微生物组与炎症性衰老 是重要候选方向，但公开结论必须区分成熟证据、机制线索和过度解读。,不要把群体研究直接当成个人方案。 不支持把候选证据写成个人医疗、补剂或抗衰处方。,可能需要。只了解原则不用；准备尝试前要看个人情况。,研究版主题页,content/topics/microbiome-inflammaging.md,2026-08-09
T021,皮肤外观,防晒与光老化预防,A：较强,广谱防晒/光防护对预防 UV 相关光老化属于皮肤美容图谱中最强、最可转化的证据方向之一；核心结论是预防和减缓光老化，而不是逆转所有皮肤老化。,防晒主要是预防和减缓光老化，不是逆转所有皮肤老化。,不要把皮肤水分、皱纹或色斑改善说成延寿或逆龄。 支持长期规范光防护作为皮肤健康基础；不支持把防晒写成逆龄治疗、替代医美或保证某个具体产品优于其他产品。,可能需要。只了解原则不用；准备尝试前要看个人情况。,研究版主题页,content/skin-beauty-topics/sunscreen-photoaging-prevention.md,2026-08-09
T022,皮肤外观,维A酸/视黄醇类与光老化,B：中等,外用维A酸类是光老化干预中研究较多的方向，核心终点是皱纹、粗糙、色素和真皮结构相关指标。,维A酸类有皮肤证据，但处方、刺激和孕期风险要重视。,不要把皮肤水分、皱纹或色斑改善说成延寿或逆龄。 处方维A酸、孕期、敏感肌和皮肤病人群需要医生评估；不提供浓度和用法建议。,需要。疾病指标、处方药或医美操作，要专业评估。,研究版主题页,content/skin-beauty-topics/retinoids-photoaging.md,2026-08-09
T023,皮肤外观,烟酰胺与屏障/色素/炎症,C：有限,烟酰胺适合放在皮肤屏障、色素和炎症调节主题中，但不同浓度、配方和终点需要区分。,烟酰胺适合放在皮肤屏障、色素和炎症调节主题中，但不同浓度、配方和终点需要区分。,不要把皮肤水分、皱纹或色斑改善说成延寿或逆龄。 可讨论皮肤指标，不支持宣传为全身抗衰或延寿。,阅读不用；要自己尝试，先做专业评估。,研究版主题页,content/skin-beauty-topics/niacinamide-barrier-pigment.md,2026-08-09
T024,皮肤外观,维C外用与色素/胶原,B：中等,维C外用主要作为抗氧化、色素和胶原相关候选方向，证据受配方稳定性和研究设计影响较大。,维C外用主要作为抗氧化、色素和胶原相关候选方向，证据受配方稳定性和研究设计影响较大。,不要把皮肤水分、皱纹或色斑改善说成延寿或逆龄。 不支持把外用维C写成可替代防晒、医美或疾病治疗。,可能需要。只了解原则不用；准备尝试前要看个人情况。,研究版主题页,content/skin-beauty-topics/topical-vitamin-c.md,2026-08-09
T025,皮肤外观,口服胶原肽与皮肤弹性/水分,C：有限,口服胶原肽对皮肤水分、弹性等软终点有候选证据，但异质性、商业化和终点临床意义限制较大；公开等级下调为 C。,胶原肽主要看皮肤水分和弹性，不要理解成逆龄或延寿。,不要把皮肤水分、皱纹或色斑改善说成延寿或逆龄。 不支持把口服胶原写成逆龄、延寿或替代均衡蛋白摄入；需要看研究质量和利益冲突。,阅读不用；要自己尝试，先做专业评估。,研究版主题页,content/skin-beauty-topics/oral-collagen-peptides.md,2026-08-09
T026,皮肤外观,透明质酸、神经酰胺与皮肤水分屏障,C：有限,透明质酸和神经酰胺更适合评价皮肤水分、屏障和干燥相关终点。,主要看皮肤水分和屏障，不等于全身抗衰。,不要把皮肤水分、皱纹或色斑改善说成延寿或逆龄。 支持屏障/保湿方向的证据整理，不支持宣传为系统性抗衰。,阅读不用；要自己尝试，先做专业评估。,研究版主题页,content/skin-beauty-topics/hyaluronic-acid-ceramides-hydration.md,2026-08-09
T027,皮肤外观,多酚/抗氧化剂与皮肤光保护,C：有限,多酚和抗氧化剂有一定光保护和皮肤指标研究，但商业化过度宣传风险较高。,多酚和抗氧化剂有一定光保护和皮肤指标研究，但商业化过度宣传风险较高。,不要把皮肤水分、皱纹或色斑改善说成延寿或逆龄。 不能替代防晒；不能把抗氧化机制直接写成抗老已证实。,阅读不用；要自己尝试，先做专业评估。,研究版主题页,content/skin-beauty-topics/polyphenols-skin-photoprotection.md,2026-08-09
T028,皮肤外观,医美能量设备和换肤类干预,B：中等,能量设备、微针和换肤类干预多属于专业医美或医疗美容场景，终点可见但风险和操作者依赖性高。,能量设备、微针和换肤类干预多属于专业医美或医疗美容场景，终点可见但风险和操作者依赖性高。,不要把皮肤水分、皱纹或色斑改善说成延寿或逆龄。 必须由合格专业人员评估；不提供设备、参数或疗程建议。,需要。疾病指标、处方药或医美操作，要专业评估。,研究版主题页,content/skin-beauty-topics/energy-devices-resurfacing.md,2026-08-09
T029,皮肤外观,PDRN/PN 与 Skin Booster,B：中等,PDRN/PN 属于高声量美容与医美交叉方向：既出现在外用化妆品叙事，也出现在注射、skin booster、填充或导入类项目中；当前证据和撤稿风险必须一起看。,PDRN/PN 要先分清外用、导入、注射和填充；撤稿记录要前置看。,不要把皮肤水分、皱纹或色斑改善说成延寿或逆龄。 外用、导入、注射和填充不是同一种证据；不支持把 PDRN 写成逆龄、延寿或无风险医美项目。,需要。疾病指标、处方药或医美操作，要专业评估。,研究版主题页,content/skin-beauty-topics/pdrn-polynucleotide-skin-boosters.md,2026-08-09
