target_id,update_month,name_zh,name_en,category,pubmed_total_count_20y,pubmed_retracted_count_20y,retractions_per_1000_publications,health_evidence,skin_evidence,best_evidence_grade,ab_evidence_surface_count,ab_evidence_surface_share_percent,publications_per_ab_surface_proxy,evidence_yield_score_0_100,evidence_yield_label,commercial_overclaim_risk,reader_note,last_checked
S011,2026-09,益生菌,Probiotics,microbiome,18909,47,2.49,C：有限,C：有限,C,0,0.0,,18.7,发表多；两个场景均低于B,高,20年发表 18909 篇；A/B 证据面 0/2；每1000篇撤稿 2.49。这是主题级代理，不是单篇高质量研究计数。,2026-09-21
S012,2026-09,NMN,NMN,nad_precursor,273,0,0.0,C：有限,D：很早期,C,0,0.0,,32.6,小分母/早期且宣传风险高,高,20年发表 273 篇；A/B 证据面 0/2；每1000篇撤稿 0.00。这是主题级代理，不是单篇高质量研究计数。,2026-09-21
S013,2026-09,NR,Nicotinamide Riboside,nad_precursor,225,0,0.0,C：有限,D：很早期,C,0,0.0,,33.7,小分母/早期且宣传风险高,高,20年发表 225 篇；A/B 证据面 0/2；每1000篇撤稿 0.00。这是主题级代理，不是单篇高质量研究计数。,2026-09-21
S014,2026-09,NAD 前体,NAD Precursors,nad_precursor,495,0,0.0,C：有限,D：很早期,C,0,0.0,,29.6,小分母/早期且宣传风险高,高,20年发表 495 篇；A/B 证据面 0/2；每1000篇撤稿 0.00。这是主题级代理，不是单篇高质量研究计数。,2026-09-21
S015,2026-09,白藜芦醇,Resveratrol,polyphenol,4239,21,4.95,C：有限,C：有限,C,0,0.0,,22.0,发表多；两个场景均低于B,高,20年发表 4239 篇；A/B 证据面 0/2；每1000篇撤稿 4.95。这是主题级代理，不是单篇高质量研究计数。,2026-09-21
S016,2026-09,槲皮素,Quercetin,polyphenol,3587,19,5.3,D：很早期,D：很早期,D,0,0.0,,11.2,发表多；两个场景均低于B,高,20年发表 3587 篇；A/B 证据面 0/2；每1000篇撤稿 5.30。这是主题级代理，不是单篇高质量研究计数。,2026-09-21
S017,2026-09,姜黄素,Curcumin,polyphenol,6057,39,6.44,C：有限,D：很早期,C,0,0.0,,21.1,发表多；两个场景均低于B,高,20年发表 6057 篇；A/B 证据面 0/2；每1000篇撤稿 6.44。这是主题级代理，不是单篇高质量研究计数。,2026-09-21
S018,2026-09,绿茶儿茶素,Green Tea Catechins,polyphenol,1171,5,4.27,C：有限,C：有限,C,0,0.0,,26.0,发表多；两个场景均低于B,高,20年发表 1171 篇；A/B 证据面 0/2；每1000篇撤稿 4.27。这是主题级代理，不是单篇高质量研究计数。,2026-09-21
S019,2026-09,虾青素,Astaxanthin,antioxidant,1218,1,0.82,D：很早期,C：有限,C,0,0.0,,25.9,发表多；两个场景均低于B,高,20年发表 1218 篇；A/B 证据面 0/2；每1000篇撤稿 0.82。这是主题级代理，不是单篇高质量研究计数。,2026-09-21
S020,2026-09,透明质酸,Hyaluronic Acid,skin_hydration,1659,3,1.81,D：很早期,B：中等,B,1,50.0,1659.0,49.7,发表多；一个场景为A/B,中,20年发表 1659 篇；A/B 证据面 1/2；每1000篇撤稿 1.81。这是主题级代理，不是单篇高质量研究计数。,2026-09-21
S021,2026-09,神经酰胺,Ceramides,skin_barrier,135,0,0.0,D：很早期,B：中等,B,1,50.0,135.0,74.0,发表较少；有A/B场景,中,20年发表 135 篇；A/B 证据面 1/2；每1000篇撤稿 0.00。这是主题级代理，不是单篇高质量研究计数。,2026-09-21
S022,2026-09,烟酰胺,Niacinamide,vitamin_b3,49,0,0.0,C：有限,B：中等,B,1,50.0,49.0,80.0,发表较少；有A/B场景,中,20年发表 49 篇；A/B 证据面 1/2；每1000篇撤稿 0.00。这是主题级代理，不是单篇高质量研究计数。,2026-09-21
S023,2026-09,维生素 B12,Vitamin B12,vitamin,3149,2,0.64,B：中等,D：很早期,B,1,50.0,3149.0,45.7,发表多；一个场景为A/B,中,20年发表 3149 篇；A/B 证据面 1/2；每1000篇撤稿 0.64。这是主题级代理，不是单篇高质量研究计数。,2026-09-21
S024,2026-09,叶酸,Folate,vitamin,3871,3,0.77,B：中等,D：很早期,B,1,50.0,3871.0,44.6,发表多；一个场景为A/B,中,20年发表 3871 篇；A/B 证据面 1/2；每1000篇撤稿 0.77。这是主题级代理，不是单篇高质量研究计数。,2026-09-21
S025,2026-09,复合维生素,Multivitamin,multi_nutrient,499,1,2.0,C：有限,D：很早期,C,0,0.0,,29.6,小分母/早期且宣传风险高,高,20年发表 499 篇；A/B 证据面 0/2；每1000篇撤稿 2.00。这是主题级代理，不是单篇高质量研究计数。,2026-09-21
S026,2026-09,维生素 E,Vitamin E,vitamin,2959,6,2.03,C：有限,C：有限,C,0,0.0,,23.0,发表多；两个场景均低于B,高,20年发表 2959 篇；A/B 证据面 0/2；每1000篇撤稿 2.03。这是主题级代理，不是单篇高质量研究计数。,2026-09-21
S027,2026-09,维生素 A,Vitamin A,vitamin,2888,5,1.73,C：有限,C：有限,C,0,0.0,,23.1,发表多；两个场景均低于B,高,20年发表 2888 篇；A/B 证据面 0/2；每1000篇撤稿 1.73。这是主题级代理，不是单篇高质量研究计数。,2026-09-21
S028,2026-09,维生素 K2,Vitamin K2,vitamin,320,3,9.38,C：有限,D：很早期,C,0,0.0,,31.8,小分母/早期且宣传风险高,高,20年发表 320 篇；A/B 证据面 0/2；每1000篇撤稿 9.38。这是主题级代理，不是单篇高质量研究计数。,2026-09-21
S029,2026-09,硒,Selenium,mineral,7553,7,0.93,C：有限,D：很早期,C,0,0.0,,20.6,发表多；两个场景均低于B,高,20年发表 7553 篇；A/B 证据面 0/2；每1000篇撤稿 0.93。这是主题级代理，不是单篇高质量研究计数。,2026-09-21
S030,2026-09,碘,Iodine,mineral,4881,6,1.23,B：中等,D：很早期,B,1,50.0,4881.0,43.4,发表多；一个场景为A/B,中,20年发表 4881 篇；A/B 证据面 1/2；每1000篇撤稿 1.23。这是主题级代理，不是单篇高质量研究计数。,2026-09-21
S031,2026-09,铁,Iron,mineral,22262,42,1.89,B：中等,D：很早期,B,1,50.0,22262.0,36.8,发表多；一个场景为A/B,中,20年发表 22262 篇；A/B 证据面 1/2；每1000篇撤稿 1.89。这是主题级代理，不是单篇高质量研究计数。,2026-09-21
S032,2026-09,铜,Copper,mineral,5759,19,3.3,C：有限,D：很早期,C,0,0.0,,21.3,发表多；两个场景均低于B,中,20年发表 5759 篇；A/B 证据面 0/2；每1000篇撤稿 3.30。这是主题级代理，不是单篇高质量研究计数。,2026-09-21
S033,2026-09,锰,Manganese,mineral,1997,2,1.0,D：很早期,D：很早期,D,0,0.0,,12.1,发表多；两个场景均低于B,中,20年发表 1997 篇；A/B 证据面 0/2；每1000篇撤稿 1.00。这是主题级代理，不是单篇高质量研究计数。,2026-09-21
S034,2026-09,铬,Chromium,mineral,1828,9,4.92,C：有限,D：很早期,C,0,0.0,,24.5,发表多；两个场景均低于B,高,20年发表 1828 篇；A/B 证据面 0/2；每1000篇撤稿 4.92。这是主题级代理，不是单篇高质量研究计数。,2026-09-21
S035,2026-09,钾,Potassium,mineral,4018,7,1.74,B：中等,D：很早期,B,1,50.0,4018.0,44.4,发表多；一个场景为A/B,中,20年发表 4018 篇；A/B 证据面 1/2；每1000篇撤稿 1.74。这是主题级代理，不是单篇高质量研究计数。,2026-09-21
S036,2026-09,电解质,Electrolytes,mineral_mix,232,0,0.0,C：有限,D：很早期,C,0,0.0,,33.6,小分母早期线索,中,20年发表 232 篇；A/B 证据面 0/2；每1000篇撤稿 0.00。这是主题级代理，不是单篇高质量研究计数。,2026-09-21
S037,2026-09,车前子壳/可溶性纤维,Psyllium / Soluble Fiber,fiber,319,0,0.0,B：中等,D：很早期,B,1,50.0,319.0,63.6,发表较少；有A/B场景,中,20年发表 319 篇；A/B 证据面 1/2；每1000篇撤稿 0.00。这是主题级代理，不是单篇高质量研究计数。,2026-09-21
S038,2026-09,β-葡聚糖,Beta-Glucan,fiber,1008,1,0.99,B：中等,D：很早期,B,1,50.0,1008.0,53.2,发表多；一个场景为A/B,中,20年发表 1008 篇；A/B 证据面 1/2；每1000篇撤稿 0.99。这是主题级代理，不是单篇高质量研究计数。,2026-09-21
S039,2026-09,菊粉,Inulin,prebiotic,1216,2,1.64,C：有限,D：很早期,C,0,0.0,,25.9,发表多；两个场景均低于B,中,20年发表 1216 篇；A/B 证据面 0/2；每1000篇撤稿 1.64。这是主题级代理，不是单篇高质量研究计数。,2026-09-21
S040,2026-09,益生元复合物,Prebiotic Mix,prebiotic,2487,2,0.8,C：有限,D：很早期,C,0,0.0,,23.5,发表多；两个场景均低于B,高,20年发表 2487 篇；A/B 证据面 0/2；每1000篇撤稿 0.80。这是主题级代理，不是单篇高质量研究计数。,2026-09-21
S041,2026-09,叶黄素,Lutein,carotenoid,847,2,2.36,B：中等,C：有限,B,1,50.0,847.0,54.6,发表较少；有A/B场景,中,20年发表 847 篇；A/B 证据面 1/2；每1000篇撤稿 2.36。这是主题级代理，不是单篇高质量研究计数。,2026-09-21
S042,2026-09,玉米黄质,Zeaxanthin,carotenoid,350,1,2.86,B：中等,C：有限,B,1,50.0,350.0,62.6,发表较少；有A/B场景,中,20年发表 350 篇；A/B 证据面 1/2；每1000篇撤稿 2.86。这是主题级代理，不是单篇高质量研究计数。,2026-09-21
S043,2026-09,番茄红素,Lycopene,carotenoid,1168,2,1.71,C：有限,C：有限,C,0,0.0,,26.0,发表多；两个场景均低于B,高,20年发表 1168 篇；A/B 证据面 0/2；每1000篇撤稿 1.71。这是主题级代理，不是单篇高质量研究计数。,2026-09-21
S044,2026-09,β-胡萝卜素,Beta-Carotene,carotenoid,1130,2,1.77,C：有限,C：有限,C,0,0.0,,26.2,发表多；两个场景均低于B,高,20年发表 1130 篇；A/B 证据面 0/2；每1000篇撤稿 1.77。这是主题级代理，不是单篇高质量研究计数。,2026-09-21
S045,2026-09,α-硫辛酸,Alpha-Lipoic Acid,antioxidant,963,6,6.23,C：有限,D：很早期,C,0,0.0,,26.8,小分母/早期且宣传风险高,高,20年发表 963 篇；A/B 证据面 0/2；每1000篇撤稿 6.23。这是主题级代理，不是单篇高质量研究计数。,2026-09-21
S046,2026-09,NAC/N-乙酰半胱氨酸,N-Acetylcysteine,antioxidant,1453,4,2.75,C：有限,D：很早期,C,0,0.0,,25.3,发表多；两个场景均低于B,高,20年发表 1453 篇；A/B 证据面 0/2；每1000篇撤稿 2.75。这是主题级代理，不是单篇高质量研究计数。,2026-09-21
S047,2026-09,谷胱甘肽,Glutathione,antioxidant,2862,3,1.05,D：很早期,C：有限,C,0,0.0,,23.1,发表多；两个场景均低于B,高,20年发表 2862 篇；A/B 证据面 0/2；每1000篇撤稿 1.05。这是主题级代理，不是单篇高质量研究计数。,2026-09-21
S048,2026-09,甘氨酸,Glycine,amino_acid,1406,2,1.42,C：有限,D：很早期,C,0,0.0,,25.4,发表多；两个场景均低于B,中,20年发表 1406 篇；A/B 证据面 0/2；每1000篇撤稿 1.42。这是主题级代理，不是单篇高质量研究计数。,2026-09-21
S049,2026-09,牛磺酸,Taurine,amino_acid,1478,5,3.38,C：有限,D：很早期,C,0,0.0,,25.2,发表多；两个场景均低于B,高,20年发表 1478 篇；A/B 证据面 0/2；每1000篇撤稿 3.38。这是主题级代理，不是单篇高质量研究计数。,2026-09-21
S050,2026-09,左旋肉碱,L-Carnitine,amino_acid_derivative,1271,2,1.57,C：有限,D：很早期,C,0,0.0,,25.7,发表多；两个场景均低于B,高,20年发表 1271 篇；A/B 证据面 0/2；每1000篇撤稿 1.57。这是主题级代理，不是单篇高质量研究计数。,2026-09-21
