target_id,update_month,name_zh,name_en,category,pubmed_total_count_20y,pubmed_retracted_count_20y,retractions_per_1000_publications,health_evidence,skin_evidence,best_evidence_grade,ab_evidence_surface_count,ab_evidence_surface_share_percent,publications_per_ab_surface_proxy,evidence_yield_score_0_100,evidence_yield_label,commercial_overclaim_risk,reader_note,last_checked
S037,2026-08,车前子壳/可溶性纤维,Psyllium / Soluble Fiber,fiber,306,0,0.0,B：中等,D：很早期,B,1,50.0,306.0,64.0,小分母但有较强信号,中,20年发表 306 篇；A/B 证据面 1/2；每1000篇撤稿 0.00。这是主题级代理，不是单篇高质量研究计数。,2026-08-28
S038,2026-08,β-葡聚糖,Beta-Glucan,fiber,968,1,1.03,B：中等,D：很早期,B,1,50.0,968.0,53.5,小分母但有较强信号,中,20年发表 968 篇；A/B 证据面 1/2；每1000篇撤稿 1.03。这是主题级代理，不是单篇高质量研究计数。,2026-08-28
S039,2026-08,菊粉,Inulin,prebiotic,1169,2,1.71,C：有限,D：很早期,C,0,0.0,,26.0,高发表低证据：容易凑热闹,中,20年发表 1169 篇；A/B 证据面 0/2；每1000篇撤稿 1.71。这是主题级代理，不是单篇高质量研究计数。,2026-08-28
S040,2026-08,益生元复合物,Prebiotic Mix,prebiotic,2396,2,0.83,C：有限,D：很早期,C,0,0.0,,23.7,高发表低证据：容易凑热闹,高,20年发表 2396 篇；A/B 证据面 0/2；每1000篇撤稿 0.83。这是主题级代理，不是单篇高质量研究计数。,2026-08-28
S041,2026-08,叶黄素,Lutein,carotenoid,822,1,1.22,B：中等,C：有限,B,1,50.0,822.0,54.8,小分母但有较强信号,中,20年发表 822 篇；A/B 证据面 1/2；每1000篇撤稿 1.22。这是主题级代理，不是单篇高质量研究计数。,2026-08-28
S042,2026-08,玉米黄质,Zeaxanthin,carotenoid,342,0,0.0,B：中等,C：有限,B,1,50.0,342.0,62.8,小分母但有较强信号,中,20年发表 342 篇；A/B 证据面 1/2；每1000篇撤稿 0.00。这是主题级代理，不是单篇高质量研究计数。,2026-08-28
S043,2026-08,番茄红素,Lycopene,carotenoid,1127,2,1.77,C：有限,C：有限,C,0,0.0,,26.2,高发表低证据：容易凑热闹,高,20年发表 1127 篇；A/B 证据面 0/2；每1000篇撤稿 1.77。这是主题级代理，不是单篇高质量研究计数。,2026-08-28
S044,2026-08,β-胡萝卜素,Beta-Carotene,carotenoid,1106,2,1.81,C：有限,C：有限,C,0,0.0,,26.2,高发表低证据：容易凑热闹,高,20年发表 1106 篇；A/B 证据面 0/2；每1000篇撤稿 1.81。这是主题级代理，不是单篇高质量研究计数。,2026-08-28
S045,2026-08,α-硫辛酸,Alpha-Lipoic Acid,antioxidant,937,6,6.4,C：有限,D：很早期,C,0,0.0,,26.9,小分母/早期且宣传风险高,高,20年发表 937 篇；A/B 证据面 0/2；每1000篇撤稿 6.40。这是主题级代理，不是单篇高质量研究计数。,2026-08-28
S046,2026-08,NAC/N-乙酰半胱氨酸,N-Acetylcysteine,antioxidant,1407,4,2.84,C：有限,D：很早期,C,0,0.0,,25.4,高发表低证据：容易凑热闹,高,20年发表 1407 篇；A/B 证据面 0/2；每1000篇撤稿 2.84。这是主题级代理，不是单篇高质量研究计数。,2026-08-28
S047,2026-08,谷胱甘肽,Glutathione,antioxidant,2795,3,1.07,D：很早期,C：有限,C,0,0.0,,23.2,高发表低证据：容易凑热闹,高,20年发表 2795 篇；A/B 证据面 0/2；每1000篇撤稿 1.07。这是主题级代理，不是单篇高质量研究计数。,2026-08-28
S048,2026-08,甘氨酸,Glycine,amino_acid,1372,2,1.46,C：有限,D：很早期,C,0,0.0,,25.5,高发表低证据：容易凑热闹,中,20年发表 1372 篇；A/B 证据面 0/2；每1000篇撤稿 1.46。这是主题级代理，不是单篇高质量研究计数。,2026-08-28
S049,2026-08,牛磺酸,Taurine,amino_acid,1433,4,2.79,C：有限,D：很早期,C,0,0.0,,25.3,高发表低证据：容易凑热闹,高,20年发表 1433 篇；A/B 证据面 0/2；每1000篇撤稿 2.79。这是主题级代理，不是单篇高质量研究计数。,2026-08-28
S050,2026-08,左旋肉碱,L-Carnitine,amino_acid_derivative,1247,1,0.8,C：有限,D：很早期,C,0,0.0,,25.8,高发表低证据：容易凑热闹,高,20年发表 1247 篇；A/B 证据面 0/2；每1000篇撤稿 0.80。这是主题级代理，不是单篇高质量研究计数。,2026-08-28
