claim_id,domain,topic_id,title_zh,claim_type,claim_zh,claim_en,public_grade,endpoint_scope,evidence_basis_zh,downgrade_or_cap_reasons_zh,does_not_mean_zh,medical_supervision_needed,status,last_checked
claim-healthspan-dietary-pattern-longevity-supported-01,healthspan,dietary-pattern-longevity,饮食模式与死亡风险,supported_public_claim,健康饮食模式与较低死亡和心代谢风险相关，证据强于单一食物或补剂神话。,Healthy dietary patterns are associated with lower mortality and cardiometabolic risk.,A,死亡、心血管疾病、糖尿病、体重和代谢指标。,有较强人体证据、较重要终点和/或领域共识支持；仍需保留草稿与非医疗建议标注。,主要限制包括摘要级自动抽取、尚未逐篇全文复核和个体适用性差异。,不能神化单一食物、超级食物或补剂，也不能给出个人治疗饮食。,false,draft_claim_level_grade_needs_manual_review,2026-07-14
claim-healthspan-dietary-pattern-longevity-boundary-01,healthspan,dietary-pattern-longevity,饮食模式与死亡风险,unsupported_or_overstated_claim,不能神化单一食物、超级食物或补剂，也不能给出个人治疗饮食。,This boundary or overstated claim is not supported as a public recommendation.,not_supported,overclaim boundary,作为公开传播边界列出，目的是防止把证据外推到剂量、处方、品牌、逆龄或延寿承诺。,该说法超出当前证据适用范围。,不是否定主题本身，而是限制具体宣传语。,false,public_boundary,2026-07-14
claim-healthspan-sleep-aging-supported-01,healthspan,sleep-aging,睡眠与健康结局,supported_public_claim,睡眠问题与多类健康结局相关，识别严重失眠和睡眠呼吸暂停具有较高健康价值。,"Sleep problems are linked to multiple health outcomes, and identifying major sleep disorders has high clinical value.",A,死亡、心代谢结局、认知、心理健康、日间功能。,有较强人体证据、较重要终点和/或领域共识支持；仍需保留草稿与非医疗建议标注。,主要限制包括摘要级自动抽取、尚未逐篇全文复核和个体适用性差异。,不能把睡眠关联直接写成某种补剂或单一技巧能延寿。,true,draft_claim_level_grade_needs_manual_review,2026-07-14
claim-healthspan-sleep-aging-boundary-01,healthspan,sleep-aging,睡眠与健康结局,unsupported_or_overstated_claim,不能把睡眠关联直接写成某种补剂或单一技巧能延寿。,This boundary or overstated claim is not supported as a public recommendation.,not_supported,overclaim boundary,作为公开传播边界列出，目的是防止把证据外推到剂量、处方、品牌、逆龄或延寿承诺。,该说法超出当前证据适用范围。,不是否定主题本身，而是限制具体宣传语。,true,public_boundary,2026-07-14
claim-healthspan-glp1-weight-cardiometabolic-supported-01,healthspan,glp1-weight-cardiometabolic,GLP-1、减重与心代谢结局,supported_public_claim,GLP-1 类药物在肥胖/糖尿病/心代谢高风险人群中有较强临床结局证据。,"GLP-1 therapies have strong clinical evidence in obesity, diabetes, and cardiometabolic risk groups.",A,体重、血糖、心血管事件、不良反应。,有较强人体证据、较重要终点和/或领域共识支持；仍需保留草稿与非医疗建议标注。,主要限制包括摘要级自动抽取、尚未逐篇全文复核和个体适用性差异。,这是处方药医学主题，不能被包装成普通抗衰或美容减肥建议。,true,draft_claim_level_grade_needs_manual_review,2026-07-14
claim-healthspan-glp1-weight-cardiometabolic-boundary-01,healthspan,glp1-weight-cardiometabolic,GLP-1、减重与心代谢结局,unsupported_or_overstated_claim,这是处方药医学主题，不能被包装成普通抗衰或美容减肥建议。,This boundary or overstated claim is not supported as a public recommendation.,not_supported,overclaim boundary,作为公开传播边界列出，目的是防止把证据外推到剂量、处方、品牌、逆龄或延寿承诺。,该说法超出当前证据适用范围。,不是否定主题本身，而是限制具体宣传语。,true,public_boundary,2026-07-14
claim-healthspan-caloric-restriction-human-supported-01,healthspan,caloric-restriction-human,热量限制与人体衰老,supported_public_claim,人体热量限制有代谢和部分衰老指标证据，但不是人类延寿已证实。,"Human caloric restriction has metabolic and some aging-biomarker evidence, but not proven human lifespan extension.",B,体重、心代谢指标、衰老 biomarker、安全性。,有一定人体证据或系统证据，但硬终点、直接因果或适用范围仍有限。,主要限制包括摘要级自动抽取、尚未逐篇全文复核和个体适用性差异。,不能鼓励极端节食；孕期、进食障碍、慢病和高龄人群需谨慎。,true,draft_claim_level_grade_needs_manual_review,2026-07-14
claim-healthspan-caloric-restriction-human-boundary-01,healthspan,caloric-restriction-human,热量限制与人体衰老,unsupported_or_overstated_claim,不能鼓励极端节食；孕期、进食障碍、慢病和高龄人群需谨慎。,This boundary or overstated claim is not supported as a public recommendation.,not_supported,overclaim boundary,作为公开传播边界列出，目的是防止把证据外推到剂量、处方、品牌、逆龄或延寿承诺。,该说法超出当前证据适用范围。,不是否定主题本身，而是限制具体宣传语。,true,public_boundary,2026-07-14
claim-healthspan-time-restricted-eating-supported-01,healthspan,time-restricted-eating,限时进食与代谢健康,supported_public_claim,限时进食可作为体重和代谢管理候选策略，但证据强度低于硬终点干预。,"Time-restricted eating is a candidate strategy for weight and metabolic management, but hard-outcome evidence is limited.",B,体重、血糖、血脂、血压、依从性和安全性。,有一定人体证据或系统证据，但硬终点、直接因果或适用范围仍有限。,主要限制包括摘要级自动抽取、尚未逐篇全文复核和个体适用性差异。,糖尿病用药、孕期、进食障碍和低体重人群不应自行尝试。,true,draft_claim_level_grade_needs_manual_review,2026-07-14
claim-healthspan-time-restricted-eating-boundary-01,healthspan,time-restricted-eating,限时进食与代谢健康,unsupported_or_overstated_claim,糖尿病用药、孕期、进食障碍和低体重人群不应自行尝试。,This boundary or overstated claim is not supported as a public recommendation.,not_supported,overclaim boundary,作为公开传播边界列出，目的是防止把证据外推到剂量、处方、品牌、逆龄或延寿承诺。,该说法超出当前证据适用范围。,不是否定主题本身，而是限制具体宣传语。,true,public_boundary,2026-07-14
claim-healthspan-metformin-aging-supported-01,healthspan,metformin-aging,二甲双胍与衰老,supported_public_claim,二甲双胍在糖尿病治疗中证据明确，但作为非糖尿病人群抗衰药仍属候选假说。,"Metformin is evidence-based for diabetes treatment, but anti-aging use in non-diabetic adults remains a hypothesis.",B,糖尿病结局、心血管结局、癌症信号、衰老相关复合结局。,有一定人体证据或系统证据，但硬终点、直接因果或适用范围仍有限。,主要限制包括摘要级自动抽取、尚未逐篇全文复核和个体适用性差异。,不能把它写成普通人抗衰处方；肾功能、B12 和用药风险需医生评估。,true,draft_claim_level_grade_needs_manual_review,2026-07-14
claim-healthspan-metformin-aging-boundary-01,healthspan,metformin-aging,二甲双胍与衰老,unsupported_or_overstated_claim,不能把它写成普通人抗衰处方；肾功能、B12 和用药风险需医生评估。,This boundary or overstated claim is not supported as a public recommendation.,not_supported,overclaim boundary,作为公开传播边界列出，目的是防止把证据外推到剂量、处方、品牌、逆龄或延寿承诺。,该说法超出当前证据适用范围。,不是否定主题本身，而是限制具体宣传语。,true,public_boundary,2026-07-14
claim-healthspan-rapamycin-mtor-aging-supported-01,healthspan,rapamycin-mtor-aging,雷帕霉素/mTOR 与衰老,supported_public_claim,mTOR 是衰老机制重要通路，动物证据较强，但人体抗衰临床结论不足。,"mTOR is an important aging pathway with strong animal evidence, but human anti-aging conclusions remain limited.",C,动物寿命、免疫/皮肤/代谢指标、不良反应。,候选证据存在，但多受限于软终点、异质性、摘要级抽取或商业化风险。,主要受人体硬终点不足、机制/动物外推或安全性不确定限制。,不能建议健康人自行使用免疫抑制相关药物。,true,draft_claim_level_grade_needs_manual_review,2026-07-14
claim-healthspan-rapamycin-mtor-aging-boundary-01,healthspan,rapamycin-mtor-aging,雷帕霉素/mTOR 与衰老,unsupported_or_overstated_claim,不能建议健康人自行使用免疫抑制相关药物。,This boundary or overstated claim is not supported as a public recommendation.,not_supported,overclaim boundary,作为公开传播边界列出，目的是防止把证据外推到剂量、处方、品牌、逆龄或延寿承诺。,该说法超出当前证据适用范围。,不是否定主题本身，而是限制具体宣传语。,true,public_boundary,2026-07-14
claim-healthspan-senolytics-supported-01,healthspan,senolytics,Senolytics 清除衰老细胞,supported_public_claim,Senolytics 是前沿候选方向，但目前不能写成人体延寿或清除衰老细胞已证实。,"Senolytics are a frontier candidate area, not proven human lifespan or rejuvenation therapies.",C,衰老细胞标志物、疾病特异终点、安全性。,候选证据存在，但多受限于软终点、异质性、摘要级抽取或商业化风险。,主要受人体硬终点不足、机制/动物外推或安全性不确定限制。,不能鼓励自行服用 dasatinib、quercetin、fisetin 等高剂量组合。,true,draft_claim_level_grade_needs_manual_review,2026-07-14
claim-healthspan-senolytics-boundary-01,healthspan,senolytics,Senolytics 清除衰老细胞,unsupported_or_overstated_claim,不能鼓励自行服用 dasatinib、quercetin、fisetin 等高剂量组合。,This boundary or overstated claim is not supported as a public recommendation.,not_supported,overclaim boundary,作为公开传播边界列出，目的是防止把证据外推到剂量、处方、品牌、逆龄或延寿承诺。,该说法超出当前证据适用范围。,不是否定主题本身，而是限制具体宣传语。,true,public_boundary,2026-07-14
claim-healthspan-nad-nmn-nr-aging-supported-01,healthspan,nad-nmn-nr-aging,NAD/NMN/NR,supported_public_claim,NAD 前体可影响部分生物标志物，但人体延寿或逆龄尚未证实。,"NAD precursors can affect some biomarkers, but human lifespan extension or rejuvenation is unproven.",C,NAD 代谢物、代谢指标、身体功能、安全性。,候选证据存在，但多受限于软终点、异质性、摘要级抽取或商业化风险。,主要受人体硬终点不足、机制/动物外推或安全性不确定限制。,不能把提升 NAD 指标直接等同于延寿或抗衰成功。,false,draft_claim_level_grade_needs_manual_review,2026-07-14
claim-healthspan-nad-nmn-nr-aging-boundary-01,healthspan,nad-nmn-nr-aging,NAD/NMN/NR,unsupported_or_overstated_claim,不能把提升 NAD 指标直接等同于延寿或抗衰成功。,This boundary or overstated claim is not supported as a public recommendation.,not_supported,overclaim boundary,作为公开传播边界列出，目的是防止把证据外推到剂量、处方、品牌、逆龄或延寿承诺。,该说法超出当前证据适用范围。,不是否定主题本身，而是限制具体宣传语。,false,public_boundary,2026-07-14
claim-healthspan-epigenetic-clocks-supported-01,healthspan,epigenetic-clocks,表观遗传时钟,supported_public_claim,表观遗传时钟是有价值的衰老 biomarker 工具，但 biomarker 改善不等于临床获益。,"Epigenetic clocks are useful aging biomarkers, but biomarker changes do not equal clinical benefit.",B,时钟年龄、疾病风险预测、死亡预测、对干预的响应。,有一定人体证据或系统证据，但硬终点、直接因果或适用范围仍有限。,主要限制包括摘要级自动抽取、尚未逐篇全文复核和个体适用性差异。,不能把时钟变年轻直接写成真正逆龄或延寿。,false,draft_claim_level_grade_needs_manual_review,2026-07-14
claim-healthspan-epigenetic-clocks-boundary-01,healthspan,epigenetic-clocks,表观遗传时钟,unsupported_or_overstated_claim,不能把时钟变年轻直接写成真正逆龄或延寿。,This boundary or overstated claim is not supported as a public recommendation.,not_supported,overclaim boundary,作为公开传播边界列出，目的是防止把证据外推到剂量、处方、品牌、逆龄或延寿承诺。,该说法超出当前证据适用范围。,不是否定主题本身，而是限制具体宣传语。,false,public_boundary,2026-07-14
claim-healthspan-itp-mouse-lifespan-supported-01,healthspan,itp-mouse-lifespan,ITP 小鼠寿命干预,supported_public_claim,ITP 是动物寿命干预的重要筛选平台，但不能直接外推成人类延寿建议。,"ITP is an important mouse lifespan screening platform, not direct human longevity guidance.",D,小鼠寿命、健康寿命代理指标、性别差异。,主要为动物、机制或早期探索证据。,主要受人体硬终点不足、机制/动物外推或安全性不确定限制。,不能把小鼠寿命延长写成人类可用抗衰方案。,false,draft_claim_level_grade_needs_manual_review,2026-07-14
claim-healthspan-itp-mouse-lifespan-boundary-01,healthspan,itp-mouse-lifespan,ITP 小鼠寿命干预,unsupported_or_overstated_claim,不能把小鼠寿命延长写成人类可用抗衰方案。,This boundary or overstated claim is not supported as a public recommendation.,not_supported,overclaim boundary,作为公开传播边界列出，目的是防止把证据外推到剂量、处方、品牌、逆龄或延寿承诺。,该说法超出当前证据适用范围。,不是否定主题本身，而是限制具体宣传语。,false,public_boundary,2026-07-14
claim-healthspan-klotho-il11-aging-supported-01,healthspan,klotho-il11-aging,Klotho / IL-11,supported_public_claim,Klotho/IL-11 属于有潜力的机制和转化方向，但人体抗衰证据仍早期。,"Klotho/IL-11 is a promising mechanistic and translational area, but human anti-aging evidence is early.",C,机制性衰老标志物、疾病模型、寿命/健康寿命代理指标。,候选证据存在，但多受限于软终点、异质性、摘要级抽取或商业化风险。,主要受人体硬终点不足、机制/动物外推或安全性不确定限制。,不能写成可自行应用的人体抗衰治疗。,true,draft_claim_level_grade_needs_manual_review,2026-07-14
claim-healthspan-klotho-il11-aging-boundary-01,healthspan,klotho-il11-aging,Klotho / IL-11,unsupported_or_overstated_claim,不能写成可自行应用的人体抗衰治疗。,This boundary or overstated claim is not supported as a public recommendation.,not_supported,overclaim boundary,作为公开传播边界列出，目的是防止把证据外推到剂量、处方、品牌、逆龄或延寿承诺。,该说法超出当前证据适用范围。,不是否定主题本身，而是限制具体宣传语。,true,public_boundary,2026-07-14
claim-healthspan-partial-reprogramming-supported-01,healthspan,partial-reprogramming,部分重编程,supported_public_claim,部分重编程是高潜力但高风险的前沿机制方向，目前不应作为人体抗衰结论。,"Partial reprogramming is high-potential but high-risk frontier biology, not a human anti-aging recommendation.",D,细胞标志物、模型组织功能、安全性和肿瘤风险信号。,主要为动物、机制或早期探索证据。,主要受人体硬终点不足、机制/动物外推或安全性不确定限制。,不能把实验室 rejuvenation 写成人体可用疗法。,true,draft_claim_level_grade_needs_manual_review,2026-07-14
claim-healthspan-partial-reprogramming-boundary-01,healthspan,partial-reprogramming,部分重编程,unsupported_or_overstated_claim,不能把实验室 rejuvenation 写成人体可用疗法。,This boundary or overstated claim is not supported as a public recommendation.,not_supported,overclaim boundary,作为公开传播边界列出，目的是防止把证据外推到剂量、处方、品牌、逆龄或延寿承诺。,该说法超出当前证据适用范围。,不是否定主题本身，而是限制具体宣传语。,true,public_boundary,2026-07-14
claim-healthspan-autophagy-mitophagy-supported-01,healthspan,autophagy-mitophagy,自噬/线粒体自噬,supported_public_claim,自噬/线粒体自噬是衰老机制核心方向，但多数干预仍缺少人体硬终点证据。,"Autophagy/mitophagy is central aging biology, but most interventions lack human hard-outcome evidence.",C,机制指标、代谢/功能指标、疾病特异结局。,候选证据存在，但多受限于软终点、异质性、摘要级抽取或商业化风险。,主要受人体硬终点不足、机制/动物外推或安全性不确定限制。,不能把激活自噬宣传成普遍延寿或排毒。,false,draft_claim_level_grade_needs_manual_review,2026-07-14
claim-healthspan-autophagy-mitophagy-boundary-01,healthspan,autophagy-mitophagy,自噬/线粒体自噬,unsupported_or_overstated_claim,不能把激活自噬宣传成普遍延寿或排毒。,This boundary or overstated claim is not supported as a public recommendation.,not_supported,overclaim boundary,作为公开传播边界列出，目的是防止把证据外推到剂量、处方、品牌、逆龄或延寿承诺。,该说法超出当前证据适用范围。,不是否定主题本身，而是限制具体宣传语。,false,public_boundary,2026-07-14
claim-healthspan-microbiome-inflammaging-supported-01,healthspan,microbiome-inflammaging,微生物组与炎症性衰老,supported_public_claim,微生物组与炎症性衰老相关，但个性化益生菌或泛化抗衰结论仍需谨慎。,"The microbiome is linked to inflammaging, but personalized probiotic or broad anti-aging claims remain uncertain.",B,炎症、代谢结局、免疫指标、疾病风险、衰弱。,有一定人体证据或系统证据，但硬终点、直接因果或适用范围仍有限。,主要限制包括摘要级自动抽取、尚未逐篇全文复核和个体适用性差异。,不能把单一益生菌写成抗衰处方。,false,draft_claim_level_grade_needs_manual_review,2026-07-14
claim-healthspan-microbiome-inflammaging-boundary-01,healthspan,microbiome-inflammaging,微生物组与炎症性衰老,unsupported_or_overstated_claim,不能把单一益生菌写成抗衰处方。,This boundary or overstated claim is not supported as a public recommendation.,not_supported,overclaim boundary,作为公开传播边界列出，目的是防止把证据外推到剂量、处方、品牌、逆龄或延寿承诺。,该说法超出当前证据适用范围。,不是否定主题本身，而是限制具体宣传语。,false,public_boundary,2026-07-14
claim-skin_beauty-sunscreen-photoaging-prevention-supported-01,skin_beauty,sunscreen-photoaging-prevention,防晒与光老化预防,supported_public_claim,广谱防晒/光防护可预防和减缓 UV 相关光老化，是皮肤美容图谱中的 A 级基础结论。,Broad-spectrum sunscreen/photoprotection can prevent or slow UV-related photoaging.,A,光老化、色素、皱纹、红斑、DNA 损伤。,有较强人体证据、较重要终点和/或领域共识支持；仍需保留草稿与非医疗建议标注。,领域级预防结论可为 A；但单篇综述、具体产品、逆转皱纹或替代医美不得自动继承 A。,不代表逆转所有已存在皮肤老化，也不代表某个具体产品优于其他产品。,false,draft_claim_level_grade_needs_manual_review,2026-07-14
claim-skin_beauty-sunscreen-photoaging-prevention-boundary-01,skin_beauty,sunscreen-photoaging-prevention,防晒与光老化预防,unsupported_or_overstated_claim,不代表逆转所有已存在皮肤老化，也不代表某个具体产品优于其他产品。,This boundary or overstated claim is not supported as a public recommendation.,not_supported,overclaim boundary,作为公开传播边界列出，目的是防止把证据外推到剂量、处方、品牌、逆龄或延寿承诺。,该说法超出当前证据适用范围。,不是否定主题本身，而是限制具体宣传语。,false,public_boundary,2026-07-14
claim-skin_beauty-retinoids-photoaging-supported-01,skin_beauty,retinoids-photoaging,维A酸/视黄醇类与光老化,supported_public_claim,外用维A酸类对光老化相关皮肤终点有较多人体和临床经验支持。,Topical retinoids have meaningful evidence for photoaging-related skin endpoints.,B,皱纹、肤质、色素、胶原相关指标、刺激反应。,有一定人体证据或系统证据，但硬终点、直接因果或适用范围仍有限。,皮肤终点多为 S1/S2 外观或仪器指标，不能外推为延寿或系统抗衰。,处方维A酸、孕期、敏感肌和皮肤病人群需要医生评估。,true,draft_claim_level_grade_needs_manual_review,2026-07-14
claim-skin_beauty-retinoids-photoaging-boundary-01,skin_beauty,retinoids-photoaging,维A酸/视黄醇类与光老化,unsupported_or_overstated_claim,处方维A酸、孕期、敏感肌和皮肤病人群需要医生评估。,This boundary or overstated claim is not supported as a public recommendation.,not_supported,overclaim boundary,作为公开传播边界列出，目的是防止把证据外推到剂量、处方、品牌、逆龄或延寿承诺。,该说法超出当前证据适用范围。,不是否定主题本身，而是限制具体宣传语。,true,public_boundary,2026-07-14
claim-skin_beauty-niacinamide-barrier-pigment-supported-01,skin_beauty,niacinamide-barrier-pigment,烟酰胺与屏障/色素/炎症,supported_public_claim,烟酰胺可作为屏障、色素和炎症相关皮肤终点的候选成分。,"Niacinamide is a candidate ingredient for barrier, pigmentation, and inflammation-related skin endpoints.",B,屏障功能、色素、炎症、痤疮、耐受性。,有一定人体证据或系统证据，但硬终点、直接因果或适用范围仍有限。,皮肤终点多为 S1/S2 外观或仪器指标，不能外推为延寿或系统抗衰。,不能宣传为全身抗衰或延寿。,false,draft_claim_level_grade_needs_manual_review,2026-07-14
claim-skin_beauty-niacinamide-barrier-pigment-boundary-01,skin_beauty,niacinamide-barrier-pigment,烟酰胺与屏障/色素/炎症,unsupported_or_overstated_claim,不能宣传为全身抗衰或延寿。,This boundary or overstated claim is not supported as a public recommendation.,not_supported,overclaim boundary,作为公开传播边界列出，目的是防止把证据外推到剂量、处方、品牌、逆龄或延寿承诺。,该说法超出当前证据适用范围。,不是否定主题本身，而是限制具体宣传语。,false,public_boundary,2026-07-14
claim-skin_beauty-topical-vitamin-c-supported-01,skin_beauty,topical-vitamin-c,维C外用与色素/胶原,supported_public_claim,外用维C可作为色素、抗氧化和胶原相关皮肤终点的候选方向。,"Topical vitamin C is a candidate for pigment, antioxidant, and collagen-related skin endpoints.",B,色素、胶原指标、光老化表现、刺激和稳定性。,有一定人体证据或系统证据，但硬终点、直接因果或适用范围仍有限。,皮肤终点多为 S1/S2 外观或仪器指标，不能外推为延寿或系统抗衰。,不能替代防晒、医美或疾病治疗。,false,draft_claim_level_grade_needs_manual_review,2026-07-14
claim-skin_beauty-topical-vitamin-c-boundary-01,skin_beauty,topical-vitamin-c,维C外用与色素/胶原,unsupported_or_overstated_claim,不能替代防晒、医美或疾病治疗。,This boundary or overstated claim is not supported as a public recommendation.,not_supported,overclaim boundary,作为公开传播边界列出，目的是防止把证据外推到剂量、处方、品牌、逆龄或延寿承诺。,该说法超出当前证据适用范围。,不是否定主题本身，而是限制具体宣传语。,false,public_boundary,2026-07-14
claim-skin_beauty-oral-collagen-peptides-supported-01,skin_beauty,oral-collagen-peptides,口服胶原肽与皮肤弹性/水分,supported_public_claim,口服胶原肽对水分和弹性等软终点有候选证据，但异质性和商业化风险较高。,"Oral collagen peptides have candidate evidence for soft endpoints such as hydration and elasticity, but heterogeneity and commercial risk are high.",C,水分、弹性、皱纹、主观外观、不良反应。,候选证据存在，但多受限于软终点、异质性、摘要级抽取或商业化风险。,皮肤终点多为 S1/S2 外观或仪器指标，不能外推为延寿或系统抗衰。,不能写成逆龄、延寿或替代均衡蛋白摄入。,false,draft_claim_level_grade_needs_manual_review,2026-07-14
claim-skin_beauty-oral-collagen-peptides-boundary-01,skin_beauty,oral-collagen-peptides,口服胶原肽与皮肤弹性/水分,unsupported_or_overstated_claim,不能写成逆龄、延寿或替代均衡蛋白摄入。,This boundary or overstated claim is not supported as a public recommendation.,not_supported,overclaim boundary,作为公开传播边界列出，目的是防止把证据外推到剂量、处方、品牌、逆龄或延寿承诺。,该说法超出当前证据适用范围。,不是否定主题本身，而是限制具体宣传语。,false,public_boundary,2026-07-14
claim-skin_beauty-hyaluronic-acid-ceramides-hydration-supported-01,skin_beauty,hyaluronic-acid-ceramides-hydration,透明质酸、神经酰胺与皮肤水分屏障,supported_public_claim,透明质酸和神经酰胺方向适合讨论保湿和屏障终点。,Hyaluronic acid and ceramides are relevant to hydration and barrier endpoints.,B,皮肤水分、经皮水分流失、屏障功能、干燥。,有一定人体证据或系统证据，但硬终点、直接因果或适用范围仍有限。,皮肤终点多为 S1/S2 外观或仪器指标，不能外推为延寿或系统抗衰。,不能宣传为系统性抗衰或替代皮肤病治疗。,false,draft_claim_level_grade_needs_manual_review,2026-07-14
claim-skin_beauty-hyaluronic-acid-ceramides-hydration-boundary-01,skin_beauty,hyaluronic-acid-ceramides-hydration,透明质酸、神经酰胺与皮肤水分屏障,unsupported_or_overstated_claim,不能宣传为系统性抗衰或替代皮肤病治疗。,This boundary or overstated claim is not supported as a public recommendation.,not_supported,overclaim boundary,作为公开传播边界列出，目的是防止把证据外推到剂量、处方、品牌、逆龄或延寿承诺。,该说法超出当前证据适用范围。,不是否定主题本身，而是限制具体宣传语。,false,public_boundary,2026-07-14
