question_id,domain,topic_id,title_zh,title_en,framework,population_zh,population_en,intervention_or_exposure_zh,intervention_or_exposure_en,comparator_zh,comparator_en,outcomes_zh,outcomes_en,preferred_study_designs,exclusion_or_boundary_zh,last_checked
q-healthspan-metformin-aging,healthspan,metformin-aging,二甲双胍与衰老,Metformin and Aging,PICO/PECO,糖尿病成人或被纳入衰老假说研究的人群。,Adults with diabetes or populations studied for aging-related hypotheses.,二甲双胍暴露或治疗。,Metformin exposure or metformin treatment.,未使用二甲双胍、安慰剂或其他糖尿病治疗。,"No metformin, placebo, or alternative diabetes treatment.",糖尿病结局、心血管结局、癌症信号、衰老相关复合结局。,"Diabetes outcomes, cardiovascular outcomes, cancer signals, aging-related composite outcomes.",systematic review/meta-analysis; RCT; prospective cohort; high-quality mechanistic bridge only as support,不能把它写成普通人抗衰处方；肾功能、B12 和用药风险需医生评估。,2026-08-28
q-healthspan-rapamycin-mtor-aging,healthspan,rapamycin-mtor-aging,雷帕霉素/mTOR 与衰老,Rapamycin/mTOR and Aging,PICO/PECO,动物模型和有限人体转化场景。,Animal models and limited human translational contexts.,雷帕霉素、rapalog 或 mTOR 调节。,"Rapamycin, rapalogs, or mTOR modulation.",安慰剂、未处理对照或其他机制干预。,"Placebo, untreated control, or other mechanistic intervention.",动物寿命、免疫/皮肤/代谢指标、不良反应。,"Lifespan in animals, immune/skin/metabolic markers, adverse events.","human pilot studies plus mechanistic/preclinical evidence, clearly separated from public claims",不能建议健康人自行使用免疫抑制相关药物。,2026-08-28
q-healthspan-senolytics,healthspan,senolytics,Senolytics 清除衰老细胞,Senolytics,PICO/PECO,临床前模型和有限早期人体研究。,Preclinical models and limited early human studies.,senolytic 候选药物或靶向细胞衰老干预。,Senolytic candidates or senescence-targeting interventions.,安慰剂、未处理对照或标准照护。,"Placebo, untreated controls, or standard care.",衰老细胞标志物、疾病特异终点、安全性。,"Senescence markers, disease-specific endpoints, safety.","human pilot studies plus mechanistic/preclinical evidence, clearly separated from public claims",不能鼓励自行服用 dasatinib、quercetin、fisetin 等高剂量组合。,2026-08-28
q-healthspan-nad-nmn-nr-aging,healthspan,nad-nmn-nr-aging,NAD/NMN/NR,NAD/NMN/NR,PICO/PECO,NAD 生物学相关成人研究和临床前模型。,Adults and preclinical models studied for NAD biology.,NMN、NR、NAD 前体或 NAD 调节干预。,"NMN, NR, NAD precursors, or NAD-modulating interventions.",安慰剂或不补充。,Placebo or no supplementation.,NAD 代谢物、代谢指标、身体功能、安全性。,"NAD metabolites, metabolic markers, physical function, safety.","human pilot studies plus mechanistic/preclinical evidence, clearly separated from public claims",不能把提升 NAD 指标直接等同于延寿或抗衰成功。,2026-08-28
q-healthspan-epigenetic-clocks,healthspan,epigenetic-clocks,表观遗传时钟,Epigenetic Clocks,PICO/PECO,人体队列、干预研究和 biomarker 验证数据集。,"Human cohorts, intervention studies, and biomarker validation sets.",表观遗传时钟测量或相关干预。,Measurement or modification of epigenetic clock biomarkers.,不同表观时钟、基线或对照组。,"Different clock measures, baseline, or control groups.",时钟年龄、疾病风险预测、死亡预测、对干预的响应。,"Clock age, disease risk prediction, mortality prediction, responsiveness to interventions.",systematic review/meta-analysis; RCT; prospective cohort; high-quality mechanistic bridge only as support,不能把时钟变年轻直接写成真正逆龄或延寿。,2026-08-28
q-healthspan-itp-mouse-lifespan,healthspan,itp-mouse-lifespan,ITP 小鼠寿命干预,ITP Mouse Lifespan Interventions,PICO/PECO,ITP 小鼠模型和相关寿命实验。,Mouse models in the Interventions Testing Program and related lifespan studies.,小鼠寿命候选干预。,Candidate lifespan interventions tested in mice.,对照饲料或未处理小鼠组。,Control diet or untreated mouse groups.,小鼠寿命、健康寿命代理指标、性别差异。,"Mouse lifespan, healthspan proxies, sex-specific effects.","human pilot studies plus mechanistic/preclinical evidence, clearly separated from public claims",不能把小鼠寿命延长写成人类可用抗衰方案。,2026-08-28
q-healthspan-klotho-il11-aging,healthspan,klotho-il11-aging,Klotho / IL-11,Klotho / IL-11,PICO/PECO,临床前模型和早期转化研究。,Preclinical models and early translational studies.,Klotho 调节、IL-11 抑制或相关通路干预。,"Klotho modulation, IL-11 inhibition, or related pathway interventions.",未处理对照、野生型对照或安慰剂。,"Untreated controls, wild-type controls, or placebo.",机制性衰老标志物、疾病模型、寿命/健康寿命代理指标。,"Mechanistic aging markers, disease models, lifespan/healthspan proxies.","human pilot studies plus mechanistic/preclinical evidence, clearly separated from public claims",不能写成可自行应用的人体抗衰治疗。,2026-08-28
q-healthspan-partial-reprogramming,healthspan,partial-reprogramming,部分重编程,Partial Reprogramming,PICO/PECO,细胞、动物模型和早期技术平台。,"Cells, animal models, and early technology platforms.",部分细胞重编程或 Yamanaka 因子相关方法。,Partial cellular reprogramming or Yamanaka-factor-related approaches.,未处理或假处理对照。,Untreated or sham controls.,细胞标志物、模型组织功能、安全性和肿瘤风险信号。,"Cellular markers, tissue function in models, safety and tumorigenicity signals.","human pilot studies plus mechanistic/preclinical evidence, clearly separated from public claims",不能把实验室 rejuvenation 写成人体可用疗法。,2026-08-28
q-healthspan-autophagy-mitophagy,healthspan,autophagy-mitophagy,自噬/线粒体自噬,Autophagy and Mitophagy,PICO/PECO,临床前模型和人体 biomarker/干预研究。,Preclinical models and human biomarker/intervention studies.,自噬或线粒体自噬调节干预。,Autophagy or mitophagy-modulating interventions.,对照条件、安慰剂或常规照护。,"Control condition, placebo, or usual care.",机制指标、代谢/功能指标、疾病特异结局。,"Mechanistic markers, metabolic/functional markers, disease-specific outcomes.","human pilot studies plus mechanistic/preclinical evidence, clearly separated from public claims",不能把激活自噬宣传成普遍延寿或排毒。,2026-08-28
q-healthspan-microbiome-inflammaging,healthspan,microbiome-inflammaging,微生物组与炎症性衰老,Microbiome and Inflammaging,PICO/PECO,人体队列、临床疾病人群和临床前微生物组模型。,"Human cohorts, clinical conditions, and preclinical microbiome models.",微生物组组成、饮食、益生元/益生菌或靶向微生物组干预。,"Microbiome composition, diet, probiotics/prebiotics, or microbiome-targeted interventions.",不同微生物组特征、安慰剂、常规饮食或对照组。,"Different microbiome profiles, placebo, usual diet, or control groups.",炎症、代谢结局、免疫指标、疾病风险、衰弱。,"Inflammation, metabolic outcomes, immune markers, disease risk, frailty.",systematic review/meta-analysis; RCT; prospective cohort; high-quality mechanistic bridge only as support,不能把单一益生菌写成抗衰处方。,2026-08-28
q-skin_beauty-sunscreen-photoaging-prevention,skin_beauty,sunscreen-photoaging-prevention,防晒与光老化预防,Sunscreen and Photoaging Prevention,PICO,存在紫外线或可见光相关光老化风险的人群。,People exposed to ultraviolet or visible-light-related photoaging risk.,广谱防晒和综合光防护。,Broad-spectrum sunscreen and photoprotection.,不规律、不充分或无光防护。,"Discretionary, inadequate, or no photoprotection.",光老化、色素、皱纹、红斑、DNA 损伤。,"Photoaging, pigmentation, wrinkles, erythema, DNA damage.",systematic review/meta-analysis; large RCT; large prospective cohort; Mendelian randomization where appropriate,不代表逆转所有已存在皮肤老化，也不代表某个具体产品优于其他产品。,2026-08-28
q-skin_beauty-retinoids-photoaging,skin_beauty,retinoids-photoaging,维A酸/视黄醇类与光老化,Retinoids and Photoaging,PICO,有光老化表现或皮肤美容诉求的成人。,Adults with photoaging signs or cosmetic dermatology concerns.,外用维A酸、视黄醇、视黄醛等。,"Topical retinoids, tretinoin, retinol, retinaldehyde.",基质、安慰剂、常规护肤或较弱配方。,"Vehicle, placebo, usual skincare, or lower-strength formulations.",皱纹、肤质、色素、胶原相关指标、刺激反应。,"Wrinkles, texture, pigmentation, collagen-related markers, irritation.",systematic review/meta-analysis; RCT; prospective cohort; high-quality mechanistic bridge only as support,处方维A酸、孕期、敏感肌和皮肤病人群需要医生评估。,2026-08-28
q-skin_beauty-niacinamide-barrier-pigment,skin_beauty,niacinamide-barrier-pigment,烟酰胺与屏障/色素/炎症,"Niacinamide for Barrier, Pigment, and Inflammation",PICO,有屏障、色素、炎症、痤疮或皮肤美容诉求的人群。,"People with barrier, pigment, inflammation, acne, or cosmetic skin concerns.",按具体问题区分外用或口服烟酰胺/烟酰胺类。,Topical or oral niacinamide/nicotinamide depending on claim.,基质、安慰剂、常规护肤或不处理。,"Vehicle, placebo, usual skincare, or no treatment.",屏障功能、色素、炎症、痤疮、耐受性。,"Barrier function, pigmentation, inflammation, acne, tolerability.","human pilot studies plus mechanistic/preclinical evidence, clearly separated from public claims",不能宣传为全身抗衰或延寿。,2026-08-28
q-skin_beauty-topical-vitamin-c,skin_beauty,topical-vitamin-c,维C外用与色素/胶原,Topical Vitamin C,PICO,有光老化、色素或抗氧化护肤诉求的人群。,"People with photoaging, pigment, or antioxidant skincare concerns.",外用维C或抗坏血酸配方。,Topical vitamin C or ascorbic-acid formulations.,基质、安慰剂、常规护肤或其他活性成分。,"Vehicle, placebo, usual skincare, or other active ingredients.",色素、胶原指标、光老化表现、刺激和稳定性。,"Pigmentation, collagen markers, photoaging signs, irritation and stability.",systematic review/meta-analysis; RCT; prospective cohort; high-quality mechanistic bridge only as support,不能替代防晒、医美或疾病治疗。,2026-08-28
q-skin_beauty-oral-collagen-peptides,skin_beauty,oral-collagen-peptides,口服胶原肽与皮肤弹性/水分,Oral Collagen Peptides,PICO,以皮肤外观终点为目标使用口服胶原肽的成人。,Adults using oral collagen peptides for skin appearance endpoints.,口服胶原肽或水解胶原。,Oral collagen peptides or hydrolyzed collagen.,安慰剂或不补充。,Placebo or no supplementation.,水分、弹性、皱纹、主观外观、不良反应。,"Hydration, elasticity, wrinkles, patient-reported appearance, adverse effects.","human pilot studies plus mechanistic/preclinical evidence, clearly separated from public claims",不能写成逆龄、延寿或替代均衡蛋白摄入。,2026-08-28
q-skin_beauty-hyaluronic-acid-ceramides-hydration,skin_beauty,hyaluronic-acid-ceramides-hydration,透明质酸、神经酰胺与皮肤水分屏障,"Hyaluronic Acid, Ceramides, and Hydration",PICO,皮肤干燥、屏障受损或保湿诉求人群。,"People with dry skin, impaired barrier, or hydration concerns.",外用或口服透明质酸、神经酰胺或屏障支持配方。,"Topical or oral hyaluronic acid, ceramides, or barrier-supporting formulations.",基质、安慰剂、常规保湿或不干预。,"Vehicle, placebo, usual moisturizer, or no intervention.",皮肤水分、经皮水分流失、屏障功能、干燥。,"Skin hydration, transepidermal water loss, barrier function, dryness.","human pilot studies plus mechanistic/preclinical evidence, clearly separated from public claims",不能宣传为系统性抗衰或替代皮肤病治疗。,2026-08-28
q-skin_beauty-polyphenols-skin-photoprotection,skin_beauty,polyphenols-skin-photoprotection,多酚/抗氧化剂与皮肤光保护,Polyphenols and Skin Photoprotection,PICO,以皮肤光保护为目标使用多酚或抗氧化剂的人群。,People using polyphenols or antioxidants for skin photoprotection claims.,多酚、抗氧化剂、类胡萝卜素、植物提取物。,"Polyphenols, antioxidants, carotenoids, botanical extracts.",安慰剂、基质、常规饮食/护肤或不补充。,"Placebo, vehicle, usual diet/skincare, or no supplementation.",光保护指标、红斑、色素、氧化应激指标。,"Photoprotection markers, erythema, pigmentation, oxidative-stress markers.","human pilot studies plus mechanistic/preclinical evidence, clearly separated from public claims",不能替代防晒，也不能把抗氧化机制写成抗老已证实。,2026-08-28
q-skin_beauty-energy-devices-resurfacing,skin_beauty,energy-devices-resurfacing,医美能量设备和换肤类干预,"Energy Devices, Peels, and Resurfacing",PICO,因光老化、皱纹、瘢痕或肤质问题考虑医美操作的人群。,"People seeking procedural treatment for photoaging, wrinkles, scars, or texture concerns.",激光、强脉冲光、微针、换肤和 resurfacing 设备。,"Laser, intense pulsed light, microneedling, peels, resurfacing devices.",假处理、常规护理、其他设备或基线。,"Sham, usual care, other devices, or baseline.",皱纹、肤质、色素、瘢痕、不良反应、恢复期。,"Wrinkles, texture, pigmentation, scars, adverse events, downtime.",systematic review/meta-analysis; RCT; prospective cohort; high-quality mechanistic bridge only as support,必须由合格专业人员评估；不能提供参数、疗程或设备推荐。,2026-08-28
q-skin_beauty-pdrn-polynucleotide-skin-boosters,skin_beauty,pdrn-polynucleotide-skin-boosters,PDRN/PN 与 Skin Booster,PDRN / Polynucleotide / Skin Booster,PICO,考虑外用、导入、注射或填充类 PDRN/PN / skin booster 宣传的人群。,"People considering topical, device-assisted, injectable, or filler-like PDRN/PN skin-booster claims.",PDRN、polynucleotide、PN 或 skin booster 产品/操作，并按外用、导入、注射、填充等路径分开。,"PDRN, polynucleotide, PN, or skin-booster products and procedures, separated by route and procedure type.",基质、安慰剂、常规护肤、无操作或其他专业医美操作。,"Vehicle, placebo, usual skincare, no procedure, or alternative professional procedures.",皮肤修复、皱纹、弹性、瘢痕/创面、操作相关不良反应和效果持续时间。,"Skin repair, wrinkles, elasticity, scars/wounds, procedure-related adverse events, and durability.",systematic review/meta-analysis; RCT; prospective cohort; high-quality mechanistic bridge only as support,不能把外用化妆品证据当作注射项目证据，也不能写成逆龄、延寿或无风险医美项目。,2026-08-28
