reader_topic_id,display_order,domain,topic_id,title_zh,title_en,public_level,level_plain_zh,one_sentence_zh,what_this_means_for_reader_zh,what_not_to_conclude_zh,doctor_or_professional_needed_zh,how_to_read_next_zh,evidence_level_explained_zh,last_checked
reader-健康寿命-metformin-aging,11,健康寿命,metformin-aging,二甲双胍与衰老,Metformin and Aging,B,中上,二甲双胍与衰老 是重要候选方向，但公开结论必须区分成熟证据、机制线索和过度解读。,先读结论边界，再看是否属于生活方式、医学治疗、补剂或医美场景。,不支持把候选证据写成个人医疗、补剂或抗衰处方。 等级已按 v0.4 综合评分重算；A 不等于个人处方建议。,是。涉及药物、疾病指标、处方药或医美操作时，应先问医生或合格专业人员。,先看这一行，再看 Claim 级证据评级；如果想追原文，再去文献库全量搜索 PMID 或标题。,B 级：有较多支持，但还有适用范围或不确定性。 可以关注，但不要过度理解。,2026-04-29
reader-健康寿命-rapamycin-mtor-aging,12,健康寿命,rapamycin-mtor-aging,雷帕霉素/mTOR 与衰老,Rapamycin/mTOR and Aging,C,早期/有限,雷帕霉素/mTOR 与衰老 是重要候选方向，但公开结论必须区分成熟证据、机制线索和过度解读。,先当作研究方向看，不建议自行尝试或购买高风险产品。,不支持把候选证据写成个人医疗、补剂或抗衰处方。 等级已按 v0.4 综合评分重算；A 不等于个人处方建议。,是。涉及药物、疾病指标、处方药或医美操作时，应先问医生或合格专业人员。,先看这一行，再看 Claim 级证据评级；如果想追原文，再去文献库全量搜索 PMID 或标题。,C 级：有线索，但还不能当成确定结论。 适合继续观察，不适合自己激进尝试。,2026-04-29
reader-健康寿命-senolytics,13,健康寿命,senolytics,Senolytics 清除衰老细胞,Senolytics,C,早期/有限,Senolytics 清除衰老细胞 是重要候选方向，但公开结论必须区分成熟证据、机制线索和过度解读。,先当作研究方向看，不建议自行尝试或购买高风险产品。,不支持把候选证据写成个人医疗、补剂或抗衰处方。 等级已按 v0.4 综合评分重算；A 不等于个人处方建议。,是。涉及药物、疾病指标、处方药或医美操作时，应先问医生或合格专业人员。,先看这一行，再看 Claim 级证据评级；如果想追原文，再去文献库全量搜索 PMID 或标题。,C 级：有线索，但还不能当成确定结论。 适合继续观察，不适合自己激进尝试。,2026-04-29
reader-健康寿命-nad-nmn-nr-aging,14,健康寿命,nad-nmn-nr-aging,NAD/NMN/NR,NAD/NMN/NR,C,早期/有限,NAD/NMN/NR 是重要候选方向，但公开结论必须区分成熟证据、机制线索和过度解读。,先当作研究方向看，不建议自行尝试或购买高风险产品。,不支持把候选证据写成个人医疗、补剂或抗衰处方。 等级已按 v0.4 综合评分重算；A 不等于个人处方建议。,如果想尝试任何激进干预，需要先问医生；普通阅读不需要。,先看这一行，再看 Claim 级证据评级；如果想追原文，再去文献库全量搜索 PMID 或标题。,C 级：有线索，但还不能当成确定结论。 适合继续观察，不适合自己激进尝试。,2026-04-29
reader-健康寿命-epigenetic-clocks,15,健康寿命,epigenetic-clocks,表观遗传时钟,Epigenetic Clocks,B,中上,表观遗传时钟 是重要候选方向，但公开结论必须区分成熟证据、机制线索和过度解读。,先读结论边界，再看是否属于生活方式、医学治疗、补剂或医美场景。,不支持把候选证据写成个人医疗、补剂或抗衰处方。 等级已按 v0.4 综合评分重算；A 不等于个人处方建议。,一般生活方式方向可先理解原则；有慢病、用药、孕期或高龄情况应问医生。,先看这一行，再看 Claim 级证据评级；如果想追原文，再去文献库全量搜索 PMID 或标题。,B 级：有较多支持，但还有适用范围或不确定性。 可以关注，但不要过度理解。,2026-04-29
reader-健康寿命-itp-mouse-lifespan,16,健康寿命,itp-mouse-lifespan,ITP 小鼠寿命干预,ITP Mouse Lifespan Interventions,D,很早期,ITP 小鼠寿命干预 是重要候选方向，但公开结论必须区分成熟证据、机制线索和过度解读。,先当作研究方向看，不建议自行尝试或购买高风险产品。,不支持把候选证据写成个人医疗、补剂或抗衰处方。 等级已按 v0.4 综合评分重算；A 不等于个人处方建议。,如果想尝试任何激进干预，需要先问医生；普通阅读不需要。,先看这一行，再看 Claim 级证据评级；如果想追原文，再去文献库全量搜索 PMID 或标题。,D 级：主要是动物、细胞、机制或很初步的人体线索。 只能当研究方向看。,2026-04-29
reader-健康寿命-klotho-il11-aging,17,健康寿命,klotho-il11-aging,Klotho / IL-11,Klotho / IL-11,C,早期/有限,Klotho / IL-11 是重要候选方向，但公开结论必须区分成熟证据、机制线索和过度解读。,先当作研究方向看，不建议自行尝试或购买高风险产品。,不支持把候选证据写成个人医疗、补剂或抗衰处方。 等级已按 v0.4 综合评分重算；A 不等于个人处方建议。,是。涉及药物、疾病指标、处方药或医美操作时，应先问医生或合格专业人员。,先看这一行，再看 Claim 级证据评级；如果想追原文，再去文献库全量搜索 PMID 或标题。,C 级：有线索，但还不能当成确定结论。 适合继续观察，不适合自己激进尝试。,2026-04-29
reader-健康寿命-partial-reprogramming,18,健康寿命,partial-reprogramming,部分重编程,Partial Reprogramming,D,很早期,部分重编程 是重要候选方向，但公开结论必须区分成熟证据、机制线索和过度解读。,先当作研究方向看，不建议自行尝试或购买高风险产品。,不支持把候选证据写成个人医疗、补剂或抗衰处方。 等级已按 v0.4 综合评分重算；A 不等于个人处方建议。,是。涉及药物、疾病指标、处方药或医美操作时，应先问医生或合格专业人员。,先看这一行，再看 Claim 级证据评级；如果想追原文，再去文献库全量搜索 PMID 或标题。,D 级：主要是动物、细胞、机制或很初步的人体线索。 只能当研究方向看。,2026-04-29
reader-健康寿命-autophagy-mitophagy,19,健康寿命,autophagy-mitophagy,自噬/线粒体自噬,Autophagy and Mitophagy,C,早期/有限,自噬/线粒体自噬 是重要候选方向，但公开结论必须区分成熟证据、机制线索和过度解读。,先当作研究方向看，不建议自行尝试或购买高风险产品。,不支持把候选证据写成个人医疗、补剂或抗衰处方。 等级已按 v0.4 综合评分重算；A 不等于个人处方建议。,如果想尝试任何激进干预，需要先问医生；普通阅读不需要。,先看这一行，再看 Claim 级证据评级；如果想追原文，再去文献库全量搜索 PMID 或标题。,C 级：有线索，但还不能当成确定结论。 适合继续观察，不适合自己激进尝试。,2026-04-29
reader-健康寿命-microbiome-inflammaging,20,健康寿命,microbiome-inflammaging,微生物组与炎症性衰老,Microbiome and Inflammaging,B,中上,微生物组与炎症性衰老 是重要候选方向，但公开结论必须区分成熟证据、机制线索和过度解读。,先读结论边界，再看是否属于生活方式、医学治疗、补剂或医美场景。,不支持把候选证据写成个人医疗、补剂或抗衰处方。 等级已按 v0.4 综合评分重算；A 不等于个人处方建议。,一般生活方式方向可先理解原则；有慢病、用药、孕期或高龄情况应问医生。,先看这一行，再看 Claim 级证据评级；如果想追原文，再去文献库全量搜索 PMID 或标题。,B 级：有较多支持，但还有适用范围或不确定性。 可以关注，但不要过度理解。,2026-04-29
reader-外观抗老-sunscreen-photoaging-prevention,1,外观抗老,sunscreen-photoaging-prevention,防晒与光老化预防,Sunscreen and Photoaging Prevention,A,强,广谱防晒/光防护对预防 UV 相关光老化属于皮肤美容图谱中最强、最可转化的证据方向之一；核心结论是预防和减缓光老化，而不是逆转所有皮肤老化。,先把它理解为：长期光防护是外观抗老的基础，但不是逆转所有皱纹。,支持长期规范光防护作为皮肤健康基础；不支持把防晒写成逆龄治疗、替代医美或保证某个具体产品优于其他产品。,一般生活方式方向可先理解原则；有慢病、用药、孕期或高龄情况应问医生。,先看这一行，再看 Claim 级证据评级；如果想追原文，再去文献库全量搜索 PMID 或标题。,A 级：比较可靠，可以优先看，但仍不是个人处方。 适合放在第一梯队理解。,2026-04-29
reader-外观抗老-retinoids-photoaging,2,外观抗老,retinoids-photoaging,维A酸/视黄醇类与光老化,Retinoids and Photoaging,B,中上,外用维A酸类是光老化干预中研究较多的方向，核心终点是皱纹、粗糙、色素和真皮结构相关指标。,先读结论边界，再看是否属于生活方式、医学治疗、补剂或医美场景。,处方维A酸、孕期、敏感肌和皮肤病人群需要医生评估；不提供浓度和用法建议。,是。涉及药物、疾病指标、处方药或医美操作时，应先问医生或合格专业人员。,先看这一行，再看 Claim 级证据评级；如果想追原文，再去文献库全量搜索 PMID 或标题。,B 级：有较多支持，但还有适用范围或不确定性。 可以关注，但不要过度理解。,2026-04-29
reader-外观抗老-niacinamide-barrier-pigment,3,外观抗老,niacinamide-barrier-pigment,烟酰胺与屏障/色素/炎症,"Niacinamide for Barrier, Pigment, and Inflammation",B,中上,烟酰胺适合放在皮肤屏障、色素和炎症调节主题中，但不同浓度、配方和终点需要区分。,先读结论边界，再看是否属于生活方式、医学治疗、补剂或医美场景。,可讨论皮肤指标，不支持宣传为全身抗衰或延寿。,一般生活方式方向可先理解原则；有慢病、用药、孕期或高龄情况应问医生。,先看这一行，再看 Claim 级证据评级；如果想追原文，再去文献库全量搜索 PMID 或标题。,B 级：有较多支持，但还有适用范围或不确定性。 可以关注，但不要过度理解。,2026-04-29
reader-外观抗老-topical-vitamin-c,4,外观抗老,topical-vitamin-c,维C外用与色素/胶原,Topical Vitamin C,B,中上,维C外用主要作为抗氧化、色素和胶原相关候选方向，证据受配方稳定性和研究设计影响较大。,先读结论边界，再看是否属于生活方式、医学治疗、补剂或医美场景。,不支持把外用维C写成可替代防晒、医美或疾病治疗。,一般生活方式方向可先理解原则；有慢病、用药、孕期或高龄情况应问医生。,先看这一行，再看 Claim 级证据评级；如果想追原文，再去文献库全量搜索 PMID 或标题。,B 级：有较多支持，但还有适用范围或不确定性。 可以关注，但不要过度理解。,2026-04-29
reader-外观抗老-oral-collagen-peptides,5,外观抗老,oral-collagen-peptides,口服胶原肽与皮肤弹性/水分,Oral Collagen Peptides,C,早期/有限,口服胶原肽对皮肤水分、弹性等软终点有候选证据，但异质性、商业化和终点临床意义限制较大；公开等级下调为 C。,可以把它当成皮肤水分/弹性软终点候选，不要当成逆龄或延寿方案。,不支持把口服胶原写成逆龄、延寿或替代均衡蛋白摄入；需要看研究质量和利益冲突。,如果想尝试任何激进干预，需要先问医生；普通阅读不需要。,先看这一行，再看 Claim 级证据评级；如果想追原文，再去文献库全量搜索 PMID 或标题。,C 级：有线索，但还不能当成确定结论。 适合继续观察，不适合自己激进尝试。,2026-04-29
reader-外观抗老-hyaluronic-acid-ceramides-hydration,6,外观抗老,hyaluronic-acid-ceramides-hydration,透明质酸、神经酰胺与皮肤水分屏障,"Hyaluronic Acid, Ceramides, and Hydration",B,中上,透明质酸和神经酰胺更适合评价皮肤水分、屏障和干燥相关终点。,先读结论边界，再看是否属于生活方式、医学治疗、补剂或医美场景。,支持屏障/保湿方向的证据整理，不支持宣传为系统性抗衰。,一般生活方式方向可先理解原则；有慢病、用药、孕期或高龄情况应问医生。,先看这一行，再看 Claim 级证据评级；如果想追原文，再去文献库全量搜索 PMID 或标题。,B 级：有较多支持，但还有适用范围或不确定性。 可以关注，但不要过度理解。,2026-04-29
reader-外观抗老-polyphenols-skin-photoprotection,7,外观抗老,polyphenols-skin-photoprotection,多酚/抗氧化剂与皮肤光保护,Polyphenols and Skin Photoprotection,C,早期/有限,多酚和抗氧化剂有一定光保护和皮肤指标研究，但商业化过度宣传风险较高。,先当作研究方向看，不建议自行尝试或购买高风险产品。,不能替代防晒；不能把抗氧化机制直接写成抗老已证实。,如果想尝试任何激进干预，需要先问医生；普通阅读不需要。,先看这一行，再看 Claim 级证据评级；如果想追原文，再去文献库全量搜索 PMID 或标题。,C 级：有线索，但还不能当成确定结论。 适合继续观察，不适合自己激进尝试。,2026-04-29
reader-外观抗老-energy-devices-resurfacing,8,外观抗老,energy-devices-resurfacing,医美能量设备和换肤类干预,"Energy Devices, Peels, and Resurfacing",B,中上,能量设备、微针和换肤类干预多属于专业医美或医疗美容场景，终点可见但风险和操作者依赖性高。,先读结论边界，再看是否属于生活方式、医学治疗、补剂或医美场景。,必须由合格专业人员评估；不提供设备、参数或疗程建议。,是。涉及药物、疾病指标、处方药或医美操作时，应先问医生或合格专业人员。,先看这一行，再看 Claim 级证据评级；如果想追原文，再去文献库全量搜索 PMID 或标题。,B 级：有较多支持，但还有适用范围或不确定性。 可以关注，但不要过度理解。,2026-04-29
