supplement_id,name_zh,name_en,category,longevity_evidence_level,skin_beauty_evidence_level,longevity_endpoint_class,skin_endpoint_class,supported_claim_zh,unsupported_claim_zh,safety_notes_zh,medical_supervision_needed,commercial_overclaim_risk,summary_zh,summary_en,status,last_checked
probiotics,益生菌,Probiotics,microbiome,C,C,L2/M,S1/M,部分肠道、炎症和皮肤屏障/炎症场景有候选证据。,不支持单一益生菌适用于所有人抗衰或美容。,免疫抑制、重症或中心静脉置管人群需医疗评估。,true,high,益生菌：健康寿命证据草判 C；皮肤美容证据草判 C。部分肠道、炎症和皮肤屏障/炎症场景有候选证据。,Probiotics: draft longevity evidence C; draft skin/beauty evidence C. Not a dosing or product recommendation.,public_draft_not_fully_reviewed,2026-04-28
nmn,NMN,NMN,nad_precursor,C,D,L2/M,M,可作为 NAD 代谢和人体早期指标研究候选。,不支持声称已证实延寿、逆龄或美容抗老。,长期安全性和适用人群仍不清楚。,false,high,NMN：健康寿命证据草判 C；皮肤美容证据草判 D。可作为 NAD 代谢和人体早期指标研究候选。,NMN: draft longevity evidence C; draft skin/beauty evidence D. Not a dosing or product recommendation.,public_draft_not_fully_reviewed,2026-04-28
nr,NR,Nicotinamide Riboside,nad_precursor,C,D,L2/M,M,可作为 NAD 前体和代谢指标研究候选。,不支持声称已证实延寿或外观逆龄。,长期净收益和特殊疾病人群安全性仍需复核。,false,high,NR：健康寿命证据草判 C；皮肤美容证据草判 D。可作为 NAD 前体和代谢指标研究候选。,Nicotinamide Riboside: draft longevity evidence C; draft skin/beauty evidence D. Not a dosing or product recommendation.,public_draft_not_fully_reviewed,2026-04-28
nad-precursors,NAD 前体,NAD Precursors,nad_precursor,C,D,L2/M,M,可作为机制和早期人体研究集合。,不支持把 NAD 提升等同于延寿或抗老成功。,不同前体不能混为同一效果。,false,high,NAD 前体：健康寿命证据草判 C；皮肤美容证据草判 D。可作为机制和早期人体研究集合。,NAD Precursors: draft longevity evidence C; draft skin/beauty evidence D. Not a dosing or product recommendation.,public_draft_not_fully_reviewed,2026-04-28
resveratrol,白藜芦醇,Resveratrol,polyphenol,C,C,L2/M,S1/M,可作为多酚、代谢和皮肤光保护候选证据。,不支持红酒/白藜芦醇延寿或逆龄宣传。,药物相互作用和剂量差异大。,true,high,白藜芦醇：健康寿命证据草判 C；皮肤美容证据草判 C。可作为多酚、代谢和皮肤光保护候选证据。,Resveratrol: draft longevity evidence C; draft skin/beauty evidence C. Not a dosing or product recommendation.,public_draft_not_fully_reviewed,2026-04-28
quercetin,槲皮素,Quercetin,polyphenol,D,D,M,M,可作为抗氧化、炎症和 senolytic 组合研究线索。,不支持单独作为抗衰、清除衰老细胞或美容方案。,与药物代谢相关相互作用需注意。,true,high,槲皮素：健康寿命证据草判 D；皮肤美容证据草判 D。可作为抗氧化、炎症和 senolytic 组合研究线索。,Quercetin: draft longevity evidence D; draft skin/beauty evidence D. Not a dosing or product recommendation.,public_draft_not_fully_reviewed,2026-04-28
curcumin,姜黄素,Curcumin,polyphenol,C,D,L2/M,M,可作为炎症和代谢相关候选证据。,不支持声称抗癌、延寿或皮肤逆龄。,胆道疾病、抗凝药和胃肠耐受需注意。,true,high,姜黄素：健康寿命证据草判 C；皮肤美容证据草判 D。可作为炎症和代谢相关候选证据。,Curcumin: draft longevity evidence C; draft skin/beauty evidence D. Not a dosing or product recommendation.,public_draft_not_fully_reviewed,2026-04-28
green-tea-catechins,绿茶儿茶素,Green Tea Catechins,polyphenol,C,C,L2/M,S1/M,可作为代谢和皮肤光保护候选证据。,不支持高浓缩提取物无风险或明确延寿。,高剂量提取物有肝毒性报告，需谨慎。,true,high,绿茶儿茶素：健康寿命证据草判 C；皮肤美容证据草判 C。可作为代谢和皮肤光保护候选证据。,Green Tea Catechins: draft longevity evidence C; draft skin/beauty evidence C. Not a dosing or product recommendation.,public_draft_not_fully_reviewed,2026-04-28
astaxanthin,虾青素,Astaxanthin,antioxidant,D,C,M,S1/S2,可作为皮肤光保护和抗氧化候选证据。,不支持声称防晒替代、逆龄或延寿。,长期高剂量和特殊人群安全性仍需复核。,false,high,虾青素：健康寿命证据草判 D；皮肤美容证据草判 C。可作为皮肤光保护和抗氧化候选证据。,Astaxanthin: draft longevity evidence D; draft skin/beauty evidence C. Not a dosing or product recommendation.,public_draft_not_fully_reviewed,2026-04-28
hyaluronic-acid,透明质酸,Hyaluronic Acid,skin_hydration,D,B,M,S1,可支持皮肤水分和屏障相关候选证据。,不支持声称系统性抗衰或延寿。,注射类属于医疗美容，不纳入口服/外用普通补剂结论。,false,medium,透明质酸：健康寿命证据草判 D；皮肤美容证据草判 B。可支持皮肤水分和屏障相关候选证据。,Hyaluronic Acid: draft longevity evidence D; draft skin/beauty evidence B. Not a dosing or product recommendation.,public_draft_not_fully_reviewed,2026-04-28
ceramides,神经酰胺,Ceramides,skin_barrier,D,B,M,S1,可支持干燥、屏障和 TEWL 相关皮肤终点。,不支持声称逆龄或治疗皮肤病。,皮肤病治疗需医生评估。,false,medium,神经酰胺：健康寿命证据草判 D；皮肤美容证据草判 B。可支持干燥、屏障和 TEWL 相关皮肤终点。,Ceramides: draft longevity evidence D; draft skin/beauty evidence B. Not a dosing or product recommendation.,public_draft_not_fully_reviewed,2026-04-28
niacinamide,烟酰胺,Niacinamide,vitamin_b3,C,B,L2/M,S1,可支持皮肤屏障、色素和炎症相关候选证据。,不支持把烟酰胺写成延寿或全面抗衰。,口服高剂量和肝病/慢病人群需谨慎。,false,medium,烟酰胺：健康寿命证据草判 C；皮肤美容证据草判 B。可支持皮肤屏障、色素和炎症相关候选证据。,Niacinamide: draft longevity evidence C; draft skin/beauty evidence B. Not a dosing or product recommendation.,public_draft_not_fully_reviewed,2026-04-28
vitamin-b12,维生素 B12,Vitamin B12,vitamin,B,D,L2,M,可支持缺乏、贫血和神经相关风险管理。,不支持非缺乏人群补充即可延寿或美容。,需结合缺乏风险、素食、胃肠疾病和用药情况。,true,medium,维生素 B12：健康寿命证据草判 B；皮肤美容证据草判 D。可支持缺乏、贫血和神经相关风险管理。,Vitamin B12: draft longevity evidence B; draft skin/beauty evidence D. Not a dosing or product recommendation.,public_draft_not_fully_reviewed,2026-04-28
folate,叶酸,Folate,vitamin,B,D,L1/L2,M,可支持孕前孕期和缺乏风险相关健康管理。,不支持作为抗衰或美容补剂泛用。,高剂量可能掩盖 B12 缺乏，需注意人群边界。,true,medium,叶酸：健康寿命证据草判 B；皮肤美容证据草判 D。可支持孕前孕期和缺乏风险相关健康管理。,Folate: draft longevity evidence B; draft skin/beauty evidence D. Not a dosing or product recommendation.,public_draft_not_fully_reviewed,2026-04-28
multivitamin,复合维生素,Multivitamin,multi_nutrient,C,D,L2/M,M,可作为饮食不足或特定人群营养补充候选。,不支持替代健康饮食、延寿或美容逆龄。,注意重复摄入脂溶性维生素和矿物质。,false,high,复合维生素：健康寿命证据草判 C；皮肤美容证据草判 D。可作为饮食不足或特定人群营养补充候选。,Multivitamin: draft longevity evidence C; draft skin/beauty evidence D. Not a dosing or product recommendation.,public_draft_not_fully_reviewed,2026-04-28
vitamin-e,维生素 E,Vitamin E,vitamin,C,C,L2/M,S2/M,可作为抗氧化相关候选证据。,不支持高剂量用于延寿、心血管预防或美容逆龄。,高剂量可能增加出血风险，抗凝药人群需谨慎。,true,high,维生素 E：健康寿命证据草判 C；皮肤美容证据草判 C。可作为抗氧化相关候选证据。,Vitamin E: draft longevity evidence C; draft skin/beauty evidence C. Not a dosing or product recommendation.,public_draft_not_fully_reviewed,2026-04-28
vitamin-a,维生素 A,Vitamin A,vitamin,C,C,L2/M,S2,可支持缺乏相关视力、免疫和皮肤角化问题。,不支持高剂量抗老或美容口服。,脂溶性维生素，过量和孕期风险较高。,true,high,维生素 A：健康寿命证据草判 C；皮肤美容证据草判 C。可支持缺乏相关视力、免疫和皮肤角化问题。,Vitamin A: draft longevity evidence C; draft skin/beauty evidence C. Not a dosing or product recommendation.,public_draft_not_fully_reviewed,2026-04-28
vitamin-k2,维生素 K2,Vitamin K2,vitamin,C,D,L2/M,M,可作为骨骼和钙代谢相关候选证据。,不支持声称软化血管、延寿或美容。,华法林等抗凝药人群需医生评估。,true,high,维生素 K2：健康寿命证据草判 C；皮肤美容证据草判 D。可作为骨骼和钙代谢相关候选证据。,Vitamin K2: draft longevity evidence C; draft skin/beauty evidence D. Not a dosing or product recommendation.,public_draft_not_fully_reviewed,2026-04-28
selenium,硒,Selenium,mineral,C,D,L2/M,M,可支持缺乏或甲状腺相关候选证据。,不支持高剂量抗癌、延寿或美容。,过量可导致硒中毒，安全窗较窄。,true,high,硒：健康寿命证据草判 C；皮肤美容证据草判 D。可支持缺乏或甲状腺相关候选证据。,Selenium: draft longevity evidence C; draft skin/beauty evidence D. Not a dosing or product recommendation.,public_draft_not_fully_reviewed,2026-04-28
iodine,碘,Iodine,mineral,B,D,L2,M,可支持缺乏和甲状腺健康管理。,不支持抗衰或美容泛用。,甲状腺疾病人群补充需医生评估。,true,medium,碘：健康寿命证据草判 B；皮肤美容证据草判 D。可支持缺乏和甲状腺健康管理。,Iodine: draft longevity evidence B; draft skin/beauty evidence D. Not a dosing or product recommendation.,public_draft_not_fully_reviewed,2026-04-28
iron,铁,Iron,mineral,B,D,L2,M,可支持缺铁和贫血相关健康管理。,不支持无缺乏人群补铁抗老。,过量铁有风险，需结合铁蛋白和医生评估。,true,medium,铁：健康寿命证据草判 B；皮肤美容证据草判 D。可支持缺铁和贫血相关健康管理。,Iron: draft longevity evidence B; draft skin/beauty evidence D. Not a dosing or product recommendation.,public_draft_not_fully_reviewed,2026-04-28
copper,铜,Copper,mineral,C,D,L2/M,M,可支持明确缺乏相关候选证据。,不支持作为美容或抗衰补剂泛用。,过量有毒性，且与锌摄入存在平衡问题。,true,medium,铜：健康寿命证据草判 C；皮肤美容证据草判 D。可支持明确缺乏相关候选证据。,Copper: draft longevity evidence C; draft skin/beauty evidence D. Not a dosing or product recommendation.,public_draft_not_fully_reviewed,2026-04-28
manganese,锰,Manganese,mineral,D,D,M,M,可作为微量元素缺乏风险线索。,不支持抗衰或美容宣传。,过量有神经毒性风险。,true,medium,锰：健康寿命证据草判 D；皮肤美容证据草判 D。可作为微量元素缺乏风险线索。,Manganese: draft longevity evidence D; draft skin/beauty evidence D. Not a dosing or product recommendation.,public_draft_not_fully_reviewed,2026-04-28
chromium,铬,Chromium,mineral,C,D,L2/M,M,可作为糖代谢相关候选证据。,不支持减肥、控糖或延寿确定有效宣传。,糖尿病用药人群需注意低血糖和相互作用。,true,high,铬：健康寿命证据草判 C；皮肤美容证据草判 D。可作为糖代谢相关候选证据。,Chromium: draft longevity evidence C; draft skin/beauty evidence D. Not a dosing or product recommendation.,public_draft_not_fully_reviewed,2026-04-28
potassium,钾,Potassium,mineral,B,D,L2,M,可支持血压和膳食模式相关健康管理。,不支持自行高剂量补钾抗衰。,肾病、ACEI/ARB 或保钾利尿剂人群风险高。,true,medium,钾：健康寿命证据草判 B；皮肤美容证据草判 D。可支持血压和膳食模式相关健康管理。,Potassium: draft longevity evidence B; draft skin/beauty evidence D. Not a dosing or product recommendation.,public_draft_not_fully_reviewed,2026-04-28
electrolytes,电解质,Electrolytes,mineral_mix,C,D,L2/M,M,可支持出汗、运动或脱水场景。,不支持日常抗衰或美容泛用。,高血压、肾病和心衰人群需看钠钾负担。,true,medium,电解质：健康寿命证据草判 C；皮肤美容证据草判 D。可支持出汗、运动或脱水场景。,Electrolytes: draft longevity evidence C; draft skin/beauty evidence D. Not a dosing or product recommendation.,public_draft_not_fully_reviewed,2026-04-28
psyllium,车前子壳/可溶性纤维,Psyllium / Soluble Fiber,fiber,B,D,L2,M,可支持 LDL-C、血糖和肠道规律相关终点。,不支持直接延寿或美容逆龄。,需注意饮水、吞咽困难和药物吸收间隔。,false,medium,车前子壳/可溶性纤维：健康寿命证据草判 B；皮肤美容证据草判 D。可支持 LDL-C、血糖和肠道规律相关终点。,Psyllium / Soluble Fiber: draft longevity evidence B; draft skin/beauty evidence D. Not a dosing or product recommendation.,public_draft_not_fully_reviewed,2026-04-28
beta-glucan,β-葡聚糖,Beta-Glucan,fiber,B,D,L2,M,可支持胆固醇和免疫相关候选证据。,不支持全面提升免疫或抗衰。,过敏和胃肠耐受需注意。,false,medium,β-葡聚糖：健康寿命证据草判 B；皮肤美容证据草判 D。可支持胆固醇和免疫相关候选证据。,Beta-Glucan: draft longevity evidence B; draft skin/beauty evidence D. Not a dosing or product recommendation.,public_draft_not_fully_reviewed,2026-04-28
inulin,菊粉,Inulin,prebiotic,C,D,L2/M,M,可作为益生元、肠道和代谢候选证据。,不支持所有人群肠道抗老。,易腹胀，肠易激人群需谨慎。,false,medium,菊粉：健康寿命证据草判 C；皮肤美容证据草判 D。可作为益生元、肠道和代谢候选证据。,Inulin: draft longevity evidence C; draft skin/beauty evidence D. Not a dosing or product recommendation.,public_draft_not_fully_reviewed,2026-04-28
prebiotic-mix,益生元复合物,Prebiotic Mix,prebiotic,C,D,L2/M,M,可支持肠道菌群和代谢候选证据。,不支持单独作为抗衰或美容方案。,肠道敏感人群需关注耐受。,false,high,益生元复合物：健康寿命证据草判 C；皮肤美容证据草判 D。可支持肠道菌群和代谢候选证据。,Prebiotic Mix: draft longevity evidence C; draft skin/beauty evidence D. Not a dosing or product recommendation.,public_draft_not_fully_reviewed,2026-04-28
lutein,叶黄素,Lutein,carotenoid,B,C,L1/L2,S2/M,可支持眼健康和黄斑相关证据。,不支持延寿或皮肤逆龄。,与综合配方和基础眼病状态有关。,false,medium,叶黄素：健康寿命证据草判 B；皮肤美容证据草判 C。可支持眼健康和黄斑相关证据。,Lutein: draft longevity evidence B; draft skin/beauty evidence C. Not a dosing or product recommendation.,public_draft_not_fully_reviewed,2026-04-28
zeaxanthin,玉米黄质,Zeaxanthin,carotenoid,B,C,L1/L2,S2/M,可支持眼健康和黄斑相关证据。,不支持美容或延寿泛用宣传。,常与叶黄素联用，需区分配方证据。,false,medium,玉米黄质：健康寿命证据草判 B；皮肤美容证据草判 C。可支持眼健康和黄斑相关证据。,Zeaxanthin: draft longevity evidence B; draft skin/beauty evidence C. Not a dosing or product recommendation.,public_draft_not_fully_reviewed,2026-04-28
lycopene,番茄红素,Lycopene,carotenoid,C,C,L2/M,S2/M,可作为抗氧化和皮肤光保护候选证据。,不支持抗癌、延寿或替代防晒。,补剂证据不能替代富含蔬果的饮食模式。,false,high,番茄红素：健康寿命证据草判 C；皮肤美容证据草判 C。可作为抗氧化和皮肤光保护候选证据。,Lycopene: draft longevity evidence C; draft skin/beauty evidence C. Not a dosing or product recommendation.,public_draft_not_fully_reviewed,2026-04-28
beta-carotene,β-胡萝卜素,Beta-Carotene,carotenoid,C,C,L2/M,S2/M,可作为维A来源和抗氧化候选证据。,不支持吸烟者补充用于防癌或抗衰。,吸烟者高剂量补充存在重要安全警示。,true,high,β-胡萝卜素：健康寿命证据草判 C；皮肤美容证据草判 C。可作为维A来源和抗氧化候选证据。,Beta-Carotene: draft longevity evidence C; draft skin/beauty evidence C. Not a dosing or product recommendation.,public_draft_not_fully_reviewed,2026-04-28
alpha-lipoic-acid,α-硫辛酸,Alpha-Lipoic Acid,antioxidant,C,D,L2/M,M,可作为糖代谢和神经症状候选证据。,不支持延寿或美容逆龄。,糖尿病用药人群需注意低血糖风险。,true,high,α-硫辛酸：健康寿命证据草判 C；皮肤美容证据草判 D。可作为糖代谢和神经症状候选证据。,Alpha-Lipoic Acid: draft longevity evidence C; draft skin/beauty evidence D. Not a dosing or product recommendation.,public_draft_not_fully_reviewed,2026-04-28
nac,NAC/N-乙酰半胱氨酸,N-Acetylcysteine,antioxidant,C,D,L2/M,M,可作为谷胱甘肽和呼吸/氧化应激相关候选证据。,不支持作为通用抗衰补剂。,哮喘、抗凝和药物相互作用需注意。,true,high,NAC/N-乙酰半胱氨酸：健康寿命证据草判 C；皮肤美容证据草判 D。可作为谷胱甘肽和呼吸/氧化应激相关候选证据。,N-Acetylcysteine: draft longevity evidence C; draft skin/beauty evidence D. Not a dosing or product recommendation.,public_draft_not_fully_reviewed,2026-04-28
glutathione,谷胱甘肽,Glutathione,antioxidant,D,C,M,S1/M,可作为色素和氧化应激候选证据。,不支持美白、排毒或逆龄确定有效宣传。,注射用途不属于普通补剂，存在医疗风险。,true,high,谷胱甘肽：健康寿命证据草判 D；皮肤美容证据草判 C。可作为色素和氧化应激候选证据。,Glutathione: draft longevity evidence D; draft skin/beauty evidence C. Not a dosing or product recommendation.,public_draft_not_fully_reviewed,2026-04-28
glycine,甘氨酸,Glycine,amino_acid,C,D,L2/M,M,可作为睡眠、代谢和胶原相关候选证据。,不支持延寿已证实。,特殊疾病和多补剂组合需谨慎。,false,medium,甘氨酸：健康寿命证据草判 C；皮肤美容证据草判 D。可作为睡眠、代谢和胶原相关候选证据。,Glycine: draft longevity evidence C; draft skin/beauty evidence D. Not a dosing or product recommendation.,public_draft_not_fully_reviewed,2026-04-28
taurine,牛磺酸,Taurine,amino_acid,C,D,L2/M,M,可作为代谢、运动和心血管候选证据。,不支持声称人类延寿已证实。,能量饮料配方不能等同于牛磺酸单独证据。,false,high,牛磺酸：健康寿命证据草判 C；皮肤美容证据草判 D。可作为代谢、运动和心血管候选证据。,Taurine: draft longevity evidence C; draft skin/beauty evidence D. Not a dosing or product recommendation.,public_draft_not_fully_reviewed,2026-04-28
l-carnitine,左旋肉碱,L-Carnitine,amino_acid_derivative,C,D,L2/M,M,可作为脂代谢、疲劳和特定缺乏候选证据。,不支持减肥或延寿确定有效。,肾病、癫痫和 TMAO 风险讨论需复核。,true,high,左旋肉碱：健康寿命证据草判 C；皮肤美容证据草判 D。可作为脂代谢、疲劳和特定缺乏候选证据。,L-Carnitine: draft longevity evidence C; draft skin/beauty evidence D. Not a dosing or product recommendation.,public_draft_not_fully_reviewed,2026-04-28
acetyl-l-carnitine,乙酰左旋肉碱,Acetyl-L-Carnitine,amino_acid_derivative,C,D,L2/M,M,可作为神经、疲劳和线粒体候选证据。,不支持逆龄或认知增强确定有效。,精神症状、癫痫和用药人群需谨慎。,true,high,乙酰左旋肉碱：健康寿命证据草判 C；皮肤美容证据草判 D。可作为神经、疲劳和线粒体候选证据。,Acetyl-L-Carnitine: draft longevity evidence C; draft skin/beauty evidence D. Not a dosing or product recommendation.,public_draft_not_fully_reviewed,2026-04-28
citrulline,瓜氨酸,Citrulline,sports_nutrition,C,D,L2/M,M,可作为运动表现和血流相关候选证据。,不支持延寿或美容。,低血压和硝酸酯类用药人群需谨慎。,true,medium,瓜氨酸：健康寿命证据草判 C；皮肤美容证据草判 D。可作为运动表现和血流相关候选证据。,Citrulline: draft longevity evidence C; draft skin/beauty evidence D. Not a dosing or product recommendation.,public_draft_not_fully_reviewed,2026-04-28
arginine,精氨酸,Arginine,sports_nutrition,C,D,L2/M,M,可作为血流和运动相关候选证据。,不支持抗衰或心血管治疗替代。,疱疹、低血压和心血管病史人群需谨慎。,true,medium,精氨酸：健康寿命证据草判 C；皮肤美容证据草判 D。可作为血流和运动相关候选证据。,Arginine: draft longevity evidence C; draft skin/beauty evidence D. Not a dosing or product recommendation.,public_draft_not_fully_reviewed,2026-04-28
beta-alanine,β-丙氨酸,Beta-Alanine,sports_nutrition,C,D,L2,M,可支持部分运动表现相关证据。,不支持延寿、美容或肌肉增长万能宣传。,常见刺痛感，特殊疾病人群需谨慎。,false,medium,β-丙氨酸：健康寿命证据草判 C；皮肤美容证据草判 D。可支持部分运动表现相关证据。,Beta-Alanine: draft longevity evidence C; draft skin/beauty evidence D. Not a dosing or product recommendation.,public_draft_not_fully_reviewed,2026-04-28
hmb,HMB,HMB,sports_nutrition,C,D,L2,M,可作为肌肉保留和老年营养候选证据。,不支持替代抗阻训练或延寿。,肾病和多种蛋白补剂叠加需注意。,true,medium,HMB：健康寿命证据草判 C；皮肤美容证据草判 D。可作为肌肉保留和老年营养候选证据。,HMB: draft longevity evidence C; draft skin/beauty evidence D. Not a dosing or product recommendation.,public_draft_not_fully_reviewed,2026-04-28
collagen-type-ii,二型胶原,Type II Collagen,joint_support,C,D,L2,M,可作为关节相关候选证据。,不支持皮肤逆龄或延寿。,自身免疫和过敏人群需谨慎。,true,medium,二型胶原：健康寿命证据草判 C；皮肤美容证据草判 D。可作为关节相关候选证据。,Type II Collagen: draft longevity evidence C; draft skin/beauty evidence D. Not a dosing or product recommendation.,public_draft_not_fully_reviewed,2026-04-28
glucosamine,氨糖,Glucosamine,joint_support,C,D,L2,M,可作为骨关节炎症状候选证据。,不支持软骨再生、延寿或美容。,糖尿病、贝类过敏和抗凝药人群需注意。,true,high,氨糖：健康寿命证据草判 C；皮肤美容证据草判 D。可作为骨关节炎症状候选证据。,Glucosamine: draft longevity evidence C; draft skin/beauty evidence D. Not a dosing or product recommendation.,public_draft_not_fully_reviewed,2026-04-28
chondroitin,软骨素,Chondroitin,joint_support,C,D,L2,M,可作为关节症状候选证据。,不支持延寿或皮肤抗老。,抗凝药人群需谨慎。,true,medium,软骨素：健康寿命证据草判 C；皮肤美容证据草判 D。可作为关节症状候选证据。,Chondroitin: draft longevity evidence C; draft skin/beauty evidence D. Not a dosing or product recommendation.,public_draft_not_fully_reviewed,2026-04-28
msm,MSM,Methylsulfonylmethane,joint_support,D,D,L2/M,M,可作为关节和炎症候选线索。,不支持抗衰、美容或治疗确定有效。,长期安全性和配方混杂需复核。,false,high,MSM：健康寿命证据草判 D；皮肤美容证据草判 D。可作为关节和炎症候选线索。,Methylsulfonylmethane: draft longevity evidence D; draft skin/beauty evidence D. Not a dosing or product recommendation.,public_draft_not_fully_reviewed,2026-04-28
boswellia,乳香提取物,Boswellia,botanical,C,D,L2/M,M,可作为关节和炎症候选证据。,不支持治疗替代或延寿。,与抗凝、胃肠耐受和产品质量有关。,true,high,乳香提取物：健康寿命证据草判 C；皮肤美容证据草判 D。可作为关节和炎症候选证据。,Boswellia: draft longevity evidence C; draft skin/beauty evidence D. Not a dosing or product recommendation.,public_draft_not_fully_reviewed,2026-04-28
ashwagandha,南非醉茄,Ashwagandha,botanical_adaptogen,C,D,L2/M,M,可作为压力、睡眠和主观疲劳候选证据。,不支持抗衰、增睾或治疗焦虑抑郁的确定宣传。,肝损伤个案、甲状腺和孕期风险需注意。,true,high,南非醉茄：健康寿命证据草判 C；皮肤美容证据草判 D。可作为压力、睡眠和主观疲劳候选证据。,Ashwagandha: draft longevity evidence C; draft skin/beauty evidence D. Not a dosing or product recommendation.,public_draft_not_fully_reviewed,2026-04-28
