term_id,term_zh,plain_explanation_zh,example_zh,reader_warning_zh,last_checked
term-020,GRADE,一种评价证据确定性的成熟框架。,帮助判断结论有多可靠。,不要只看一个术语就下健康决定；要结合主题等级、边界和医生建议。,2026-04-29
term-021,RoB 2,Cochrane 用来评估随机试验偏倚风险的工具。,看随机化、缺失数据、选择性报告等。,不要只看一个术语就下健康决定；要结合主题等级、边界和医生建议。,2026-04-29
term-022,ROBINS-I,评估非随机研究偏倚风险的工具。,常用于观察研究。,不要只看一个术语就下健康决定；要结合主题等级、边界和医生建议。,2026-04-29
term-023,AMSTAR 2,评估系统综述质量的工具。,看检索是否全面、偏倚是否处理等。,不要只看一个术语就下健康决定；要结合主题等级、边界和医生建议。,2026-04-29
term-024,IF 影响因子,期刊层面的影响力指标，不等于单篇文章质量。,高 IF 文章也可能有偏倚，低 IF 文章也可能有价值。,不要只看一个术语就下健康决定；要结合主题等级、边界和医生建议。,2026-04-29
term-025,RCR,NIH iCite 的文章层影响力指标，考虑领域和时间差异。,比单看期刊名更接近单篇文章影响。,不要只看一个术语就下健康决定；要结合主题等级、边界和医生建议。,2026-04-29
term-026,OpenAlex 引用数,开放数据库中的被引用次数。,引用多不一定代表结论正确。,不要只看一个术语就下健康决定；要结合主题等级、边界和医生建议。,2026-04-29
term-027,PMID,PubMed 给每篇文献的编号。,可以用 PMID 快速找到原文摘要。,不要只看一个术语就下健康决定；要结合主题等级、边界和医生建议。,2026-04-29
term-028,DOI,论文的数字对象标识。,像论文身份证。,不要只看一个术语就下健康决定；要结合主题等级、边界和医生建议。,2026-04-29
term-029,PubMed,医学和生命科学文献数据库。,本项目优先使用 PubMed。,不要只看一个术语就下健康决定；要结合主题等级、边界和医生建议。,2026-04-29
term-030,PICO,研究问题框架：人群、干预、对照、结局。,用来防止问题问得太模糊。,不要只看一个术语就下健康决定；要结合主题等级、边界和医生建议。,2026-04-29
term-031,PECO,类似 PICO，但用于暴露因素。,如 LDL-C 暴露和心血管风险。,不要只看一个术语就下健康决定；要结合主题等级、边界和医生建议。,2026-04-29
term-032,Claim 级评级,不是给整个主题一句话定生死，而是给具体说法评级。,防晒预防光老化=A；防晒逆转全部老化不支持。,不要只看一个术语就下健康决定；要结合主题等级、边界和医生建议。,2026-04-29
term-033,医学监督,需要医生或专业人员判断。,处方药、慢病、怀孕、医美操作都需要。,不要只看一个术语就下健康决定；要结合主题等级、边界和医生建议。,2026-04-29
term-034,补剂,膳食补充剂，不是药。,不应替代治疗，也不应自行高剂量叠加。,不要只看一个术语就下健康决定；要结合主题等级、边界和医生建议。,2026-04-29
term-035,医美,激光、换肤、注射、设备等专业操作。,效果和风险都与机构、医生、设备和个体情况有关。,不要只看一个术语就下健康决定；要结合主题等级、边界和医生建议。,2026-04-29
term-036,光老化,紫外线和可见光等造成的皮肤老化表现。,防晒主要预防和减缓光老化。,不要只看一个术语就下健康决定；要结合主题等级、边界和医生建议。,2026-04-29
term-037,UV 紫外线,阳光中会伤害皮肤的波段之一。,UVA 和 UVB 都需要关注。,不要只看一个术语就下健康决定；要结合主题等级、边界和医生建议。,2026-04-29
term-038,草稿状态,说明内容已自动整理，但还没完成全部人工全文复核。,可以读，不要当最终指南。,不要只看一个术语就下健康决定；要结合主题等级、边界和医生建议。,2026-04-29
term-039,正式纳入,比候选更靠前，进入证据矩阵，但仍需看复核状态。,不是个人处方。,不要只看一个术语就下健康决定；要结合主题等级、边界和医生建议。,2026-04-29
term-040,候选文献,先收进库里的文献，等待筛选和复核。,候选不代表支持结论。,不要只看一个术语就下健康决定；要结合主题等级、边界和医生建议。,2026-04-29
