target_id,domain,name_zh,name_en,aliases,total_publication_query,query,pubmed_total_count_20y,pubmed_retracted_count_20y,retraction_rate_percent,retractions_per_1000_publications,retrieved_pmids,error,last_checked
probiotics,口服/补剂,益生菌,Probiotics,probiotic; probiotics; Lactobacillus; Bifidobacterium,"(""probiotic""[Title] OR ""probiotics""[Title] OR ""Lactobacillus""[Title] OR ""Bifidobacterium""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""probiotic""[Title] OR ""probiotics""[Title] OR ""Lactobacillus""[Title] OR ""Bifidobacterium""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",18909,47,0.249,2.49,39333280;38930475;38554964;38155392;37935287;36860450;36669151;36267315;35941976;35874662;35873427;35669168;35035837;34691213;34652635;34122006;33981369;33477482;33134572;33103122;32985280;32859044;32334580;32180972;32017005;31803643;31802692;31114137;30675190;30459099;30257523;30057015;29891223;28922099;28403547;28326881;28142296;27669638;26749362;26020238;25879690;25037247;24237003;24019796;24001238;22798958;21891907,,2026-09-21
nmn,口服/补剂,NMN,NMN,NMN; nicotinamide mononucleotide,"(""NMN""[Title] OR ""nicotinamide mononucleotide""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""NMN""[Title] OR ""nicotinamide mononucleotide""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",273,0,0.000,0.00,,,2026-09-21
nr,口服/补剂,NR,Nicotinamide Riboside,nicotinamide riboside,"(""nicotinamide riboside""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""nicotinamide riboside""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",225,0,0.000,0.00,,,2026-09-21
nad-precursors,口服/补剂,NAD 前体,NAD Precursors,NAD precursor; NAD precursors; nicotinamide riboside; nicotinamide mononucleotide,"(""NAD precursor""[Title] OR ""NAD precursors""[Title] OR ""nicotinamide riboside""[Title] OR ""nicotinamide mononucleotide""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""NAD precursor""[Title] OR ""NAD precursors""[Title] OR ""nicotinamide riboside""[Title] OR ""nicotinamide mononucleotide""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",495,0,0.000,0.00,,,2026-09-21
resveratrol,口服/补剂,白藜芦醇,Resveratrol,Resveratrol,"(""Resveratrol""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""Resveratrol""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",4239,21,0.495,4.95,35399833;33919028;32683392;31136990;35541685;29843156;29439139;29387206;29074559;28849139;27941804;27149559;25936406;23625030;23461657;21887248;21749863;19359525;18791811;18789672;18201729,,2026-09-21
quercetin,口服/补剂,槲皮素,Quercetin,Quercetin,"(""Quercetin""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""Quercetin""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",3587,19,0.530,5.30,40100888;36805894;36092164;35000160;34950418;34873428;32397267;31307244;29379801;29035884;28604104;28454351;28115850;28026003;26393898;23533474;23529952;23331460;22275840,,2026-09-21
curcumin,口服/补剂,姜黄素,Curcumin,Curcumin,"(""Curcumin""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""Curcumin""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",6057,39,0.644,6.44,38507103;38339947;38266637;37471645;37422651;37348638;36866793;35721822;35711494;35272135;34202112;33919028;33557949;31827700;31510839;31096703;31016760;31013312;31002157;30402869;30110401;29311914;28377722;28120490;26752181;26032092;25792385;25780454;25747863;25445044;23613781;23408929;22928089;22668778;22051236;19735646;19359525;18292803;17240359,,2026-09-21
green-tea-catechins,口服/补剂,绿茶儿茶素,Green Tea Catechins,green tea catechin; green tea catechins; EGCG; epigallocatechin gallate,"(""green tea catechin""[Title] OR ""green tea catechins""[Title] OR ""EGCG""[Title] OR ""epigallocatechin gallate""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""green tea catechin""[Title] OR ""green tea catechins""[Title] OR ""EGCG""[Title] OR ""epigallocatechin gallate""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",1171,5,0.427,4.27,30582209;27659310;24682582;28962222;22022384,,2026-09-21
astaxanthin,口服/补剂,虾青素,Astaxanthin,Astaxanthin,"(""Astaxanthin""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""Astaxanthin""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",1218,1,0.082,0.82,31973028,,2026-09-21
hyaluronic-acid,口服/补剂,透明质酸,Hyaluronic Acid,hyaluronic acid; hyaluronan,"(""hyaluronic acid""[Title] OR ""hyaluronan""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication])","(""hyaluronic acid""[Title] OR ""hyaluronan""[Title]) AND (""dietary supplement""[Title/Abstract] OR ""nutritional supplement""[Title/Abstract] OR supplement[Title] OR supplements[Title] OR supplementation[Title/Abstract] OR dietary[Title/Abstract] OR nutrition*[Title/Abstract] OR oral[Title/Abstract] OR intake[Title/Abstract] OR deficiency[Title/Abstract] OR diet[Title/Abstract] OR food[Title/Abstract] OR fortified[Title/Abstract] OR dose[Title/Abstract]) AND (""2006/01/01""[Date - Publication] : ""2026/09/21""[Date - Publication]) AND ""Retracted Publication""[Publication Type]",1659,3,0.181,1.81,36643861;32092830;25604697,,2026-09-21
