date,source,query,result_count,new_candidates,included_count,notes
2026-04-28,PubMed,(rapamycin OR sirolimus OR mTOR inhibitor) AND (aging OR longevity OR lifespan OR immune aging) AND (human OR mouse OR trial OR review),20,16,0,rapamycin_mtor_aging
2026-04-28,PubMed,(senolytic OR senolytics OR dasatinib quercetin OR fisetin) AND (aging OR frailty OR senescence) AND (human OR trial OR mouse OR review),20,16,0,senolytics_human_aging
2026-04-28,PubMed,(nicotinamide riboside OR nicotinamide mononucleotide OR NMN OR NAD) AND (aging OR older adults OR metabolic health) AND (human OR randomized controlled trial OR review),20,20,0,nad_nmn_nr_human_aging
2026-04-28,PubMed,(epigenetic clock OR DNA methylation age OR biological age) AND (intervention OR mortality OR disease prediction OR trial),20,19,0,epigenetic_clocks_intervention
2026-04-28,PubMed,(proteomic clock OR metabolomic clock OR biological aging biomarker) AND (mortality OR disease prediction OR longevity),18,16,0,proteomic_metabolomic_aging_clocks
2026-04-28,PubMed,(partial reprogramming OR Yamanaka factors OR cellular rejuvenation) AND (aging OR rejuvenation OR lifespan),20,18,0,partial_reprogramming_aging
2026-04-28,PubMed,(Klotho) AND (aging OR cognition OR mortality OR longevity) AND (human OR mouse OR review),16,15,0,klotho_aging_human
2026-04-28,PubMed,(interleukin 11 OR IL-11) AND (aging OR lifespan OR frailty OR inflammation),16,16,0,il11_aging
2026-04-28,PubMed,(parabiosis OR young plasma OR plasma exchange) AND (aging OR rejuvenation OR cognition),16,13,0,parabiosis_plasma_aging
2026-04-28,PubMed,(autophagy OR mitophagy) AND (aging OR longevity OR lifespan OR healthspan) AND (review OR intervention),18,15,0,autophagy_mitophagy_longevity
2026-04-28,PubMed,(gut microbiome OR microbiota) AND (healthy aging OR longevity OR frailty OR inflammaging) AND (human OR cohort OR review),16,12,0,microbiome_healthy_aging
2026-04-28,PubMed,(inflammaging OR chronic inflammation) AND (aging OR mortality OR frailty) AND (intervention OR review OR cohort),16,11,0,inflammaging_interventions
2026-04-28,PubMed,(sauna OR heat therapy) AND (mortality OR cardiovascular disease OR dementia) AND (cohort OR trial OR review),12,12,0,sauna_heat_therapy_mortality
2026-04-28,ClinicalTrials.gov,metformin aging longevity healthspan,3,3,0,metformin_aging
2026-04-28,ClinicalTrials.gov,rapamycin OR sirolimus aging older adults immune,10,10,0,rapamycin_aging
2026-04-28,ClinicalTrials.gov,senolytic OR senolytics OR dasatinib quercetin aging,10,10,0,senolytics_aging
2026-04-28,ClinicalTrials.gov,NAD OR nicotinamide riboside OR nicotinamide mononucleotide aging,10,10,0,nad_nmn_nr_aging
2026-04-28,ClinicalTrials.gov,caloric restriction aging biological age,4,4,0,caloric_restriction_aging
2026-04-28,ClinicalTrials.gov,time restricted eating aging metabolic health,10,9,0,time_restricted_eating_aging
2026-04-28,ClinicalTrials.gov,exercise older adults frailty sarcopenia,10,10,0,exercise_older_adults_frailty
2026-04-28,ClinicalTrials.gov,biological age epigenetic clock intervention,9,9,0,biological_age_clock_trial
2026-04-28,ClinicalTrials.gov,Klotho aging cognition,9,9,0,klotho_aging
2026-04-28,ClinicalTrials.gov,plasma exchange aging rejuvenation,0,0,0,plasma_exchange_aging
2026-04-28,Crossref,human longevity healthspan interventions systematic review mortality aging,18,18,0,human_longevity_interventions_reviews
2026-04-28,Crossref,cardiorespiratory fitness VO2max mortality longevity cohort meta-analysis,18,18,0,exercise_cardiorespiratory_fitness_longevity
2026-04-28,Crossref,resistance training sarcopenia frailty mortality older adults systematic review,16,16,0,resistance_training_sarcopenia_frailty
2026-04-28,Crossref,caloric restriction intermittent fasting Mediterranean diet healthy aging mortality,18,18,0,nutrition_dietary_restriction_aging
2026-04-28,Crossref,geroprotectors rapamycin metformin senolytics aging clinical trial review,18,18,0,geroprotectors_mtor_metformin_senolytics
2026-04-28,Crossref,nicotinamide riboside NMN NAD aging randomized trial older adults,16,16,0,nad_precursors_aging_trials
2026-04-28,Crossref,epigenetic clock proteomic clock metabolomic biological age disease prediction mortality,17,17,0,aging_clocks_disease_prediction
2026-04-28,Crossref,partial reprogramming Yamanaka factors cellular rejuvenation aging,15,15,0,partial_reprogramming_rejuvenation
2026-04-28,Crossref,immune aging inflammaging IL-11 Klotho aging lifespan intervention,16,16,0,immune_inflammation_aging
2026-04-28,Crossref,biomarkers of aging biological age clinical trial older adults,18,17,0,clinical_aging_biomarkers
2026-04-28,ClinicalTrials.gov,metformin aging longevity healthspan,3,0,0,metformin_aging
2026-04-28,ClinicalTrials.gov,rapamycin OR sirolimus aging older adults immune,10,0,0,rapamycin_aging
2026-04-28,ClinicalTrials.gov,senolytic OR senolytics OR dasatinib quercetin aging,10,0,0,senolytics_aging
2026-04-28,ClinicalTrials.gov,NAD OR nicotinamide riboside OR nicotinamide mononucleotide aging,10,0,0,nad_nmn_nr_aging
2026-04-28,ClinicalTrials.gov,caloric restriction aging biological age,4,0,0,caloric_restriction_aging
2026-04-28,ClinicalTrials.gov,time restricted eating aging metabolic health,10,0,0,time_restricted_eating_aging
2026-04-28,ClinicalTrials.gov,exercise older adults frailty sarcopenia,10,0,0,exercise_older_adults_frailty
2026-04-28,ClinicalTrials.gov,biological age epigenetic clock intervention,9,0,0,biological_age_clock_trial
2026-04-28,ClinicalTrials.gov,Klotho aging cognition,9,0,0,klotho_aging
2026-04-28,ClinicalTrials.gov,plasma exchange aging rejuvenation,0,0,0,plasma_exchange_aging
2026-04-28,ClinicalTrials.gov,frailty multidomain intervention older adults,10,10,0,frailty_multidomain
2026-04-28,ClinicalTrials.gov,urolithin A aging muscle older adults,5,5,0,urolithin_a_aging
2026-04-28,ClinicalTrials.gov,spermidine aging cognition older adults,1,1,0,spermidine_aging
2026-04-28,ClinicalTrials.gov,taurine aging older adults,10,9,0,taurine_aging
2026-04-28,ClinicalTrials.gov,GlyNAC aging older adults,1,1,0,glynac_aging
2026-04-28,Crossref,human longevity healthspan interventions systematic review mortality aging,18,1,0,human_longevity_interventions_reviews
2026-04-28,Crossref,cardiorespiratory fitness VO2max mortality longevity cohort meta-analysis,18,1,0,exercise_cardiorespiratory_fitness_longevity
2026-04-28,Crossref,resistance training sarcopenia frailty mortality older adults systematic review,16,1,0,resistance_training_sarcopenia_frailty
2026-04-28,Crossref,caloric restriction intermittent fasting Mediterranean diet healthy aging mortality,18,1,0,nutrition_dietary_restriction_aging
2026-04-28,Crossref,geroprotectors rapamycin metformin senolytics aging clinical trial review,18,0,0,geroprotectors_mtor_metformin_senolytics
2026-04-28,Crossref,nicotinamide riboside NMN NAD aging randomized trial older adults,16,1,0,nad_precursors_aging_trials
2026-04-28,Crossref,epigenetic clock proteomic clock metabolomic biological age disease prediction mortality,17,0,0,aging_clocks_disease_prediction
2026-04-28,Crossref,partial reprogramming Yamanaka factors cellular rejuvenation aging,15,0,0,partial_reprogramming_rejuvenation
2026-04-28,Crossref,immune aging inflammaging IL-11 Klotho aging lifespan intervention,16,0,0,immune_inflammation_aging
2026-04-28,Crossref,biomarkers of aging biological age clinical trial older adults,18,0,0,clinical_aging_biomarkers
2026-04-28,Crossref,frailty multidomain intervention older adults randomized trial systematic review,18,10,0,frailty_multidomain_interventions
2026-04-28,Crossref,dementia prevention lifestyle multidomain intervention cognitive decline aging trial,18,18,0,dementia_prevention_lifestyle_aging
2026-04-28,Crossref,diabetes obesity weight loss mortality cardiovascular outcomes older adults meta-analysis,18,18,0,diabetes_obesity_longevity_outcomes
2026-04-28,Crossref,NIA interventions testing program mouse lifespan rapamycin acarbose 17 alpha estradiol,18,18,0,itp_mouse_lifespan_drugs
2026-04-28,Crossref,urolithin A spermidine taurine GlyNAC aging older adults trial review,18,8,0,nutraceuticals_aging_trials
2026-04-28,PubMed,(cardiorespiratory fitness OR VO2max OR VO2 peak) AND (mortality OR cardiovascular mortality) AND (cohort OR meta-analysis OR systematic review),18,0,0,cardiorespiratory_fitness_mortality
2026-04-28,PubMed,(resistance training OR strength training OR muscle strengthening) AND (mortality OR frailty OR sarcopenia) AND (human OR trial OR cohort OR meta-analysis),18,0,0,resistance_training_mortality_sarcopenia
2026-04-28,PubMed,(physical activity OR exercise) AND (longevity OR lifespan OR mortality OR healthspan) AND (meta-analysis OR cohort OR randomized controlled trial),18,0,0,physical_activity_longevity
2026-04-28,PubMed,(blood pressure OR hypertension) AND (mortality OR cardiovascular disease) AND (older adults OR aging) AND (trial OR meta-analysis OR cohort),16,0,0,blood_pressure_mortality_aging
2026-04-28,PubMed,(LDL cholesterol OR apolipoprotein B OR apoB) AND (cardiovascular mortality OR all-cause mortality) AND (meta-analysis OR Mendelian randomization OR trial),16,0,0,ldl_apob_cardiovascular_mortality
2026-04-28,PubMed,(sleep duration OR sleep quality OR insomnia) AND (mortality OR healthy aging OR cognitive decline) AND (meta-analysis OR cohort),16,0,0,sleep_duration_mortality_aging
2026-04-28,PubMed,(Mediterranean diet OR healthy dietary pattern OR ultra-processed food) AND (mortality OR healthy aging OR longevity) AND (meta-analysis OR cohort OR trial),18,0,0,dietary_pattern_longevity
2026-04-28,PubMed,(caloric restriction OR calorie restriction OR dietary restriction) AND (aging OR biological aging OR healthspan) AND (human OR randomized controlled trial),18,0,0,caloric_restriction_human_aging
2026-04-28,PubMed,(intermittent fasting OR time-restricted eating OR time restricted feeding) AND (aging OR mortality OR metabolic health) AND (human OR randomized controlled trial OR meta-analysis),18,0,0,intermittent_fasting_aging_human
2026-04-28,PubMed,(semaglutide OR tirzepatide OR GLP-1 receptor agonist) AND (cardiovascular outcomes OR mortality OR obesity) AND (randomized controlled trial OR meta-analysis),16,0,0,glp1_obesity_cardiometabolic_outcomes
2026-04-28,PubMed,(metformin) AND (aging OR longevity OR lifespan OR healthspan OR TAME) AND (human OR trial OR cohort OR review),18,0,0,metformin_aging_longevity
2026-04-28,PubMed,(rapamycin OR sirolimus OR mTOR inhibitor) AND (aging OR longevity OR lifespan OR immune aging) AND (human OR mouse OR trial OR review),20,0,0,rapamycin_mtor_aging
2026-04-28,PubMed,(senolytic OR senolytics OR dasatinib quercetin OR fisetin) AND (aging OR frailty OR senescence) AND (human OR trial OR mouse OR review),20,0,0,senolytics_human_aging
2026-04-28,PubMed,(nicotinamide riboside OR nicotinamide mononucleotide OR NMN OR NAD) AND (aging OR older adults OR metabolic health) AND (human OR randomized controlled trial OR review),20,0,0,nad_nmn_nr_human_aging
2026-04-28,PubMed,(epigenetic clock OR DNA methylation age OR biological age) AND (intervention OR mortality OR disease prediction OR trial),20,0,0,epigenetic_clocks_intervention
2026-04-28,PubMed,(proteomic clock OR metabolomic clock OR biological aging biomarker) AND (mortality OR disease prediction OR longevity),18,0,0,proteomic_metabolomic_aging_clocks
2026-04-28,PubMed,(partial reprogramming OR Yamanaka factors OR cellular rejuvenation) AND (aging OR rejuvenation OR lifespan),20,0,0,partial_reprogramming_aging
2026-04-28,PubMed,(Klotho) AND (aging OR cognition OR mortality OR longevity) AND (human OR mouse OR review),16,0,0,klotho_aging_human
2026-04-28,PubMed,(interleukin 11 OR IL-11) AND (aging OR lifespan OR frailty OR inflammation),16,0,0,il11_aging
2026-04-28,PubMed,(parabiosis OR young plasma OR plasma exchange) AND (aging OR rejuvenation OR cognition),16,0,0,parabiosis_plasma_aging
2026-04-28,PubMed,(autophagy OR mitophagy) AND (aging OR longevity OR lifespan OR healthspan) AND (review OR intervention),18,0,0,autophagy_mitophagy_longevity
2026-04-28,PubMed,(gut microbiome OR microbiota) AND (healthy aging OR longevity OR frailty OR inflammaging) AND (human OR cohort OR review),16,0,0,microbiome_healthy_aging
2026-04-28,PubMed,(inflammaging OR chronic inflammation) AND (aging OR mortality OR frailty) AND (intervention OR review OR cohort),16,0,0,inflammaging_interventions
2026-04-28,PubMed,(sauna OR heat therapy) AND (mortality OR cardiovascular disease OR dementia) AND (cohort OR trial OR review),12,0,0,sauna_heat_therapy_mortality
2026-04-28,PubMed,(HbA1c OR glycemic control OR type 2 diabetes) AND (mortality OR cardiovascular outcomes OR dementia) AND (older adults OR aging OR cohort OR meta-analysis),18,13,0,diabetes_glycemic_control_mortality_aging
2026-04-28,PubMed,(weight loss OR obesity OR bariatric surgery) AND (mortality OR cardiovascular outcomes OR healthy aging) AND (cohort OR trial OR meta-analysis),18,12,0,obesity_weight_loss_mortality_aging
2026-04-28,PubMed,(frailty) AND (intervention OR exercise OR nutrition OR multidomain) AND (older adults OR randomized controlled trial OR meta-analysis),18,13,0,frailty_interventions_older_adults
2026-04-28,PubMed,(cognitive decline OR dementia prevention) AND (lifestyle OR multidomain intervention OR exercise OR diet) AND (trial OR cohort OR meta-analysis),18,14,0,cognitive_decline_dementia_prevention
2026-04-28,PubMed,(smoking cessation OR alcohol consumption) AND (mortality OR healthy aging OR longevity) AND (cohort OR meta-analysis),18,18,0,smoking_alcohol_mortality_healthy_aging
2026-04-28,PubMed,(hearing loss OR vision impairment OR social isolation OR loneliness) AND (dementia OR mortality OR healthy aging) AND (cohort OR trial OR meta-analysis),18,17,0,hearing_vision_social_isolation_aging
2026-04-28,PubMed,(vaccination OR influenza vaccine OR shingles vaccine) AND (older adults OR elderly) AND (mortality OR dementia OR cardiovascular outcomes),16,14,0,vaccination_older_adults_mortality
2026-04-28,PubMed,(Interventions Testing Program OR ITP) AND (mouse OR mice) AND (lifespan OR longevity OR rapamycin OR acarbose OR 17-alpha-estradiol),20,20,0,itp_mouse_lifespan_interventions
2026-04-28,PubMed,(acarbose) AND (lifespan OR longevity OR aging OR mortality) AND (mouse OR mice OR human OR cohort),16,16,0,acarbose_lifespan_aging
2026-04-28,PubMed,(taurine) AND (aging OR longevity OR lifespan OR older adults) AND (trial OR cohort OR mouse OR review),16,16,0,taurine_aging_longevity
2026-04-28,PubMed,(urolithin A) AND (aging OR mitophagy OR muscle OR older adults) AND (trial OR review),16,16,0,urolithin_a_mitophagy_aging
2026-04-28,PubMed,(spermidine) AND (aging OR autophagy OR cognition OR mortality OR lifespan) AND (human OR trial OR cohort OR mouse OR review),16,15,0,spermidine_autophagy_aging
2026-04-28,PubMed,(GlyNAC OR glycine N-acetylcysteine OR glutathione) AND (aging OR older adults OR oxidative stress OR mitochondrial dysfunction),16,16,0,glynac_glutathione_aging
2026-04-28,PubMed,(Mendelian randomization) AND (longevity OR lifespan OR aging OR mortality) AND (blood pressure OR LDL OR BMI OR smoking),16,14,0,mendelian_randomization_longevity_risk_factors
2026-04-29,PubMed,"((cardiorespiratory fitness OR VO2max OR ""VO2 max"" OR ""exercise capacity"") AND (mortality OR ""cardiovascular mortality"" OR ""all-cause mortality"")) AND (""The New England journal of medicine""[Journal] OR ""Lancet""[Journal] OR ""JAMA""[Journal] OR ""BMJ""[Journal] OR ""Annals of internal medicine""[Journal] OR ""Nature medicine""[Journal] OR ""Science""[Journal] OR ""Nature""[Journal] OR ""Cell""[Journal] OR ""Circulation""[Journal] OR ""European heart journal""[Journal] OR ""Journal of the American College of Cardiology""[Journal] OR ""JAMA internal medicine""[Journal] OR ""JAMA cardiology""[Journal] OR ""Lancet public health""[Journal] OR ""Lancet diabetes & endocrinology""[Journal] OR ""Cochrane database of systematic reviews""[Journal] OR ""Nature aging""[Journal] OR ""Aging cell""[Journal] OR ""GeroScience""[Journal] OR ""Proceedings of the National Academy of Sciences of the United States of America""[Journal] OR ""Science translational medicine""[Journal])",50,50,0,cardiorespiratory-fitness__high_weight_journal
2026-04-29,PubMed,"((cardiorespiratory fitness OR VO2max OR ""VO2 max"" OR ""exercise capacity"") AND (mortality OR ""cardiovascular mortality"" OR ""all-cause mortality"")) AND (""systematic review""[Publication Type] OR ""meta-analysis""[Publication Type] OR ""randomized controlled trial""[Publication Type] OR cohort[Title/Abstract] OR ""Mendelian randomization""[Title/Abstract] OR ""umbrella review""[Title/Abstract])",150,142,0,cardiorespiratory-fitness__high_design
2026-04-29,PubMed,"((cardiorespiratory fitness OR VO2max OR ""VO2 max"" OR ""exercise capacity"") AND (mortality OR ""cardiovascular mortality"" OR ""all-cause mortality"")) AND (review[Title/Abstract] OR trial[Title/Abstract] OR cohort[Title/Abstract] OR ""systematic review""[Title/Abstract] OR ""meta-analysis""[Title/Abstract])",150,64,0,cardiorespiratory-fitness__recent_review_trial
2026-04-29,PubMed,"((""resistance training"" OR ""strength training"" OR sarcopenia OR ""muscle strength"" OR frailty) AND (older adults OR aging OR mortality OR disability)) AND (""The New England journal of medicine""[Journal] OR ""Lancet""[Journal] OR ""JAMA""[Journal] OR ""BMJ""[Journal] OR ""Annals of internal medicine""[Journal] OR ""Nature medicine""[Journal] OR ""Science""[Journal] OR ""Nature""[Journal] OR ""Cell""[Journal] OR ""Circulation""[Journal] OR ""European heart journal""[Journal] OR ""Journal of the American College of Cardiology""[Journal] OR ""JAMA internal medicine""[Journal] OR ""JAMA cardiology""[Journal] OR ""Lancet public health""[Journal] OR ""Lancet diabetes & endocrinology""[Journal] OR ""Cochrane database of systematic reviews""[Journal] OR ""Nature aging""[Journal] OR ""Aging cell""[Journal] OR ""GeroScience""[Journal] OR ""Proceedings of the National Academy of Sciences of the United States of America""[Journal] OR ""Science translational medicine""[Journal])",50,50,0,resistance-training-muscle__high_weight_journal
2026-04-29,PubMed,"((""resistance training"" OR ""strength training"" OR sarcopenia OR ""muscle strength"" OR frailty) AND (older adults OR aging OR mortality OR disability)) AND (""systematic review""[Publication Type] OR ""meta-analysis""[Publication Type] OR ""randomized controlled trial""[Publication Type] OR cohort[Title/Abstract] OR ""Mendelian randomization""[Title/Abstract] OR ""umbrella review""[Title/Abstract])",150,148,0,resistance-training-muscle__high_design
2026-04-29,PubMed,"((""resistance training"" OR ""strength training"" OR sarcopenia OR ""muscle strength"" OR frailty) AND (older adults OR aging OR mortality OR disability)) AND (review[Title/Abstract] OR trial[Title/Abstract] OR cohort[Title/Abstract] OR ""systematic review""[Title/Abstract] OR ""meta-analysis""[Title/Abstract])",150,93,0,resistance-training-muscle__recent_review_trial
2026-04-29,PubMed,"((""physical activity"" OR exercise OR ""sedentary behavior"") AND (mortality OR longevity OR ""healthy aging"" OR healthspan)) AND (""The New England journal of medicine""[Journal] OR ""Lancet""[Journal] OR ""JAMA""[Journal] OR ""BMJ""[Journal] OR ""Annals of internal medicine""[Journal] OR ""Nature medicine""[Journal] OR ""Science""[Journal] OR ""Nature""[Journal] OR ""Cell""[Journal] OR ""Circulation""[Journal] OR ""European heart journal""[Journal] OR ""Journal of the American College of Cardiology""[Journal] OR ""JAMA internal medicine""[Journal] OR ""JAMA cardiology""[Journal] OR ""Lancet public health""[Journal] OR ""Lancet diabetes & endocrinology""[Journal] OR ""Cochrane database of systematic reviews""[Journal] OR ""Nature aging""[Journal] OR ""Aging cell""[Journal] OR ""GeroScience""[Journal] OR ""Proceedings of the National Academy of Sciences of the United States of America""[Journal] OR ""Science translational medicine""[Journal])",50,47,0,physical-activity-healthspan__high_weight_journal
2026-04-29,PubMed,"((""physical activity"" OR exercise OR ""sedentary behavior"") AND (mortality OR longevity OR ""healthy aging"" OR healthspan)) AND (""systematic review""[Publication Type] OR ""meta-analysis""[Publication Type] OR ""randomized controlled trial""[Publication Type] OR cohort[Title/Abstract] OR ""Mendelian randomization""[Title/Abstract] OR ""umbrella review""[Title/Abstract])",150,138,0,physical-activity-healthspan__high_design
2026-04-29,PubMed,"((""physical activity"" OR exercise OR ""sedentary behavior"") AND (mortality OR longevity OR ""healthy aging"" OR healthspan)) AND (review[Title/Abstract] OR trial[Title/Abstract] OR cohort[Title/Abstract] OR ""systematic review""[Title/Abstract] OR ""meta-analysis""[Title/Abstract])",150,72,0,physical-activity-healthspan__recent_review_trial
2026-04-29,PubMed,"((""blood pressure"" OR hypertension OR ""systolic blood pressure"") AND (mortality OR ""cardiovascular disease"" OR stroke OR dementia) AND (aging OR elderly OR ""older adults"")) AND (""The New England journal of medicine""[Journal] OR ""Lancet""[Journal] OR ""JAMA""[Journal] OR ""BMJ""[Journal] OR ""Annals of internal medicine""[Journal] OR ""Nature medicine""[Journal] OR ""Science""[Journal] OR ""Nature""[Journal] OR ""Cell""[Journal] OR ""Circulation""[Journal] OR ""European heart journal""[Journal] OR ""Journal of the American College of Cardiology""[Journal] OR ""JAMA internal medicine""[Journal] OR ""JAMA cardiology""[Journal] OR ""Lancet public health""[Journal] OR ""Lancet diabetes & endocrinology""[Journal] OR ""Cochrane database of systematic reviews""[Journal] OR ""Nature aging""[Journal] OR ""Aging cell""[Journal] OR ""GeroScience""[Journal] OR ""Proceedings of the National Academy of Sciences of the United States of America""[Journal] OR ""Science translational medicine""[Journal])",50,46,0,blood-pressure-aging__high_weight_journal
2026-04-29,PubMed,"((""blood pressure"" OR hypertension OR ""systolic blood pressure"") AND (mortality OR ""cardiovascular disease"" OR stroke OR dementia) AND (aging OR elderly OR ""older adults"")) AND (""systematic review""[Publication Type] OR ""meta-analysis""[Publication Type] OR ""randomized controlled trial""[Publication Type] OR cohort[Title/Abstract] OR ""Mendelian randomization""[Title/Abstract] OR ""umbrella review""[Title/Abstract])",150,148,0,blood-pressure-aging__high_design
2026-04-29,PubMed,"((""blood pressure"" OR hypertension OR ""systolic blood pressure"") AND (mortality OR ""cardiovascular disease"" OR stroke OR dementia) AND (aging OR elderly OR ""older adults"")) AND (review[Title/Abstract] OR trial[Title/Abstract] OR cohort[Title/Abstract] OR ""systematic review""[Title/Abstract] OR ""meta-analysis""[Title/Abstract])",150,69,0,blood-pressure-aging__recent_review_trial
2026-04-29,PubMed,"((""LDL cholesterol"" OR LDL-C OR ""apolipoprotein B"" OR apoB) AND (""cardiovascular risk"" OR mortality OR ""major adverse cardiovascular events"")) AND (""The New England journal of medicine""[Journal] OR ""Lancet""[Journal] OR ""JAMA""[Journal] OR ""BMJ""[Journal] OR ""Annals of internal medicine""[Journal] OR ""Nature medicine""[Journal] OR ""Science""[Journal] OR ""Nature""[Journal] OR ""Cell""[Journal] OR ""Circulation""[Journal] OR ""European heart journal""[Journal] OR ""Journal of the American College of Cardiology""[Journal] OR ""JAMA internal medicine""[Journal] OR ""JAMA cardiology""[Journal] OR ""Lancet public health""[Journal] OR ""Lancet diabetes & endocrinology""[Journal] OR ""Cochrane database of systematic reviews""[Journal] OR ""Nature aging""[Journal] OR ""Aging cell""[Journal] OR ""GeroScience""[Journal] OR ""Proceedings of the National Academy of Sciences of the United States of America""[Journal] OR ""Science translational medicine""[Journal])",50,50,0,ldl-apob-cardiovascular-risk__high_weight_journal
2026-04-29,PubMed,"((""LDL cholesterol"" OR LDL-C OR ""apolipoprotein B"" OR apoB) AND (""cardiovascular risk"" OR mortality OR ""major adverse cardiovascular events"")) AND (""systematic review""[Publication Type] OR ""meta-analysis""[Publication Type] OR ""randomized controlled trial""[Publication Type] OR cohort[Title/Abstract] OR ""Mendelian randomization""[Title/Abstract] OR ""umbrella review""[Title/Abstract])",150,146,0,ldl-apob-cardiovascular-risk__high_design
2026-04-29,PubMed,"((""LDL cholesterol"" OR LDL-C OR ""apolipoprotein B"" OR apoB) AND (""cardiovascular risk"" OR mortality OR ""major adverse cardiovascular events"")) AND (review[Title/Abstract] OR trial[Title/Abstract] OR cohort[Title/Abstract] OR ""systematic review""[Title/Abstract] OR ""meta-analysis""[Title/Abstract])",150,50,0,ldl-apob-cardiovascular-risk__recent_review_trial
2026-04-29,PubMed,"((""sleep duration"" OR insomnia OR ""sleep quality"" OR ""sleep apnea"") AND (mortality OR dementia OR ""healthy aging"" OR cardiovascular)) AND (""The New England journal of medicine""[Journal] OR ""Lancet""[Journal] OR ""JAMA""[Journal] OR ""BMJ""[Journal] OR ""Annals of internal medicine""[Journal] OR ""Nature medicine""[Journal] OR ""Science""[Journal] OR ""Nature""[Journal] OR ""Cell""[Journal] OR ""Circulation""[Journal] OR ""European heart journal""[Journal] OR ""Journal of the American College of Cardiology""[Journal] OR ""JAMA internal medicine""[Journal] OR ""JAMA cardiology""[Journal] OR ""Lancet public health""[Journal] OR ""Lancet diabetes & endocrinology""[Journal] OR ""Cochrane database of systematic reviews""[Journal] OR ""Nature aging""[Journal] OR ""Aging cell""[Journal] OR ""GeroScience""[Journal] OR ""Proceedings of the National Academy of Sciences of the United States of America""[Journal] OR ""Science translational medicine""[Journal])",50,48,0,sleep-aging__high_weight_journal
2026-04-29,PubMed,"((""sleep duration"" OR insomnia OR ""sleep quality"" OR ""sleep apnea"") AND (mortality OR dementia OR ""healthy aging"" OR cardiovascular)) AND (""systematic review""[Publication Type] OR ""meta-analysis""[Publication Type] OR ""randomized controlled trial""[Publication Type] OR cohort[Title/Abstract] OR ""Mendelian randomization""[Title/Abstract] OR ""umbrella review""[Title/Abstract])",150,147,0,sleep-aging__high_design
2026-04-29,PubMed,"((""sleep duration"" OR insomnia OR ""sleep quality"" OR ""sleep apnea"") AND (mortality OR dementia OR ""healthy aging"" OR cardiovascular)) AND (review[Title/Abstract] OR trial[Title/Abstract] OR cohort[Title/Abstract] OR ""systematic review""[Title/Abstract] OR ""meta-analysis""[Title/Abstract])",150,78,0,sleep-aging__recent_review_trial
