编号,补剂,英文名,类别,健康证据,皮肤证据,一句话总结,常见误解,注意,专业评估,商业宣传风险,更新日期
S023,维生素 B12,Vitamin B12,vitamin,B：中等,D：很早期,主要看缺乏、贫血和神经相关风险管理。,不支持非缺乏人群补充即可延寿或美容。,需结合缺乏风险、素食、胃肠疾病和用药情况。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,中,2026-07-29
S024,叶酸,Folate,vitamin,B：中等,D：很早期,主要看孕前孕期和缺乏风险相关健康管理。,不支持作为抗衰或美容补剂泛用。,高剂量可能掩盖 B12 缺乏，需注意人群边界。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,中,2026-07-29
S025,复合维生素,Multivitamin,multi_nutrient,C：有限,D：很早期,可看作饮食不足或特定人群营养补充候选。,不支持替代健康饮食、延寿或美容逆龄。,注意重复摄入脂溶性维生素和矿物质。,阅读不用；长期、高剂量或多种叠加前再评估。,高,2026-07-29
S026,维生素 E,Vitamin E,vitamin,C：有限,C：有限,可看作抗氧化相关证据线索。,不支持高剂量用于延寿、心血管预防或美容逆龄。,高剂量可能增加出血风险，抗凝药人群需谨慎。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,高,2026-07-29
S027,维生素 A,Vitamin A,vitamin,C：有限,C：有限,主要看缺乏相关视力、免疫和皮肤角化问题。,不支持高剂量抗老或美容口服。,脂溶性维生素，过量和孕期风险较高。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,高,2026-07-29
S028,维生素 K2,Vitamin K2,vitamin,C：有限,D：很早期,可看作骨骼和钙代谢相关证据线索。,不支持声称软化血管、延寿或美容。,华法林等抗凝药人群需医生评估。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,高,2026-07-29
S029,硒,Selenium,mineral,C：有限,D：很早期,主要看缺乏或甲状腺相关证据线索。,不支持高剂量抗癌、延寿或美容。,过量可导致硒中毒，安全窗较窄。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,高,2026-07-29
S030,碘,Iodine,mineral,B：中等,D：很早期,主要看缺乏和甲状腺健康管理。,不支持抗衰或美容泛用。,甲状腺疾病人群补充需医生评估。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,中,2026-07-29
S031,铁,Iron,mineral,B：中等,D：很早期,主要看缺铁和贫血相关健康管理。,不支持无缺乏人群补铁抗老。,过量铁有风险，需结合铁蛋白和医生评估。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,中,2026-07-29
S032,铜,Copper,mineral,C：有限,D：很早期,主要看明确缺乏相关证据线索。,不支持作为美容或抗衰补剂泛用。,过量有毒性，且与锌摄入存在平衡问题。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,中,2026-07-29
S033,锰,Manganese,mineral,D：很早期,D：很早期,可看作微量元素缺乏风险线索。,不支持抗衰或美容宣传。,过量有神经毒性风险。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,中,2026-07-29
S034,铬,Chromium,mineral,C：有限,D：很早期,可看作糖代谢相关证据线索。,不支持减肥、控糖或延寿确定有效宣传。,糖尿病用药人群需注意低血糖和相互作用。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,高,2026-07-29
S035,钾,Potassium,mineral,B：中等,D：很早期,主要看血压和膳食模式相关健康管理。,不支持自行高剂量补钾抗衰。,肾病、ACEI/ARB 或保钾利尿剂人群风险高。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,中,2026-07-29
S036,电解质,Electrolytes,mineral_mix,C：有限,D：很早期,主要看出汗、运动或脱水场景。,不支持日常抗衰或美容泛用。,高血压、肾病和心衰人群需看钠钾负担。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,中,2026-07-29
S037,车前子壳/可溶性纤维,Psyllium / Soluble Fiber,fiber,B：中等,D：很早期,主要看 LDL-C、血糖和肠道规律相关终点。,不支持直接延寿或美容逆龄。,需注意饮水、吞咽困难和药物吸收间隔。,阅读不用；长期、高剂量或多种叠加前再评估。,中,2026-07-29
S038,β-葡聚糖,Beta-Glucan,fiber,B：中等,D：很早期,主要看胆固醇和免疫相关证据线索。,不支持全面提升免疫或抗衰。,过敏和胃肠耐受需注意。,阅读不用；长期、高剂量或多种叠加前再评估。,中,2026-07-29
S039,菊粉,Inulin,prebiotic,C：有限,D：很早期,可看作益生元、肠道和代谢证据线索。,不支持所有人群肠道抗老。,易腹胀，肠易激人群需谨慎。,阅读不用；长期、高剂量或多种叠加前再评估。,中,2026-07-29
S040,益生元复合物,Prebiotic Mix,prebiotic,C：有限,D：很早期,主要看肠道菌群和代谢证据线索。,不支持单独作为抗衰或美容方案。,肠道敏感人群需关注耐受。,阅读不用；长期、高剂量或多种叠加前再评估。,高,2026-07-29
S041,叶黄素,Lutein,carotenoid,B：中等,C：有限,主要看眼健康和黄斑相关证据。,不支持延寿或皮肤逆龄。,与综合配方和基础眼病状态有关。,阅读不用；长期、高剂量或多种叠加前再评估。,中,2026-07-29
S042,玉米黄质,Zeaxanthin,carotenoid,B：中等,C：有限,主要看眼健康和黄斑相关证据。,不支持美容或延寿泛用宣传。,常与叶黄素联用，需区分配方证据。,阅读不用；长期、高剂量或多种叠加前再评估。,中,2026-07-29
S043,番茄红素,Lycopene,carotenoid,C：有限,C：有限,可看作抗氧化和皮肤光保护证据线索。,不支持抗癌、延寿或替代防晒。,补剂证据不能替代富含蔬果的饮食模式。,阅读不用；长期、高剂量或多种叠加前再评估。,高,2026-07-29
S044,β-胡萝卜素,Beta-Carotene,carotenoid,C：有限,C：有限,可看作维A来源和抗氧化证据线索。,不支持吸烟者补充用于防癌或抗衰。,吸烟者高剂量补充存在重要安全警示。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,高,2026-07-29
S045,α-硫辛酸,Alpha-Lipoic Acid,antioxidant,C：有限,D：很早期,可看作糖代谢和神经症状证据线索。,不支持延寿或美容逆龄。,糖尿病用药人群需注意低血糖风险。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,高,2026-07-29
S046,NAC/N-乙酰半胱氨酸,N-Acetylcysteine,antioxidant,C：有限,D：很早期,可看作谷胱甘肽和呼吸/氧化应激相关证据线索。,不支持作为通用抗衰补剂。,哮喘、抗凝和药物相互作用需注意。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,高,2026-07-29
S047,谷胱甘肽,Glutathione,antioxidant,D：很早期,C：有限,可看作色素和氧化应激证据线索。,不支持美白、排毒或逆龄确定有效宣传。,注射用途不属于普通补剂，存在医疗风险。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,高,2026-07-29
S048,甘氨酸,Glycine,amino_acid,C：有限,D：很早期,可看作睡眠、代谢和胶原相关证据线索。,不支持延寿已证实。,特殊疾病和多补剂组合需谨慎。,阅读不用；长期、高剂量或多种叠加前再评估。,中,2026-07-29
S049,牛磺酸,Taurine,amino_acid,C：有限,D：很早期,可看作代谢、运动和心血管证据线索。,不支持声称人类延寿已证实。,能量饮料配方不能等同于牛磺酸单独证据。,阅读不用；长期、高剂量或多种叠加前再评估。,高,2026-07-29
S050,左旋肉碱,L-Carnitine,amino_acid_derivative,C：有限,D：很早期,可看作脂代谢、疲劳和特定缺乏证据线索。,不支持减肥或延寿确定有效。,肾病、癫痫和 TMAO 风险讨论需复核。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,高,2026-07-29
S051,乙酰左旋肉碱,Acetyl-L-Carnitine,amino_acid_derivative,C：有限,D：很早期,可看作神经、疲劳和线粒体证据线索。,不支持逆龄或认知增强确定有效。,精神症状、癫痫和用药人群需谨慎。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,高,2026-07-29
S052,瓜氨酸,Citrulline,sports_nutrition,C：有限,D：很早期,可看作运动表现和血流相关证据线索。,不支持延寿或美容。,低血压和硝酸酯类用药人群需谨慎。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,中,2026-07-29
S053,精氨酸,Arginine,sports_nutrition,C：有限,D：很早期,可看作血流和运动相关证据线索。,不支持抗衰或心血管治疗替代。,疱疹、低血压和心血管病史人群需谨慎。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,中,2026-07-29
S054,β-丙氨酸,Beta-Alanine,sports_nutrition,C：有限,D：很早期,主要看部分运动表现相关证据。,不支持延寿、美容或肌肉增长万能宣传。,常见刺痛感，特殊疾病人群需谨慎。,阅读不用；长期、高剂量或多种叠加前再评估。,中,2026-07-29
S055,HMB,HMB,sports_nutrition,C：有限,D：很早期,可看作肌肉保留和老年营养证据线索。,不支持替代抗阻训练或延寿。,肾病和多种蛋白补剂叠加需注意。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,中,2026-07-29
S056,二型胶原,Type II Collagen,joint_support,C：有限,C：有限,可看作关节相关证据线索。,不支持皮肤逆龄或延寿。,自身免疫和过敏人群需谨慎。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,中,2026-07-29
S057,氨糖,Glucosamine,joint_support,C：有限,D：很早期,可看作骨关节炎症状证据线索。,不支持软骨再生、延寿或美容。,糖尿病、贝类过敏和抗凝药人群需注意。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,高,2026-07-29
S058,软骨素,Chondroitin,joint_support,C：有限,D：很早期,可看作关节症状证据线索。,不支持延寿或皮肤抗老。,抗凝药人群需谨慎。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,中,2026-07-29
S059,MSM,Methylsulfonylmethane,joint_support,D：很早期,D：很早期,可看作关节和炎症候选线索。,不支持抗衰、美容或治疗确定有效。,长期安全性和配方混杂需复核。,阅读不用；长期、高剂量或多种叠加前再评估。,高,2026-07-29
S060,乳香提取物,Boswellia,botanical,C：有限,D：很早期,可看作关节和炎症证据线索。,不支持治疗替代或延寿。,与抗凝、胃肠耐受和产品质量有关。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,高,2026-07-29
S061,南非醉茄,Ashwagandha,botanical_adaptogen,C：有限,D：很早期,可看作压力、睡眠和主观疲劳证据线索。,不支持抗衰、增睾或治疗焦虑抑郁的确定宣传。,肝损伤个案、甲状腺和孕期风险需注意。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,高,2026-07-29
S062,红景天,Rhodiola,botanical_adaptogen,D：很早期,D：很早期,可看作疲劳和压力候选线索。,不支持延寿或增强免疫确定有效。,精神症状和用药相互作用需谨慎。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,高,2026-07-29
S063,人参,Ginseng,botanical,C：有限,D：很早期,可看作疲劳、血糖和认知证据线索。,不支持包治百病或延寿。,血糖、血压、抗凝药和失眠风险需注意。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,高,2026-07-29
S064,玛咖,Maca,botanical,D：很早期,D：很早期,可看作性健康和主观活力候选线索。,不支持抗衰、增睾或美容确定有效。,内分泌相关疾病人群需谨慎。,阅读不用；长期、高剂量或多种叠加前再评估。,高,2026-07-29
S065,银杏,Ginkgo,botanical,C：有限,D：很早期,可看作认知和循环相关证据线索。,不支持预防痴呆、延寿或美容。,抗凝药、手术前和出血风险人群需谨慎。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,高,2026-07-29
S066,婆罗米,Bacopa,botanical,C：有限,D：很早期,可看作认知相关证据线索。,不支持抗衰或治疗认知障碍。,胃肠反应、镇静和药物相互作用需注意。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,高,2026-07-29
S067,猴头菇,Lion's Mane,mushroom,D：很早期,D：很早期,可看作神经和认知候选线索。,不支持神经再生、延寿或美容确定有效。,过敏、产品质量和证据不足要留意。,阅读不用；长期、高剂量或多种叠加前再评估。,高,2026-07-29
S068,小檗碱,Berberine,botanical_alkaloid,B：中等,D：很早期,可看作血糖、血脂和代谢证据线索。,不支持替代降糖/降脂药或延寿。,药物相互作用多，孕期和慢病用药人群需医生评估。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,高,2026-07-29
S069,肉桂,Cinnamon,botanical,C：有限,D：很早期,可看作血糖证据线索。,不支持治疗糖尿病或延寿。,香豆素、肝病和药物相互作用需注意。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,高,2026-07-29
S070,大蒜提取物,Garlic Extract,botanical,C：有限,D：很早期,可看作血脂、血压和心血管风险证据线索。,不支持替代降压/降脂治疗或延寿。,抗凝药、手术前和胃肠反应需注意。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,中,2026-07-29
S071,植物甾醇,Plant Sterols,lipid_lowering,B：中等,D：很早期,主要看 LDL-C 降低相关证据。,不支持直接降低死亡风险或美容。,不替代总体饮食和医学降脂策略。,阅读不用；长期、高剂量或多种叠加前再评估。,中,2026-07-29
S072,红曲米,Red Yeast Rice,lipid_lowering,B：中等,D：很早期,主要看 LDL-C 相关证据线索。,不支持作为安全天然替代他汀。,含类他汀成分和污染风险，需医生评估。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,高,2026-07-29
S073,普利醇,Policosanol,lipid_lowering,D：很早期,D：很早期,可看作血脂候选线索。,不支持降脂或延寿确定有效。,证据不一致，不能替代标准治疗。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,高,2026-07-29
S074,水飞蓟,Milk Thistle,botanical,C：有限,D：很早期,可看作肝功能相关证据线索。,不支持护肝排毒、延寿或美容。,肝病治疗需医生评估，注意药物相互作用。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,高,2026-07-29
S075,锯棕榈,Saw Palmetto,botanical,C：有限,D：很早期,可看作前列腺症状证据线索。,不支持抗衰、增发或激素调节确定有效。,前列腺症状需排除严重疾病。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,高,2026-07-29
S076,蔓越莓,Cranberry,botanical,C：有限,D：很早期,可看作尿路感染复发预防证据线索。,不支持抗衰、美容或治疗感染。,抗凝药和肾结石风险人群需谨慎。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,中,2026-07-29
S077,D-甘露糖,D-Mannose,urogenital,C：有限,D：很早期,可看作尿路感染复发预防证据线索。,不支持治疗感染或抗衰。,糖尿病和反复感染人群需医生评估。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,中,2026-07-29
S078,薄荷油,Peppermint Oil,botanical,B：中等,D：很早期,可看作肠易激症状证据线索。,不支持抗衰、美容或长期随意使用。,胃食管反流、儿童和孕期需谨慎。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,中,2026-07-29
S079,姜,Ginger,botanical,C：有限,D：很早期,可看作恶心、炎症和代谢证据线索。,不支持延寿或美容逆龄。,抗凝药和胃肠耐受需注意。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,中,2026-07-29
S080,螺旋藻,Spirulina,algae,D：很早期,D：很早期,可看作营养和代谢候选线索。,不支持排毒、抗衰或美容确定有效。,污染、免疫疾病和产品质量风险要留意。,阅读不用；长期、高剂量或多种叠加前再评估。,高,2026-07-29
S081,小球藻,Chlorella,algae,D：很早期,D：很早期,可看作营养候选线索。,不支持排毒、延寿或美容。,污染、免疫疾病和抗凝药人群需谨慎。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,高,2026-07-29
S082,辣木,Moringa,botanical,D：很早期,D：很早期,可看作营养和代谢候选线索。,不支持抗衰、降糖或美容确定有效。,孕期、用药和产品质量需注意。,阅读不用；长期、高剂量或多种叠加前再评估。,高,2026-07-29
S083,小麦草,Wheatgrass,botanical,D：很早期,D：很早期,可看作营养候选线索。,不支持排毒、抗癌、延寿或美容。,污染和过敏风险要留意。,阅读不用；长期、高剂量或多种叠加前再评估。,高,2026-07-29
S084,甜菜根,Beetroot / Nitrate,sports_nutrition,B：中等,D：很早期,主要看血压和运动表现相关证据线索。,不支持延寿或美容。,低血压、肾结石风险和用药人群需谨慎。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,中,2026-07-29
S085,可可黄烷醇,Cocoa Flavanols,polyphenol,C：有限,C：有限,可看作血管功能和皮肤光保护证据线索。,不支持巧克力延寿或美容逆龄。,糖脂负担和配方差异需区分。,阅读不用；长期、高剂量或多种叠加前再评估。,高,2026-07-29
S086,橄榄叶提取物,Olive Leaf Extract,botanical,D：很早期,D：很早期,可看作血压、代谢和抗氧化候选线索。,不支持替代降压药、延寿或美容。,低血压和用药相互作用需注意。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,高,2026-07-29
S087,黑种草籽油,Black Seed Oil,botanical_oil,C：有限,D：很早期,可看作炎症和代谢证据线索。,不支持治疗疾病、延寿或美容。,药物相互作用、孕期和肝肾风险需注意。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,高,2026-07-29
S088,月见草油,Evening Primrose Oil,fatty_acid,C：有限,C：有限,可看作皮肤干燥、湿疹和女性健康证据线索。,不支持抗衰或美容确定有效。,抗凝药、癫痫和孕期需谨慎。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,高,2026-07-29
S089,琉璃苣油,Borage Oil,fatty_acid,C：有限,C：有限,可看作皮肤屏障和炎症证据线索。,不支持抗衰或美容确定有效。,需注意肝毒性污染物和抗凝风险。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,高,2026-07-29
S090,共轭亚油酸,Conjugated Linoleic Acid,fatty_acid,D：很早期,D：很早期,可看作体成分候选线索。,不支持减脂、延寿或美容确定有效。,可能影响胰岛素敏感性和血脂，需谨慎。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,高,2026-07-29
S091,MCT 油,MCT Oil,fat,C：有限,D：很早期,可看作能量代谢和特定饮食场景证据线索。,不支持减肥、延寿或美容。,胃肠反应和热量负担需注意。,阅读不用；长期、高剂量或多种叠加前再评估。,高,2026-07-29
S092,SAM-e,S-Adenosylmethionine,methylation,C：有限,D：很早期,可看作情绪、关节和肝功能证据线索。,不支持抗衰或美容。,躁郁风险、抗抑郁药相互作用需医生评估。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,高,2026-07-29
S093,肌醇,Inositol,metabolic,C：有限,D：很早期,可看作 PCOS 和代谢证据线索。,不支持抗衰、美容或所有女性泛用。,糖代谢用药和孕期需评估。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,中,2026-07-29
S094,磷脂酰丝氨酸,Phosphatidylserine,cognition,D：很早期,D：很早期,可看作认知和压力候选线索。,不支持预防痴呆或延寿。,证据有限，产品来源和用药人群需注意。,阅读不用；长期、高剂量或多种叠加前再评估。,高,2026-07-29
S095,胞磷胆碱,Citicoline,cognition,C：有限,D：很早期,可看作认知和神经恢复证据线索。,不支持聪明药、延寿或美容。,神经系统疾病和用药人群需医生评估。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,高,2026-07-29
S096,胆碱,Choline,nutrient,C：有限,D：很早期,可看作营养和肝脂代谢证据线索。,不支持延寿或美容。,高摄入、TMAO 风险和鱼腥味副作用需注意。,阅读不用；长期、高剂量或多种叠加前再评估。,中,2026-07-29
S097,L-茶氨酸,L-Theanine,relaxation,C：有限,D：很早期,可看作压力、睡眠和注意力证据线索。,不支持抗衰或治疗焦虑失眠。,镇静药物和驾驶安全需注意。,阅读不用；长期、高剂量或多种叠加前再评估。,中,2026-07-29
S098,色氨酸,Tryptophan,sleep_mood,C：有限,D：很早期,可看作睡眠和情绪相关证据线索。,不支持抗衰或美容。,与抗抑郁药同用需注意血清素风险。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,高,2026-07-29
S099,5-HTP,5-HTP,sleep_mood,C：有限,D：很早期,可看作睡眠和情绪候选线索。,不支持治疗抑郁、减肥或抗衰。,抗抑郁药同用风险较高，需医生评估。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,高,2026-07-29
S100,缬草,Valerian,sleep_botanical,C：有限,D：很早期,可看作睡眠证据线索。,不支持长期治疗失眠或抗衰。,镇静叠加、驾驶和肝脏安全需注意。,慢病、用药、孕期备孕、肝肾问题或长期高剂量使用时需要。,中,2026-07-29
