explanation_id,domain,topic_id,title_zh,title_en,public_level,why_this_level_zh,why_not_medical_advice_zh,core_review_required,status,last_checked
explain-healthspan-metformin-aging,healthspan,metformin-aging,二甲双胍与衰老,Metformin and Aging,B,B 级表示方向有较好人体或系统证据，但硬终点、直接因果、异质性或适用范围仍有限。,不能把它写成普通人抗衰处方；肾功能、B12 和用药风险需医生评估。 该主题涉及疾病、药物、处方或专业操作，公开页只能提供证据边界，不能给个人医疗建议。,true,public_draft_needs_manual_review,2026-07-29
explain-healthspan-rapamycin-mtor-aging,healthspan,rapamycin-mtor-aging,雷帕霉素/mTOR 与衰老,Rapamycin/mTOR and Aging,C,C 级表示候选证据存在，但通常受限于软终点、机制外推、早期研究、商业风险或研究异质性。,不能建议健康人自行使用免疫抑制相关药物。 该主题涉及疾病、药物、处方或专业操作，公开页只能提供证据边界，不能给个人医疗建议。,false,public_draft_needs_manual_review,2026-07-29
explain-healthspan-senolytics,healthspan,senolytics,Senolytics 清除衰老细胞,Senolytics,C,C 级表示候选证据存在，但通常受限于软终点、机制外推、早期研究、商业风险或研究异质性。,不能鼓励自行服用 dasatinib、quercetin、fisetin 等高剂量组合。 该主题涉及疾病、药物、处方或专业操作，公开页只能提供证据边界，不能给个人医疗建议。,false,public_draft_needs_manual_review,2026-07-29
explain-healthspan-nad-nmn-nr-aging,healthspan,nad-nmn-nr-aging,NAD/NMN/NR,NAD/NMN/NR,C,C 级表示候选证据存在，但通常受限于软终点、机制外推、早期研究、商业风险或研究异质性。,不能把提升 NAD 指标直接等同于延寿或抗衰成功。 公开页只说明人群层面证据，不提供个人剂量、疗程、品牌或处方建议。,false,public_draft_needs_manual_review,2026-07-29
explain-healthspan-epigenetic-clocks,healthspan,epigenetic-clocks,表观遗传时钟,Epigenetic Clocks,B,B 级表示方向有较好人体或系统证据，但硬终点、直接因果、异质性或适用范围仍有限。,不能把时钟变年轻直接写成真正逆龄或延寿。 公开页只说明人群层面证据，不提供个人剂量、疗程、品牌或处方建议。,true,public_draft_needs_manual_review,2026-07-29
explain-healthspan-itp-mouse-lifespan,healthspan,itp-mouse-lifespan,ITP 小鼠寿命干预,ITP Mouse Lifespan Interventions,D,D 级表示主要为动物、机制或早期探索，不能作为人体行动建议。,不能把小鼠寿命延长写成人类可用抗衰方案。 公开页只说明人群层面证据，不提供个人剂量、疗程、品牌或处方建议。,false,public_draft_needs_manual_review,2026-07-29
explain-healthspan-klotho-il11-aging,healthspan,klotho-il11-aging,Klotho / IL-11,Klotho / IL-11,C,C 级表示候选证据存在，但通常受限于软终点、机制外推、早期研究、商业风险或研究异质性。,不能写成可自行应用的人体抗衰治疗。 该主题涉及疾病、药物、处方或专业操作，公开页只能提供证据边界，不能给个人医疗建议。,false,public_draft_needs_manual_review,2026-07-29
explain-healthspan-partial-reprogramming,healthspan,partial-reprogramming,部分重编程,Partial Reprogramming,D,D 级表示主要为动物、机制或早期探索，不能作为人体行动建议。,不能把实验室 rejuvenation 写成人体可用疗法。 该主题涉及疾病、药物、处方或专业操作，公开页只能提供证据边界，不能给个人医疗建议。,false,public_draft_needs_manual_review,2026-07-29
explain-healthspan-autophagy-mitophagy,healthspan,autophagy-mitophagy,自噬/线粒体自噬,Autophagy and Mitophagy,C,C 级表示候选证据存在，但通常受限于软终点、机制外推、早期研究、商业风险或研究异质性。,不能把激活自噬宣传成普遍延寿或排毒。 公开页只说明人群层面证据，不提供个人剂量、疗程、品牌或处方建议。,false,public_draft_needs_manual_review,2026-07-29
explain-healthspan-microbiome-inflammaging,healthspan,microbiome-inflammaging,微生物组与炎症性衰老,Microbiome and Inflammaging,B,B 级表示方向有较好人体或系统证据，但硬终点、直接因果、异质性或适用范围仍有限。,不能把单一益生菌写成抗衰处方。 公开页只说明人群层面证据，不提供个人剂量、疗程、品牌或处方建议。,true,public_draft_needs_manual_review,2026-07-29
explain-skin_beauty-sunscreen-photoaging-prevention,skin_beauty,sunscreen-photoaging-prevention,防晒与光老化预防,Sunscreen and Photoaging Prevention,A,A 级限定于广谱防晒/光防护预防和减缓 UV 相关光老化；该结论有生物学因果、人体随机试验和皮肤科共识支持。,不代表逆转所有已存在皮肤老化，也不代表某个具体产品优于其他产品。 公开页只说明人群层面证据，不提供个人剂量、疗程、品牌或处方建议。,true,public_draft_needs_manual_review,2026-07-29
explain-skin_beauty-retinoids-photoaging,skin_beauty,retinoids-photoaging,维A酸/视黄醇类与光老化,Retinoids and Photoaging,B,B 级表示方向有较好人体或系统证据，但硬终点、直接因果、异质性或适用范围仍有限。,处方维A酸、孕期、敏感肌和皮肤病人群需要医生评估。 该主题涉及疾病、药物、处方或专业操作，公开页只能提供证据边界，不能给个人医疗建议。,true,public_draft_needs_manual_review,2026-07-29
explain-skin_beauty-niacinamide-barrier-pigment,skin_beauty,niacinamide-barrier-pigment,烟酰胺与屏障/色素/炎症,"Niacinamide for Barrier, Pigment, and Inflammation",C,C 级表示候选证据存在，但通常受限于软终点、机制外推、早期研究、商业风险或研究异质性。,不能宣传为全身抗衰或延寿。 公开页只说明人群层面证据，不提供个人剂量、疗程、品牌或处方建议。,false,public_draft_needs_manual_review,2026-07-29
explain-skin_beauty-topical-vitamin-c,skin_beauty,topical-vitamin-c,维C外用与色素/胶原,Topical Vitamin C,B,B 级表示方向有较好人体或系统证据，但硬终点、直接因果、异质性或适用范围仍有限。,不能替代防晒、医美或疾病治疗。 公开页只说明人群层面证据，不提供个人剂量、疗程、品牌或处方建议。,true,public_draft_needs_manual_review,2026-07-29
explain-skin_beauty-oral-collagen-peptides,skin_beauty,oral-collagen-peptides,口服胶原肽与皮肤弹性/水分,Oral Collagen Peptides,C,C 级表示候选证据存在，但通常受限于软终点、机制外推、早期研究、商业风险或研究异质性。,不能写成逆龄、延寿或替代均衡蛋白摄入。 公开页只说明人群层面证据，不提供个人剂量、疗程、品牌或处方建议。,false,public_draft_needs_manual_review,2026-07-29
explain-skin_beauty-hyaluronic-acid-ceramides-hydration,skin_beauty,hyaluronic-acid-ceramides-hydration,透明质酸、神经酰胺与皮肤水分屏障,"Hyaluronic Acid, Ceramides, and Hydration",C,C 级表示候选证据存在，但通常受限于软终点、机制外推、早期研究、商业风险或研究异质性。,不能宣传为系统性抗衰或替代皮肤病治疗。 公开页只说明人群层面证据，不提供个人剂量、疗程、品牌或处方建议。,false,public_draft_needs_manual_review,2026-07-29
explain-skin_beauty-polyphenols-skin-photoprotection,skin_beauty,polyphenols-skin-photoprotection,多酚/抗氧化剂与皮肤光保护,Polyphenols and Skin Photoprotection,C,C 级表示候选证据存在，但通常受限于软终点、机制外推、早期研究、商业风险或研究异质性。,不能替代防晒，也不能把抗氧化机制写成抗老已证实。 公开页只说明人群层面证据，不提供个人剂量、疗程、品牌或处方建议。,false,public_draft_needs_manual_review,2026-07-29
explain-skin_beauty-energy-devices-resurfacing,skin_beauty,energy-devices-resurfacing,医美能量设备和换肤类干预,"Energy Devices, Peels, and Resurfacing",B,B 级表示方向有较好人体或系统证据，但硬终点、直接因果、异质性或适用范围仍有限。,必须由合格专业人员评估；不能提供参数、疗程或设备推荐。 该主题涉及疾病、药物、处方或专业操作，公开页只能提供证据边界，不能给个人医疗建议。,true,public_draft_needs_manual_review,2026-07-29
explain-skin_beauty-pdrn-polynucleotide-skin-boosters,skin_beauty,pdrn-polynucleotide-skin-boosters,PDRN/PN 与 Skin Booster,PDRN / Polynucleotide / Skin Booster,B,B 级表示方向有较好人体或系统证据，但硬终点、直接因果、异质性或适用范围仍有限。,不能把外用化妆品证据当作注射项目证据，也不能写成逆龄、延寿或无风险医美项目。 该主题涉及疾病、药物、处方或专业操作，公开页只能提供证据边界，不能给个人医疗建议。,true,public_draft_needs_manual_review,2026-07-29
