finding_id,candidate_id,pmid,doi,title_en,topic_id,study_type,species,previous_level,decision,reason,retired_date,recovery_source
finding-pubmed-22509138,pubmed-22509138,22509138,10.1371/journal.pmed.1001204,Reappraisal of metformin efficacy in the treatment of type 2 diabetes: a meta-analysis of randomised controlled trials.,metformin-aging,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-22517929,pubmed-22517929,22517929,10.1136/bmj.e1771,Comparison of metformin and insulin versus insulin alone for type 2 diabetes: systematic review of randomised clinical trials with meta-analyses and trial sequential analyses.,metformin-aging,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-22805526,pubmed-22805526,22805526,10.1123/ijsnem.23.1.73,Effects of quercetin supplementation on endurance performance and maximal oxygen consumption: a meta-analysis.,senolytics,systematic_review_or_meta_analysis,human,C,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-23137049,pubmed-23137049,23137049,10.3109/00365521.2012.719926,Metformin and reduced risk of hepatocellular carcinoma in diabetic patients: a meta-analysis.,metformin-aging,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-23508758,pubmed-23508758,23508758,10.1161/CIRCHEARTFAILURE.112.000162,"Comparative safety and effectiveness of metformin in patients with diabetes mellitus and heart failure: systematic review of observational studies involving 34,000 patients.",metformin-aging,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-23696771,pubmed-23696771,23696771,,Choice of therapy in patients with type 2 diabetes inadequately controlled with metformin and a sulphonylurea: a systematic review and mixed-treatment comparison meta-analysis.,metformin-aging,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-23753040,pubmed-23753040,23753040,10.1158/1055-9965.EPI-13-0347,A cohort study of metformin exposure and survival in patients with stage I-III colorectal cancer.,metformin-aging,human_cohort,human,C,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-23936520,pubmed-23936520,23936520,10.1371/journal.pone.0071583,Metformin therapy and risk of cancer in patients with type 2 diabetes: systematic review.,metformin-aging,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-24051965,pubmed-24051965,24051965,10.1097/MPA.0b013e3182965a3c,Metformin and survival in pancreatic cancer: a retrospective cohort study.,metformin-aging,human_cohort,human,C,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-24172091,pubmed-24172091,24172091,10.1097/IGC.0b013e3182a80a21,The effects of metformin on ovarian cancer: a systematic review.,metformin-aging,systematic_review_or_meta_analysis,human,C,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-24258613,pubmed-24258613,24258613,10.1634/theoncologist.2013-0111,Metformin is associated with survival benefit in cancer patients with concurrent type 2 diabetes: a systematic review and meta-analysis.,metformin-aging,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-24460896,pubmed-24460896,24460896,10.1111/dom.12267,The prognostic value of metformin for cancer patients with concurrent diabetes: a systematic review and meta-analysis.,metformin-aging,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-25545701,pubmed-25545701,25545701,10.1371/journal.pone.0116327,Effect of metformin on cancer risk and treatment outcome of prostate cancer: a meta-analysis of epidemiological observational studies.,metformin-aging,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-25667109,pubmed-25667109,25667109,10.1038/pcan.2014.52,Impact of metformin on clinical outcomes among men with prostate cancer: a systematic review and meta-analysis.,metformin-aging,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-25683794,pubmed-25683794,25683794,10.1111/ijcp.12605,"Effectiveness and safety of glimepiride and iDPP4, associated with metformin in second line pharmacotherapy of type 2 diabetes mellitus: systematic review and meta-analysis.",metformin-aging,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-25684493,pubmed-25684493,25684493,10.7314/apjcp.2015.16.2.595,Metformin association with lower prostate cancer recurrence in type 2 diabetes: a systematic review and meta-analysis.,metformin-aging,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-25733454,pubmed-25733454,25733454,10.3945/jn.114.205336,The Dietary Patterns Methods Project: synthesis of findings across cohorts and relevance to dietary guidance.,dietary-pattern-longevity,narrative_review,human,B,retired_from_active_findings,topic_capacity_limit,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-26331456,pubmed-26331456,26331456,10.1002/ijc.29720,Metformin use and survival after colorectal cancer: A population-based cohort study.,metformin-aging,human_cohort,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-26459254,pubmed-26459254,26459254,10.1007/s12094-015-1412-x,Effects of metformin on survival outcomes of lung cancer patients with type 2 diabetes mellitus: a meta-analysis.,metformin-aging,systematic_review_or_meta_analysis,human,C,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-26775158,pubmed-26775158,26775158,10.1186/s13054-015-1180-6,Lactic acidosis and severe septic shock in metformin users: a cohort study.,metformin-aging,human_cohort,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-26790455,pubmed-26790455,26790455,10.1093/ageing/afv192,Global variation in grip strength: a systematic review and meta-analysis of normative data.,resistance-training-muscle,systematic_review_or_meta_analysis,needs_review,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-26845035,pubmed-26845035,26845035,10.1371/journal.pone.0144405,"Behavioural Risk Factors in Mid-Life Associated with Successful Ageing, Disability, Dementia and Frailty in Later Life: A Rapid Systematic Review.",resistance-training-muscle,systematic_review_or_meta_analysis,human,A,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-26886616,pubmed-26886616,26886616,10.1097/MD.0000000000002749,Metformin Is Associated With Slightly Reduced Risk of Colorectal Cancer and Moderate Survival Benefits in Diabetes Mellitus: A Meta-Analysis.,metformin-aging,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-26973204,pubmed-26973204,26973204,10.1016/j.lungcan.2016.01.012,Metformin use and survival from lung cancer: A population-based cohort study.,metformin-aging,human_cohort,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-27088241,pubmed-27088241,27088241,10.7326/M15-2650,Diabetes Medications as Monotherapy or Metformin-Based Combination Therapy for Type 2 Diabetes: A Systematic Review and Meta-analysis.,metformin-aging,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-27150509,pubmed-27150509,27150509,10.1111/dme.13150,Short- and long-term outcomes of metformin compared with insulin alone in pregnancy: a systematic review and meta-analysis.,metformin-aging,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-27197276,pubmed-27197276,27197276,10.1158/1055-9965.EPI-15-1061,The Effect of Exercise Training on Mediators of Inflammation in Breast Cancer Survivors: A Systematic Review with Meta-analysis.,physical-activity-healthspan,systematic_review_or_meta_analysis,human,C,retired_from_active_findings,topic_capacity_limit,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-27409822,pubmed-27409822,27409822,10.4158/EP151157.RA,"GUT MICROBIOTA, PREBIOTICS, PROBIOTICS, AND SYNBIOTICS IN MANAGEMENT OF OBESITY AND PREDIABETES: REVIEW OF RANDOMIZED CONTROLLED TRIALS.",microbiome-inflammaging,human_randomized_or_clinical_trial,human,C,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-27534835,pubmed-27534835,27534835,10.1111/dom.12764,Metformin-associated risk of acute dialysis in patients with type 2 diabetes: A nationwide cohort study.,metformin-aging,human_cohort,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-27565939,pubmed-27565939,27565939,10.1016/j.lungcan.2016.07.020,Metformin and survival of people with type 2 diabetes and pleural mesothelioma: A population-based retrospective cohort study.,metformin-aging,human_cohort,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-28055049,pubmed-28055049,28055049,10.7326/M16-1901,"Clinical Outcomes of Metformin Use in Populations With Chronic Kidney Disease, Congestive Heart Failure, or Chronic Liver Disease: A Systematic Review.",metformin-aging,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-28103573,pubmed-28103573,28103573,10.18632/oncotarget.14688,Prognostic role of metformin intake in diabetic patients with colorectal cancer: An updated qualitative evidence of cohort studies.,metformin-aging,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-28271076,pubmed-28271076,28271076,10.1155/2017/5063239,Metformin Improves Overall Survival of Colorectal Cancer Patients with Diabetes: A Meta-Analysis.,metformin-aging,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-28271326,pubmed-28271326,28271326,10.1007/s11255-017-1548-4,The impact of metformin use on survival in kidney cancer patients with diabetes: a meta-analysis.,metformin-aging,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-28272215,pubmed-28272215,28272215,10.1097/MD.0000000000006229,No association between metformin use and survival in patients with pancreatic cancer: An observational cohort study.,metformin-aging,human_cohort,human,C,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-28380674,pubmed-28380674,28380674,10.1002/ijc.30724,Metformin use and survival after non-small cell lung cancer: A cohort study in the US Military health system.,metformin-aging,human_cohort,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-28403788,pubmed-28403788,28403788,10.2174/0929867324666170412145232,Effect of Metformin and Statin Use on Survival in Pancreatic Cancer Patients: a Systematic Literature Review and Meta-analysis.,metformin-aging,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-28424149,pubmed-28424149,28424149,10.1161/JAHA.116.005379,Comparative Safety of Sulfonylurea and Metformin Monotherapy on the Risk of Heart Failure: A Cohort Study.,metformin-aging,human_cohort,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-28431289,pubmed-28431289,28431289,10.1016/j.neurobiolaging.2017.02.019,"Klotho, APOEε4, cognitive ability, brain size, atrophy, and survival: a study in the Aberdeen Birth Cohort of 1936.",klotho-il11-aging,human_cohort,human,C,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-28445955,pubmed-28445955,28445955,10.18632/oncotarget.15692,Metformin is associated with survival benefit in pancreatic cancer patients with diabetes: a systematic review and meta-analysis.,metformin-aging,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-28532299,pubmed-28532299,28532299,10.1080/17461391.2017.1327983,"Role of objectively measured sedentary behaviour in physical performance, frailty and mortality among older adults: A short systematic review.",resistance-training-muscle,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-28663251,pubmed-28663251,28663251,10.1161/JAHA.116.004947,Gut Microbiota Metabolites and Risk of Major Adverse Cardiovascular Disease Events and Death: A Systematic Review and Meta-Analysis of Prospective Studies.,microbiome-inflammaging,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-28667023,pubmed-28667023,28667023,,"Autophagy-Inflammasome Interplay in Heart Failure: A Systematic Review on Basics, Pathways, and Therapeutic Perspectives.",autophagy-mitophagy,systematic_review_or_meta_analysis,human,C,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-28770324,pubmed-28770324,28770324,10.1007/s00125-017-4337-9,Impact of metformin on cardiovascular disease: a meta-analysis of randomised trials among people with type 2 diabetes.,metformin-aging,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-28832637,pubmed-28832637,28832637,10.1371/journal.pone.0183664,A systematic review and meta-analysis of the protective effects of metformin in experimental myocardial infarction.,metformin-aging,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-29040347,pubmed-29040347,29040347,10.1093/ageing/afx162,Frailty index as a predictor of mortality: a systematic review and meta-analysis.,resistance-training-muscle,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-29074818,pubmed-29074818,29074818,10.2215/CJN.03030317,Randomized Clinical Trial of Sevelamer Carbonate on Serum Klotho and Fibroblast Growth Factor 23 in CKD.,klotho-il11-aging,human_randomized_or_clinical_trial,human,C,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-29184669,pubmed-29184669,29184669,10.1038/s41514-017-0016-9,"Repeat dose NRPT (nicotinamide riboside and pterostilbene) increases NAD(+) levels in humans safely and sustainably: a randomized, double-blind, placebo-controlled study.",nad-nmn-nr-aging,metadata_only_needs_classification,human,D,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-29199666,pubmed-29199666,29199666,10.4103/0019-509X.219582,Metformin use and survival of lung cancer patients: Meta-analysis findings.,metformin-aging,systematic_review_or_meta_analysis,human,C,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-29407287,pubmed-29407287,29407287,10.1016/j.jpsychires.2018.01.013,Overview and systematic review of studies of microbiome in schizophrenia and bipolar disorder.,microbiome-inflammaging,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-29486513,pubmed-29486513,29486513,10.1055/s-0044-101466,Combination of Metformin and Lifestyle Intervention for Antipsychotic-Related Weight Gain: A Meta-Analysis of Randomized Controlled Trials.,metformin-aging,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-29524287,pubmed-29524287,29524287,10.1111/jocd.12530,"Antiaging and antioxidant effects of topical autophagy activator: A randomized, placebo-controlled, double-blinded study.",autophagy-mitophagy,human_randomized_or_clinical_trial,human,C,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-29543545,pubmed-29543545,29543545,10.1080/19490976.2018.1445957,Systematic review: Gut microbiota in fecal samples and detection of colorectal neoplasms.,microbiome-inflammaging,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-29669520,pubmed-29669520,29669520,10.1186/s12885-018-4334-5,Effect of metformin use on the risk and prognosis of endometrial cancer: a systematic review and meta-analysis.,metformin-aging,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-29687335,pubmed-29687335,29687335,10.1007/s12325-018-0699-8,"Prospective, Randomized, Single Masked, Parallel Study Exploring the Effects of a Preservative-Free Ophthalmic Solution Containing Hyaluronic Acid 0.4% and Taurine 0.5% on the Ocular Surface of Glaucoma Patients Under Multiple Long-Term Topical Hypotensive Therapy.",autophagy-mitophagy,human_randomized_or_clinical_trial,human,C,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-29703793,pubmed-29703793,29703793,10.1530/EJE-18-0175,Liraglutide increases IVF pregnancy rates in obese PCOS women with poor response to first-line reproductive treatments: a pilot randomized study.,glp1-weight-cardiometabolic,human_randomized_or_clinical_trial,human,C,retired_from_active_findings,topic_capacity_limit,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-29805253,pubmed-29805253,29805253,10.2147/CIA.S157089,Frailty transitions and types of death in Chinese older adults: a population-based cohort study.,resistance-training-muscle,human_cohort,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-29890554,pubmed-29890554,29890554,10.1055/a-0603-3394,The Effect of Metformin Therapy for Preventing Gestational Diabetes Mellitus in Women with Polycystic Ovary Syndrome: A Meta-Analysis.,metformin-aging,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-29906425,pubmed-29906425,29906425,10.1016/j.amjmed.2018.05.022,Diastolic Hypotension May Attenuate Benefits from Intensive Systolic Targets: Secondary Analysis of a Randomized Controlled Trial.,blood-pressure-aging,human_randomized_or_clinical_trial,human,B,retired_from_active_findings,title_topic_signal_missing,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-29962352,pubmed-29962352,29962352,10.2174/1874609811666180702101338,Role of Exercise on S-Klotho Protein Regulation: A Systematic Review.,klotho-il11-aging,systematic_review_or_meta_analysis,human,C,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-29992272,pubmed-29992272,29992272,10.1093/ajcn/nqy132,"A randomized placebo-controlled clinical trial of nicotinamide riboside in obese men: safety, insulin-sensitivity, and lipid-mobilizing effects.",nad-nmn-nr-aging,human_randomized_or_clinical_trial,human,C,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-30003896,pubmed-30003896,30003896,10.1016/j.ypmed.2018.07.007,Self-directed exercise programmes in sedentary middle-aged individuals in good overall health; a systematic review.,physical-activity-healthspan,systematic_review_or_meta_analysis,human,C,retired_from_active_findings,topic_capacity_limit,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-30045293,pubmed-30045293,30045293,10.1097/MD.0000000000011596,Association of metformin intake with bladder cancer risk and oncologic outcomes in type 2 diabetes mellitus patients: A systematic review and meta-analysis.,metformin-aging,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-30173870,pubmed-30173870,30173870,10.1016/j.medcli.2018.06.026,Metformin improves survival in lung cancer patients with type 2 diabetes mellitus: A meta-analysis.,metformin-aging,systematic_review_or_meta_analysis,human,C,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-30184547,pubmed-30184547,30184547,10.1159/000493214,Survival Benefit of Metformin Adjuvant Treatment For Pancreatic Cancer Patients: a Systematic Review and Meta-Analysis.,metformin-aging,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-30235893,pubmed-30235893,30235893,10.3390/nu10091334,Low Protein Intake Is Associated with Frailty in Older Adults: A Systematic Review and Meta-Analysis of Observational Studies.,resistance-training-muscle,systematic_review_or_meta_analysis,human,A,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-30261905,pubmed-30261905,30261905,10.1186/s13054-018-2167-x,Synbiotics modulate gut microbiota and reduce enteritis and ventilator-associated pneumonia in patients with sepsis: a randomized controlled trial.,microbiome-inflammaging,human_randomized_or_clinical_trial,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-30510625,pubmed-30510625,30510625,10.1155/2018/7838647,Weighing In on mTOR Complex 2 Signaling: The Expanding Role in Cell Metabolism.,rapamycin-mtor-aging,narrative_review,human,C,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-30563829,pubmed-30563829,30563829,10.1158/2326-6066.CIR-18-0336,Rapamycin Prevents Surgery-Induced Immune Dysfunction in Patients with Bladder Cancer.,rapamycin-mtor-aging,human_randomized_or_clinical_trial,human,C,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-30563932,pubmed-30563932,30563932,10.1158/1078-0432.CCR-18-3339,"PRE-surgical Metformin In Uterine Malignancy (PREMIUM): a Multi-Center, Randomized Double-Blind, Placebo-Controlled Phase III Trial.",metformin-aging,human_randomized_or_clinical_trial,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-30609721,pubmed-30609721,30609721,10.3390/cells8010018,mTOR: A Cellular Regulator Interface in Health and Disease.,rapamycin-mtor-aging,narrative_review,cell,D,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-30640696,pubmed-30640696,30640696,10.1136/ijgc-2018-000060,Association of metformin use with ovarian cancer incidence and prognosis: a systematic review and meta-analysis.,metformin-aging,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-30663998,pubmed-30663998,30663998,10.1097/COC.0000000000000512,Metformin Use and Kidney Cancer Survival Outcomes: A Systematic Review and Meta-Analysis.,metformin-aging,systematic_review_or_meta_analysis,human,C,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-30674654,pubmed-30674654,30674654,10.1126/scitranslmed.aar4289,Rapamycin and Alzheimer's disease: Time for a clinical trial?,rapamycin-mtor-aging,narrative_review,human,C,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-30690163,pubmed-30690163,30690163,10.1016/j.ijnurstu.2018.12.014,Defining frailty for healthcare practice and research: A qualitative systematic review with thematic analysis.,resistance-training-muscle,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-30698254,pubmed-30698254,30698254,10.1590/1413-81232018241.03692017,"Physical Frailty and cognitive performance in older populations, part I: systematic review with meta-analysis.",resistance-training-muscle,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-30767734,pubmed-30767734,30767734,10.2174/1381612825666190215123759,The Relationship Between Prostate Cancer and Metformin Consumption: A Systematic Review and Meta-analysis Study.,metformin-aging,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-30778081,pubmed-30778081,30778081,10.1038/s41598-018-38285-w,The effect of metformin therapy on incidence and prognosis in prostate cancer: A systematic review and meta-analysis.,metformin-aging,systematic_review_or_meta_analysis,human,B,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-30781376,pubmed-30781376,30781376,10.3390/ijms20040847,The Cutting Edge: The Role of mTOR Signaling in Laminopathies.,rapamycin-mtor-aging,narrative_review,human,C,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
finding-pubmed-30864661,pubmed-30864661,30864661,10.1093/gerona/glz069,Brain Protein Synthesis Rates in the UM-HET3 Mouse Following Treatment With Rapamycin or Rapamycin With Metformin.,rapamycin-mtor-aging,animal_study,mouse,D,retired_from_active_findings,topic_scope_mismatch,2026-09-13,Git history and prior public-data snapshots
